sample,real,imag,amplitude,amplitude_norm,excess_path_m,reflector_off_m
702,-217,271,347.17,0.40989,-15.037451868,NaN
703,-384,278,474.07,0.5597,-14.737171868,NaN
704,-64,96,115.38,0.13622,-14.436891868,NaN
705,456,-124,472.56,0.55792,-14.136611868,NaN
706,281,-157,321.89,0.38003,-13.836331868,NaN
707,-277,103,295.53,0.34891,-13.536051868,NaN
708,-76,320,328.9,0.38831,-13.235771868,NaN
709,311,317,444.08,0.5243,-12.935491868,NaN
710,119,90,149.2,0.17615,-12.635211868,NaN
711,-271,-76,281.46,0.3323,-12.334931868,NaN
712,-322,-207,382.8,0.45194,-12.034651868,NaN
713,-208,-186,279.03,0.32944,-11.734371868,NaN
714,78,-134,155.05,0.18306,-11.434091868,NaN
715,189,26,190.78,0.22524,-11.133811868,NaN
716,121,224,254.59,0.30058,-10.833531868,NaN
717,-8,196,196.16,0.2316,-10.533251868,NaN
718,-176,-1,176,0.2078,-10.232971868,NaN
719,-247,-58,253.72,0.29955,-9.93269186799998,NaN
720,-47,96,106.89,0.1262,-9.63241186799998,NaN
721,-86,-219,235.28,0.27778,-9.33213186799999,NaN
722,-54,-391,394.71,0.46601,-9.03185186799998,NaN
723,-144,-423,446.84,0.52755,-8.73157186799999,NaN
724,-219,-276,352.33,0.41597,-8.43129186799998,NaN
725,-162,9,162.25,0.19156,-8.13101186799998,NaN
726,128,414,433.34,0.51161,-7.83073186799998,NaN
727,248,140,284.79,0.33623,-7.53045186799999,NaN
728,282,-181,335.09,0.39562,-7.23017186799998,NaN
729,-93,-180,202.61,0.2392,-6.92989186799998,NaN
730,-95,210,230.49,0.27212,-6.62961186799998,NaN
731,89,294,307.18,0.36266,-6.32933186799998,NaN
732,227,49,232.23,0.27418,-6.02905186799998,NaN
733,91,-88,126.59,0.14946,-5.72877186799998,NaN
734,202,-82,218.01,0.25739,-5.42849186799998,NaN
735,262,-46,266.01,0.31406,-5.12821186799999,NaN
736,-38,1,38.01,0.04488,-4.82793186799998,NaN
737,-292,105,310.3,0.36636,-4.52765186799998,NaN
738,-150,217,263.8,0.31145,-4.22737186799998,NaN
739,29,122,125.4,0.14805,-3.92709186799998,NaN
740,28,35,44.82,0.05292,-3.62681186799998,NaN
741,-58,-26,63.56,0.07504,-3.32653186799998,NaN
742,-36,-38,52.35,0.0618,-3.02625186799998,NaN
743,149,8,149.21,0.17617,-2.72597186799998,NaN
744,160,220,272.03,0.32117,-2.42569186799998,NaN
745,75,209,222.05,0.26216,-2.12541186799998,NaN
746,32,206,208.47,0.24613,-1.82513186799998,NaN
747,-88,67,110.6,0.13058,-1.52485186799998,NaN
748,-86,6,86.21,0.10178,-1.22457186799998,NaN
749,1,35,35.01,0.04134,-0.924291867999985,NaN
750,137,101,170.21,0.20095,-0.624011867999985,NaN
751,772,430,883.68,1.0433,-0.323731867999985,NaN
752,7013,3349,7771.61,9.17546,-0.0234518679999848,NaN
753,14890,5040,15719.85,18.55945,0.276828132000015,0.181658636642069
754,16410,1622,16489.97,19.46867,0.577108132000015,0.334841538052162
755,16261,-2782,16497.26,19.47729,0.877388132000015,0.48612949935549
756,14332,-7798,16316.1,19.2634,1.17766813200002,0.636874370564637
757,2991,-10405,10826.36,12.78201,1.47794813200002,0.787388136067965
758,-12179,5263,13267.52,15.66414,1.77822813200002,0.937782079674733
759,-2595,10523,10838.25,12.79604,2.07850813200002,1.08810588652831
760,7205,-722,7241.08,8.5491,2.37878813200002,1.2383850979546
761,332,-6561,6569.39,7.75607,2.67906813200001,1.38863419249798
762,-11960,401,11966.72,14.12836,2.97934813200002,1.53886199170458
763,-11828,5506,13046.75,15.40348,3.27962813200002,1.68907417766405
764,-4694,3873,6085.54,7.18481,3.57990813200002,1.83927457574718
765,-412,1999,2041.02,2.4097,3.88018813200001,1.98946585583378
766,155,6148,6149.95,7.26087,4.18046813200001,2.13964993801952
767,65,8156,8156.26,9.62959,4.48074813200001,2.28982823858153
768,-861,262,899.98,1.06255,4.78102813200002,2.44000182506979
769,-3124,-8067,8650.77,10.21343,5.08130813200002,2.59017151742551
770,-4258,-5346,6834.49,8.06906,5.38158813200002,2.74033795584064
771,-2367,2250,3265.76,3.85568,5.68186813200002,2.89050164745833
772,778,3753,3832.79,4.52514,5.98214813200001,3.04066299923188
773,1857,1047,2131.82,2.51691,6.28242813200001,3.19082234150325
774,70,-13,71.2,0.08406,6.58270813200001,3.34097994522188
775,-2643,952,2809.23,3.31668,6.88298813200001,3.49113603471897
776,-5271,1462,5470,6.45809,7.18326813200002,3.64129079732061
777,-3987,-1083,4131.47,4.87777,7.48354813200002,3.79144439067623
778,-1881,-2875,3435.66,4.05627,7.78382813200002,3.94159694841174
779,189,-937,955.87,1.12854,8.08410813200001,4.09174858453781
780,1320,1186,1774.54,2.09509,8.38438813200002,4.24189939692182
