sample,real,imag,amplitude,amplitude_norm,excess_path_m,reflector_off_m
702,-199,326,381.94,0.45523,-15.262661868,NaN
703,-365,212,422.1,0.5031,-14.962381868,NaN
704,-303,-117,324.8,0.38713,-14.662101868,NaN
705,-155,3,155.03,0.18478,-14.361821868,NaN
706,349,-61,354.29,0.42228,-14.061541868,NaN
707,459,115,473.19,0.56399,-13.761261868,NaN
708,224,-155,272.4,0.32467,-13.460981868,NaN
709,-21,136,137.61,0.16402,-13.160701868,NaN
710,-184,397,437.57,0.52153,-12.860421868,NaN
711,-88,160,182.6,0.21764,-12.560141868,NaN
712,201,-210,290.69,0.34647,-12.259861868,NaN
713,448,-101,459.24,0.54737,-11.959581868,NaN
714,281,-101,298.6,0.3559,-11.659301868,NaN
715,155,-120,196.02,0.23364,-11.359021868,NaN
716,92,-8,92.35,0.11007,-11.058741868,NaN
717,30,106,110.16,0.1313,-10.758461868,NaN
718,-7,208,208.12,0.24805,-10.458181868,NaN
719,13,65,66.29,0.07901,-10.157901868,NaN
720,155,-187,242.89,0.2895,-9.85762186799998,NaN
721,308,9,308.13,0.36726,-9.55734186799998,NaN
722,506,-109,517.61,0.61693,-9.25706186799998,NaN
723,532,-191,565.25,0.67372,-8.95678186799998,NaN
724,531,-198,566.71,0.67546,-8.65650186799999,NaN
725,558,-119,570.55,0.68003,-8.35622186799998,NaN
726,45,72,84.91,0.1012,-8.05594186799999,NaN
727,-281,12,281.26,0.33523,-7.75566186799998,NaN
728,7,-64,64.38,0.07674,-7.45538186799998,NaN
729,316,-52,320.25,0.3817,-7.15510186799998,NaN
730,86,-245,259.66,0.30948,-6.85482186799999,NaN
731,-154,-35,157.93,0.18823,-6.55454186799998,NaN
732,-174,-6,174.1,0.20751,-6.25426186799998,NaN
733,122,95,154.63,0.1843,-5.95398186799998,NaN
734,313,-25,314,0.37425,-5.65370186799998,NaN
735,278,141,311.71,0.37153,-5.35342186799998,NaN
736,251,234,343.16,0.40901,-5.05314186799998,NaN
737,196,-33,198.76,0.2369,-4.75286186799999,NaN
738,154,-162,223.52,0.26641,-4.45258186799999,NaN
739,24,-2,24.08,0.0287,-4.15230186799998,NaN
740,77,86,115.43,0.13759,-3.85202186799998,NaN
741,190,-13,190.44,0.22699,-3.55174186799998,NaN
742,297,-55,302.05,0.36001,-3.25146186799998,NaN
743,215,-47,220.08,0.26231,-2.95118186799998,NaN
744,31,271,272.77,0.32511,-2.65090186799998,NaN
745,-96,242,260.35,0.31031,-2.35062186799998,NaN
746,-53,24,58.18,0.06935,-2.05034186799998,NaN
747,9,-16,18.36,0.02188,-1.75006186799998,NaN
748,79,-30,84.5,0.10072,-1.44978186799998,NaN
749,126,-65,141.78,0.16898,-1.14950186799998,NaN
750,150,-32,153.38,0.18281,-0.849221867999985,NaN
751,135,48,143.28,0.17077,-0.548941867999985,NaN
752,-183,1096,1111.17,1.3244,-0.248661867999985,NaN
753,-1782,9537,9702.06,11.56383,0.0516181320000152,0.0569825805645331
754,-1574,15895,15972.74,19.03783,0.351898132000015,0.2203474084855
755,315,16421,16424.02,19.57571,0.652178132000015,0.37275056749086
756,1844,16324,16427.82,19.58024,0.952458132000015,0.523848289014329
757,1805,15658,15761.69,18.78629,1.25273813200002,0.674518430765033
758,-3905,-2203,4483.55,5.34392,1.55301813200002,0.824995294641251
759,-4636,-13732,14493.46,17.27468,1.85329813200002,0.975368339715149
760,2334,-2303,3278.93,3.90814,2.15357813200001,1.12567917243643
761,7615,5884,9623.39,11.47007,2.45385813200002,1.27594977941753
762,754,-1950,2090.7,2.49189,2.75413813200002,1.4261928758531
763,-3844,-13053,13607.25,16.21841,3.05441813200001,1.57641632758374
764,-1544,-11868,11968.01,14.26462,3.35469813200001,1.72662526212583
765,1351,-2460,2806.56,3.34513,3.65497813200002,1.87682316507165
766,1020,1858,2119.57,2.5263,3.95525813200002,2.02701248868577
767,-2284,3607,4269.32,5.08858,4.25553813200001,2.1771950084516
768,-5443,4568,7105.83,8.46941,4.55581813200001,2.32737204150197
769,-2762,1357,3077.35,3.66788,4.85609813200001,2.47754458557329
770,852,-4299,4382.61,5.22362,5.15637813200001,2.62771341029458
771,912,-7336,7392.47,8.81105,5.45665813200002,2.77787911885677
772,-758,-4536,4598.9,5.4814,5.75693813200002,2.92804219069995
773,-196,515,551.04,0.65678,6.05721813200002,3.078203011703
774,734,3165,3249,3.87246,6.35749813200002,3.22836189594598
775,-138,580,596.19,0.7106,6.65777813200001,3.37851910166783
776,-2092,-4574,5029.71,5.99488,6.95805813200001,3.52867484314904
777,-2094,-7852,8126.42,9.68584,7.25833813200001,3.67882929968371
778,464,-5338,5358.13,6.38633,7.55861813200001,3.82898262244031
779,1193,-2160,2467.56,2.94107,7.85889813200002,3.97913493976874
780,467,-655,804.43,0.9588,8.15917813200002,4.12928636134948
781,-91,319,331.73,0.39538,8.45945813200001,4.27943698146909
782,-130,920,929.14,1.10744,8.75973813200001,4.42958688162946
783,-306,21,306.72,0.36558,9.06001813200002,4.5797361326437
784,-500,-1520,1600.13,1.90718,9.36029813200001,4.72988479633286
785,-81,-1553,1555.11,1.85353,9.66057813200002,4.88003292690933
786,336,-601,688.55,0.82068,9.96085813200001,5.03018057211247
787,278,-664,719.85,0.85798,10.261138132,5.18032777414675
788,331,-1007,1060,1.26341,10.561418132,5.33047457046131
789,732,-1086,1309.66,1.56098,10.861698132,5.48062099440138
790,727,-1319,1506.08,1.79509,11.161978132,5.63076707575545
791,-38,-425,426.7,0.50858,11.462258132,5.78091284121722
792,-376,-1030,1096.48,1.30689,11.762538132,5.93105831477727
793,-73,-2004,2005.33,2.39014,12.062818132,6.08120351805686
794,21,-2525,2525.09,3.00964,12.363098132,6.23134847059331
795,238,-1659,1675.98,1.9976,12.663378132,6.38149319008522
796,280,-1329,1358.18,1.6188,12.963658132,6.53163769260379
797,775,-1237,1459.72,1.73984,13.263938132,6.68178199277566
798,886,-845,1224.35,1.45929,13.564218132,6.83192610394166
799,1358,-1269,1858.64,2.2153,13.864498132,6.98207003829509
800,1217,-1760,2139.79,2.5504,14.164778132,7.13221380700246
801,613,-2324,2403.49,2.8647,14.465058132,7.28235742030937
802,111,-3136,3137.96,3.74012,14.765338132,7.43250088763354
803,61,-2956,2956.63,3.52399,15.065618132,7.58264421764676
804,213,-2409,2418.4,2.88248,15.365898132,7.73278741834731
805,611,-2201,2284.23,2.72257,15.666178132,7.88293049712408
806,662,-2461,2548.48,3.03752,15.966458132,8.03307346081357
807,500,-1298,1390.97,1.65789,16.266738132,8.18321631575054
808,252,-791,830.17,0.98948,16.567018132,8.33335906781319
809,53,-1167,1168.2,1.39238,16.867298132,8.4835017224636
810,-57,-1901,1901.85,2.26681,17.167578132,8.63364428478388
811,-137,-1573,1578.95,1.88195,17.467858132,8.78378675950867
812,-191,-1077,1093.81,1.3037,17.768138132,8.93392915105433
813,3,-903,903.01,1.07629,18.068418132,9.08407146354523
814,260,-1055,1086.57,1.29507,18.368698132,9.23421370083751
815,298,-1159,1196.7,1.42634,18.668978132,9.38435586654053
816,122,-1294,1299.74,1.54915,18.969258132,9.53449796403629
817,-331,-1290,1331.79,1.58735,19.269538132,9.68463999649707
818,-691,-326,764.04,0.91066,19.569818132,9.83478196690141
819,-663,-197,691.65,0.82437,19.870098132,9.98492387804873
820,-761,-265,805.82,0.96045,20.170378132,10.1350657325725
821,-743,-287,796.5,0.94935,20.470658132,10.2852075329526
822,409,-1353,1413.47,1.6847,20.770938132,10.4353492815259
823,1240,-1141,1685.08,2.00843,21.071218132,10.5854909804969
824,280,-1202,1234.18,1.47101,21.371498132,10.7356326319468
825,-305,-669,735.25,0.87634,21.671778132,10.8857742378417
826,180,-921,938.42,1.1185,21.972058132,11.0359158000411
827,954,-944,1342.11,1.59965,22.272338132,11.1860573203044
828,924,-1093,1431.23,1.70588,22.572618132,11.3361988002978
829,381,-1354,1406.58,1.6765,22.872898132,11.4863402416006
830,-53,-935,936.5,1.11621,23.173178132,11.6364816457102
831,172,-1376,1386.71,1.65281,23.473458132,11.7866230140481
832,240,-1578,1596.15,1.90244,23.773738132,11.9367643479641
833,178,-1298,1310.15,1.56156,24.074018132,12.086905648741
834,492,-1609,1682.54,2.00541,24.374298132,12.2370469175984
835,808,-1700,1882.25,2.24344,24.674578132,12.3871881556971
836,517,-1741,1816.14,2.16465,24.974858132,12.5373293641422
837,214,-1139,1158.93,1.38132,25.275138132,12.6874705439863
838,-100,-1024,1028.87,1.22631,25.575418132,12.837611696233
839,14,-888,888.11,1.05853,25.875698132,12.9877528218394
