sample,real,imag,amplitude,amplitude_norm,excess_path_m,reflector_off_m
701,-182,184,258.8,0.26931,-15.201675,NaN
702,-413,-22,413.59,0.43037,-14.901395,NaN
703,-300,106,318.18,0.33109,-14.601115,NaN
704,378,191,423.52,0.4407,-14.300835,NaN
705,754,437,871.48,0.90685,-14.000555,NaN
706,293,-72,301.72,0.31396,-13.700275,NaN
707,-236,-261,351.88,0.36616,-13.399995,NaN
708,-47,304,307.61,0.3201,-13.099715,NaN
709,188,369,414.13,0.43094,-12.799435,NaN
710,55,-107,120.31,0.12519,-12.499155,NaN
711,85,-425,433.42,0.45101,-12.198875,NaN
712,120,-463,478.3,0.49771,-11.898595,NaN
713,138,-259,293.47,0.30538,-11.598315,NaN
714,157,-55,166.36,0.17311,-11.298035,NaN
715,36,160,164,0.17066,-10.997755,NaN
716,-84,176,195.02,0.20293,-10.697475,NaN
717,-72,-74,103.25,0.10744,-10.397195,NaN
718,1,-336,336,0.34964,-10.096915,NaN
719,-38,-216,219.32,0.22822,-9.796635,NaN
720,75,-41,85.48,0.08894,-9.496355,NaN
721,311,-422,524.22,0.54549,-9.196075,NaN
722,475,-550,726.72,0.75621,-8.895795,NaN
723,401,-506,645.63,0.67183,-8.595515,NaN
724,192,-407,450.01,0.46828,-8.295235,NaN
725,-71,51,87.42,0.09097,-7.994955,NaN
726,-205,283,349.45,0.36363,-7.694675,NaN
727,134,171,217.25,0.22607,-7.394395,NaN
728,523,-56,525.99,0.54734,-7.094115,NaN
729,131,-199,238.25,0.24792,-6.793835,NaN
730,-129,92,158.45,0.16488,-6.493555,NaN
731,-55,173,181.53,0.1889,-6.193275,NaN
732,165,63,176.62,0.18379,-5.892995,NaN
733,163,-52,171.09,0.17804,-5.592715,NaN
734,280,75,289.87,0.30163,-5.292435,NaN
735,217,-27,218.67,0.22755,-4.992155,NaN
736,-59,-213,221.02,0.22999,-4.691875,NaN
737,-172,-202,265.31,0.27607,-4.391595,NaN
738,-55,101,115,0.11967,-4.091315,NaN
739,19,100,101.79,0.10592,-3.791035,NaN
740,77,-138,158.03,0.16444,-3.490755,NaN
741,32,-245,247.08,0.25711,-3.190475,NaN
742,147,-28,149.64,0.15572,-2.890195,NaN
743,120,248,275.51,0.28669,-2.589915,NaN
744,10,253,253.2,0.26347,-2.289635,NaN
745,21,116,117.89,0.12267,-1.989355,NaN
746,-21,-37,42.54,0.04427,-1.689075,NaN
747,25,-145,147.14,0.15311,-1.388795,NaN
748,99,-70,121.25,0.12617,-1.088515,NaN
749,123,-24,125.32,0.13041,-0.788235,NaN
750,87,161,183,0.19043,-0.487955,NaN
751,895,2275,2444.72,2.54393,-0.187675,NaN
752,5038,12568,13540.17,14.08966,0.112605,0.0938094958213186
753,9141,16110,18522.69,19.27439,0.412885,0.251520885427533
754,11900,14518,18771.85,19.53366,0.713165,0.403496380784574
755,14257,12208,18769.58,19.53131,1.013445,0.554472670206792
756,16406,7869,18195.55,18.93397,1.313725,0.705091904581417
757,599,-6399,6426.97,6.6878,1.614005,0.855542684502796
758,-15076,-7235,16722.17,17.4008,1.914285,1.00590059911815
759,-5702,2862,6379.96,6.63887,2.214565,1.15620187891486
760,7127,4707,8541.08,8.8877,2.514845,1.30646607055302
761,-182,-3988,3992.15,4.15416,2.815125,1.45670465139858
762,-11811,-9564,15197.69,15.81446,3.115405,1.60692480486993
763,-11357,-6022,12854.8,13.37648,3.415685,1.75713125713654
764,-3282,-250,3291.51,3.42509,3.715965,1.9073272452063
765,-2618,3046,4016.47,4.17947,4.016245,2.05751506069974
766,-5995,7100,9292.47,9.66959,4.316525,2.20769637153895
767,-4113,4973,6453.49,6.71539,4.616805,2.3578724206382
768,2424,-4154,4809.52,5.0047,4.917085,2.50804415318117
769,4894,-11020,12057.85,12.54719,5.217365,2.65821230074015
770,-1291,-6845,6965.68,7.24837,5.517645,2.80837743839859
771,-4337,10,4337.01,4.51302,5.817925,2.95854002447259
772,-820,2482,2613.95,2.72003,6.118205,3.10870042871716
773,1015,898,1355.22,1.41022,6.418485,3.25885895273273
774,-576,-1437,1548.14,1.61097,6.718765,3.40901584497729
775,-4078,-3721,5520.5,5.74454,7.019045,3.55917131197787
776,-4315,-4350,6127.13,6.37579,7.319325,3.70932552681835
777,-687,-3098,3173.26,3.30204,7.619605,3.85947863564579
778,644,-1425,1563.77,1.62723,7.919885,4.00963076271447
779,10,638,638.08,0.66397,8.220165,4.15978201433756
780,-706,1395,1563.48,1.62693,8.520445,4.30993248201248
781,-852,-509,992.46,1.03274,8.820725,4.46008224491502
782,-1413,-2434,2814.41,2.92863,9.121005,4.610231371906
783,-2107,-1926,2854.63,2.97048,9.421285,4.76037992315805
784,-2298,-248,2311.34,2.40514,9.721565,4.91052795148406
785,-1272,-206,1288.57,1.34087,10.021845,5.06067550342899
786,-638,-1028,1209.89,1.25899,10.322125,5.21082262017296
787,-50,-1245,1246,1.29657,10.622405,5.36096933828261
788,293,-1133,1170.27,1.21777,10.922685,5.5111156903395
789,-433,-630,764.45,0.79548,11.222965,5.66126170546869
790,-383,-203,433.47,0.45106,11.523245,5.81140740978519
791,7,-972,972.03,1.01147,11.823525,5.96155282677309
792,239,-2350,2362.12,2.45798,12.123805,6.1116979776087
793,-587,-3249,3301.6,3.43559,12.424085,6.26184288143724
794,-526,-2374,2431.57,2.53025,12.724365,6.41198755561068
795,-402,-1714,1760.51,1.83196,13.024645,6.56213201589287
796,-21,-894,894.25,0.93054,13.324925,6.71227627663718
797,581,-951,1114.43,1.15966,13.625205,6.86242035094079
798,328,-1363,1401.91,1.4588,13.925485,7.01256425077919
799,-417,-1910,1954.99,2.03433,14.225765,7.16270798712374
800,-1405,-2312,2705.43,2.81523,14.526045,7.31285157004477
801,-2197,-2245,3141.15,3.26863,14.826325,7.46299500880218
802,-1747,-1810,2515.57,2.61766,15.126605,7.6131383119254
803,-1279,-1314,1833.69,1.90811,15.426885,7.76328148728399
804,-583,-1821,1912.05,1.98964,15.727165,7.91342454215027
805,-405,-1802,1846.95,1.92191,16.027445,8.06356748325493
806,-275,-1504,1528.93,1.59098,16.327725,8.2137103168365
807,-819,-1539,1743.35,1.8141,16.628005,8.36385304868553
808,-1255,-1439,1909.38,1.98687,16.928285,8.51399568418415
809,-936,-1294,1597.04,1.66185,17.228565,8.66413822834137
810,-789,-1072,1331.05,1.38507,17.528845,8.81428068582492
811,-666,-1116,1299.62,1.35236,17.829125,8.96442306098983
812,-543,-1197,1314.4,1.36775,18.129405,9.11456535790414
813,-491,-931,1052.54,1.09526,18.429685,9.26470758037221
814,-761,-1168,1394.04,1.45061,18.729965,9.4148497319557
815,-1096,-1332,1724.95,1.79495,19.030245,9.56499181599265
816,-1478,-823,1691.69,1.76034,19.330525,9.71513383561473
817,-1010,222,1034.11,1.07608,19.630805,9.865275793763
818,-876,328,935.39,0.97335,19.931085,10.0154176932021
819,-674,406,786.84,0.81877,20.231365,10.1655595365335
820,-279,285,398.83,0.41502,20.531645,10.3157013262069
821,-169,-1115,1127.73,1.1735,20.831925,10.4658430645317
822,170,-1864,1871.74,1.9477,21.132205,10.6159847536866
823,-724,-1339,1522.2,1.58398,21.432485,10.7661263957287
824,-995,-799,1276.1,1.32789,21.732765,10.916267992602
825,-530,-1460,1553.22,1.61626,22.033045,11.0664095461449
826,200,-1748,1759.4,1.83081,22.333325,11.2165510580974
827,-191,-1958,1967.29,2.04713,22.633605,11.3666925301077
828,-512,-1040,1159.2,1.20624,22.933885,11.5168339637379
829,-149,-756,770.54,0.80181,23.234165,11.6669753604697
830,-813,-1281,1517.21,1.57878,23.534445,11.8171167217095
831,-926,-1253,1558.04,1.62127,23.834725,11.9672580487932
832,-270,-1340,1366.93,1.4224,24.135005,12.1173993429905
833,-108,-1275,1279.57,1.33149,24.435285,12.2675406055088
834,-483,-2072,2127.55,2.21389,24.735565,12.4176818374971
835,-796,-1745,1917.98,1.99582,25.035845,12.5678230400498
836,-542,-1065,1194.98,1.24348,25.336125,12.7179642142092
837,-359,-701,787.58,0.81954,25.636405,12.8681053609693
838,-356,-1235,1285.29,1.33745,25.936685,13.018246481278
839,-812,-1974,2134.48,2.22111,26.236965,13.1683875760401
840,-815,-2072,2226.52,2.31688,26.537245,13.3185286461195
841,-373,-1765,1803.98,1.87719,26.837525,13.4686696923418
842,-179,-1129,1143.1,1.18949,27.137805,13.6188107154959
843,-437,-724,845.66,0.87998,27.438085,13.7689517163365
844,-540,-832,991.88,1.03213,27.738365,13.9190926955857
845,-471,-946,1056.77,1.09965,28.038645,14.0692336539346
846,-594,-1429,1547.54,1.61034,28.338925,14.2193745920454
847,-884,-1472,1717.04,1.78673,28.639205,14.3695155105524
848,-1373,-564,1484.33,1.54456,28.939485,14.5196564100638
849,-1179,355,1231.29,1.28126,29.239765,14.6697972911628
850,-1003,379,1072.22,1.11573,29.540045,14.819938154409
