sample,real,imag,amplitude,amplitude_norm,excess_path_m,reflector_off_m
696,202,-419,465.15,0.51683,-15.201675,NaN
697,321,-317,451.14,0.50127,-14.901395,NaN
698,338,-220,403.29,0.4481,-14.601115,NaN
699,78,76,108.9,0.121,-14.300835,NaN
700,-360,146,388.48,0.43164,-14.000555,NaN
701,-126,297,322.62,0.35847,-13.700275,NaN
702,231,383,447.27,0.49697,-13.399995,NaN
703,95,137,166.72,0.18524,-13.099715,NaN
704,-109,4,109.07,0.12119,-12.799435,NaN
705,77,-144,163.29,0.18144,-12.499155,NaN
706,303,211,369.23,0.41025,-12.198875,NaN
707,96,682,688.72,0.76525,-11.898595,NaN
708,-302,428,523.82,0.58202,-11.598315,NaN
709,-223,158,273.3,0.30367,-11.298035,NaN
710,9,-71,71.57,0.07952,-10.997755,NaN
711,132,-87,158.09,0.17566,-10.697475,NaN
712,206,315,376.38,0.4182,-10.397195,NaN
713,55,489,492.08,0.54676,-10.096915,NaN
714,-108,276,296.38,0.32931,-9.796635,NaN
715,-190,350,398.25,0.4425,-9.496355,NaN
716,-243,576,625.16,0.69462,-9.196075,NaN
717,-391,534,661.84,0.73538,-8.895795,NaN
718,-396,517,651.23,0.72359,-8.595515,NaN
719,-188,411,451.96,0.50217,-8.295235,NaN
720,122,299,322.93,0.35881,-7.994955,NaN
721,299,347,458.05,0.50894,-7.694675,NaN
722,35,229,231.66,0.2574,-7.394395,NaN
723,-188,175,256.84,0.28538,-7.094115,NaN
724,102,223,245.22,0.27247,-6.793835,NaN
725,307,118,328.9,0.36544,-6.493555,NaN
726,19,67,69.64,0.07738,-6.193275,NaN
727,17,239,239.6,0.26623,-5.892995,NaN
728,-17,291,291.5,0.32388,-5.592715,NaN
729,-113,234,259.86,0.28873,-5.292435,NaN
730,-59,250,256.87,0.28541,-4.992155,NaN
731,108,266,287.09,0.31899,-4.691875,NaN
732,252,145,290.74,0.32304,-4.391595,NaN
733,242,73,252.77,0.28086,-4.091315,NaN
734,22,111,113.16,0.12573,-3.791035,NaN
735,-30,278,279.61,0.31068,-3.490755,NaN
736,-3,329,329.01,0.36557,-3.190475,NaN
737,39,251,254.01,0.28224,-2.890195,NaN
738,13,32,34.54,0.03838,-2.589915,NaN
739,118,-128,174.09,0.19344,-2.289635,NaN
740,260,60,266.83,0.29648,-1.989355,NaN
741,256,140,291.78,0.3242,-1.689075,NaN
742,139,174,222.7,0.24745,-1.388795,NaN
743,74,216,228.32,0.25369,-1.088515,NaN
744,138,137,194.46,0.21606,-0.788235,NaN
745,58,-89,106.23,0.11803,-0.487955,NaN
746,-855,-2228,2386.42,2.65158,-0.187675,NaN
747,-5117,-11575,12655.6,14.06178,0.112605,0.0938094958213186
748,-6759,-15776,17162.93,19.06993,0.412885,0.251520885427533
749,-6285,-16261,17433.34,19.37038,0.713165,0.403496380784574
750,-5901,-16411,17439.69,19.37743,1.013445,0.554472670206792
751,-7873,-13792,15880.91,17.64546,1.313725,0.705091904581417
