FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,STD_NOISE,NTM,NOISE_THRESH,PEAK_IDX,PEAK_AMPL,START,elapsed_s,tag_anchor_dist_m,n_samples,aligned_csv
47,296642450082,747,747,863,-59.52,116,13,1508,749,16865,697,4.9950197,1,150,02_lde_aligned\frame_0047_aligned.csv
48,303032194553,752.3594,752,981,-60.36,132,13,1716,754,18578,702,5.0940701,1,150,02_lde_aligned\frame_0048_aligned.csv
49,309422109484,748.9062,748,1019,-60.08,132,13,1716,750,18562,698,5.1892023,1,150,02_lde_aligned\frame_0049_aligned.csv
50,315811825238,745.4375,745,914,-60.63,116,13,1508,748,17476,695,5.283424,1,150,02_lde_aligned\frame_0050_aligned.csv
51,322201616744,749.7187,749,916,-60.1,124,13,1612,752,17795,699,5.3946607,1,150,02_lde_aligned\frame_0051_aligned.csv
52,328591361133,745.4219,745,877,-60.09,112,13,1456,747,17081,695,5.4890158,1,150,02_lde_aligned\frame_0052_aligned.csv
53,334981275998,750.3125,750,886,-59.75,124,13,1612,752,17310,700,5.584745,1,150,02_lde_aligned\frame_0053_aligned.csv
54,341370991675,752.8906,752,983,-60.47,128,13,1664,755,18648,702,5.6867236,1,150,02_lde_aligned\frame_0054_aligned.csv
55,347760736013,748.1719,748,910,-60.15,124,13,1612,750,17806,698,5.7977371,1,150,02_lde_aligned\frame_0055_aligned.csv
56,354150650831,751.5781,751,1017,-60.41,120,13,1560,753,18907,701,5.8927642,1,150,02_lde_aligned\frame_0056_aligned.csv
57,360540366473,746.2344,746,871,-59.79,120,13,1560,748,16792,696,5.9871195,1,150,02_lde_aligned\frame_0057_aligned.csv
58,366930110769,749.8594,749,868,-60.02,124,13,1612,752,16542,699,6.0984354,1,150,02_lde_aligned\frame_0058_aligned.csv
59,373320025559,752.2031,752,1061,-60.57,128,13,1664,754,19299,702,6.1938193,1,150,02_lde_aligned\frame_0059_aligned.csv
60,379709741160,745.4687,745,945,-59.98,124,13,1612,747,18232,695,6.298519,1,150,02_lde_aligned\frame_0060_aligned.csv
61,386099485422,748.0625,748,944,-60.52,120,13,1560,750,18050,698,6.3958067,1,128,02_lde_aligned\frame_0061_aligned.csv
62,392489400155,750.5156,750,1039,-60.72,128,13,1664,752,19040,700,6.4866042,1,150,02_lde_aligned\frame_0062_aligned.csv
63,398879115710,751.4375,751,875,-59.84,124,13,1612,753,17064,701,6.598142,1,150,02_lde_aligned\frame_0063_aligned.csv
64,405268859917,752.4219,752,1022,-60.61,124,13,1612,754,18767,702,6.693428,1,150,02_lde_aligned\frame_0064_aligned.csv
65,411658774606,745.4375,745,887,-60.4,124,13,1612,747,17090,695,6.788136,1,150,02_lde_aligned\frame_0065_aligned.csv
66,418048490115,746.2656,746,857,-59.64,120,13,1560,748,16549,696,6.8886436,1,150,02_lde_aligned\frame_0066_aligned.csv
67,424438234294,747.3125,747,881,-59.71,128,13,1664,749,17236,697,6.9840465,1,150,02_lde_aligned\frame_0067_aligned.csv
68,430828148947,748.1406,748,1070,-60.83,140,13,1820,750,18745,698,7.0949699,1,150,02_lde_aligned\frame_0068_aligned.csv
69,437217864418,747.75,747,1087,-60.92,132,13,1716,749,19295,697,7.1914226,1,150,02_lde_aligned\frame_0069_aligned.csv
70,443607608557,748.4219,748,892,-60.17,108,13,1404,750,17300,698,7.2861623,1,150,02_lde_aligned\frame_0070_aligned.csv
71,449997523152,747.8437,747,906,-59.82,116,13,1508,750,17758,697,7.3983644,1,111,02_lde_aligned\frame_0071_aligned.csv
72,456387238585,747.2344,747,931,-60.98,124,13,1612,750,17365,697,7.4921663,1,150,02_lde_aligned\frame_0072_aligned.csv
73,462776982663,746.3281,746,901,-59.76,120,13,1560,748,17627,696,7.5883945,1,146,02_lde_aligned\frame_0073_aligned.csv
74,469166897223,746.2031,746,857,-59.79,120,13,1560,748,16389,696,7.6833187,1,150,02_lde_aligned\frame_0074_aligned.csv
75,475556612596,752.6562,752,889,-59.42,124,13,1612,755,17283,702,7.7929603,1,250,02_lde_aligned\frame_0075_aligned.csv
77,488336271148,748.5312,748,865,-59.55,104,13,1352,751,16825,698,7.9978833,1,150,02_lde_aligned\frame_0077_aligned.csv
78,494725986477,747.1719,747,954,-61.04,132,13,1716,749,17656,697,8.0978585,1,150,02_lde_aligned\frame_0078_aligned.csv
79,501115730441,752.3594,752,950,-60.1,128,13,1664,754,18239,702,8.1946155,1,150,02_lde_aligned\frame_0079_aligned.csv
80,507505644384,749.3437,749,866,-59.61,116,13,1508,751,16906,699,8.2882719,1,150,02_lde_aligned\frame_0080_aligned.csv
81,513895435921,746.8594,746,938,-60.2,124,13,1612,749,18180,696,8.398229,1,85,02_lde_aligned\frame_0081_aligned.csv
82,520285151155,751.1406,751,868,-59.65,124,13,1612,753,16818,701,8.49337,1,150,02_lde_aligned\frame_0082_aligned.csv
83,526674895028,747.0312,747,865,-59.52,116,13,1508,749,16982,697,8.5882816,1,150,02_lde_aligned\frame_0083_aligned.csv
84,533064809397,751.2969,751,906,-60.03,128,13,1664,753,17720,701,8.686209,1,150,02_lde_aligned\frame_0084_aligned.csv
85,539454541456,747.0937,747,1033,-60.96,128,13,1664,750,18132,697,8.7850014,1,150,02_lde_aligned\frame_0085_aligned.csv
86,545844315480,750.3437,750,936,-60.96,136,13,1768,753,17619,700,8.8948081,1,150,02_lde_aligned\frame_0086_aligned.csv
87,552234059781,753.1719,753,1023,-61.29,136,13,1768,756,18333,703,8.9881453,1,150,02_lde_aligned\frame_0087_aligned.csv
88,558623973544,746.9687,746,1009,-61.41,132,13,1716,749,18070,696,9.0838691,1,150,02_lde_aligned\frame_0088_aligned.csv
89,565013764920,749.3437,749,872,-59.75,128,13,1664,751,17051,699,9.1943962,1,150,02_lde_aligned\frame_0089_aligned.csv
90,571403479992,751.8437,751,1086,-60.76,140,13,1820,753,19202,701,9.2989182,1,150,02_lde_aligned\frame_0090_aligned.csv
91,577793223724,753.4062,753,876,-59.7,124,13,1612,755,16917,703,9.3939574,1,150,02_lde_aligned\frame_0091_aligned.csv
92,584183015041,746.9844,746,892,-59.68,124,13,1612,749,17546,696,9.4889989,1,150,02_lde_aligned\frame_0092_aligned.csv
93,590572928724,747.2812,747,927,-60.96,116,13,1508,750,17449,697,9.5995017,1,150,02_lde_aligned\frame_0093_aligned.csv
94,596962643730,749,749,898,-59.83,112,13,1456,751,17652,699,9.6943878,1,150,02_lde_aligned\frame_0094_aligned.csv
95,603352434999,749.5781,749,880,-60.05,108,13,1404,751,16995,699,9.8069581,1,150,02_lde_aligned\frame_0095_aligned.csv
96,609742178634,749.875,749,868,-60.11,128,13,1664,752,16700,699,9.8953808,1,150,02_lde_aligned\frame_0096_aligned.csv
97,616132092764,750.4062,750,873,-59.77,132,13,1716,752,17118,700,9.9975228,1,150,02_lde_aligned\frame_0097_aligned.csv
98,622521807695,749.4531,749,1033,-60.76,128,13,1664,751,18695,699,10.0941164,1,150,02_lde_aligned\frame_0098_aligned.csv
