FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,START,tag_anchor_dist_m,n_samples,raw_csv,aligned_csv
1,4691006556,749.7812,749,848,-60.64,699,0.7,150,01_raw_frames\frame_0001.csv,02_lde_aligned\frame_0001_aligned.csv
2,11080799005,753.0469,753,848,-60.8,703,0.7,150,01_raw_frames\frame_0002.csv,02_lde_aligned\frame_0002_aligned.csv
3,17470591451,747.6406,747,910,-60.44,697,0.7,150,01_raw_frames\frame_0003.csv,02_lde_aligned\frame_0003_aligned.csv
4,23860443234,749.5,749,854,-60.4,699,0.7,150,01_raw_frames\frame_0004.csv,02_lde_aligned\frame_0004_aligned.csv
5,30250235573,750.7969,750,851,-60.67,700,0.7,150,01_raw_frames\frame_0005.csv,02_lde_aligned\frame_0005_aligned.csv
6,36640027457,752.1094,752,1010,-62.25,702,0.7,150,01_raw_frames\frame_0006.csv,02_lde_aligned\frame_0006_aligned.csv
7,43029819703,752.8281,752,898,-60.42,702,0.7,150,01_raw_frames\frame_0007.csv,02_lde_aligned\frame_0007_aligned.csv
8,49419611436,752.9062,752,869,-60.74,702,0.7,150,01_raw_frames\frame_0008.csv,02_lde_aligned\frame_0008_aligned.csv
9,55809403664,751.8437,751,856,-60.59,701,0.7,150,01_raw_frames\frame_0009.csv,02_lde_aligned\frame_0009_aligned.csv
10,62199195376,752.0937,752,1097,-71.49,702,0.7,150,01_raw_frames\frame_0010.csv,02_lde_aligned\frame_0010_aligned.csv
11,68588987486,750.4687,750,1068,-72.13,700,0.7,150,01_raw_frames\frame_0011.csv,02_lde_aligned\frame_0011_aligned.csv
12,74978779163,748.25,748,986,-70.51,698,0.7,150,01_raw_frames\frame_0012.csv,02_lde_aligned\frame_0012_aligned.csv
13,81368571222,746.5469,746,1005,-70.66,696,0.7,150,01_raw_frames\frame_0013.csv,02_lde_aligned\frame_0013_aligned.csv
14,87758362853,751.3906,751,989,-66.21,701,0.7,150,01_raw_frames\frame_0014.csv,02_lde_aligned\frame_0014_aligned.csv
15,94148154895,749.0781,749,1020,-62.02,699,0.7,150,01_raw_frames\frame_0015.csv,02_lde_aligned\frame_0015_aligned.csv
16,100537946403,753.7656,753,932,-61.03,703,0.7,150,01_raw_frames\frame_0016.csv,02_lde_aligned\frame_0016_aligned.csv
17,106927738438,749.9375,749,889,-60.31,699,0.7,150,01_raw_frames\frame_0017.csv,02_lde_aligned\frame_0017_aligned.csv
18,113317529926,753.6875,753,867,-60.34,703,0.7,150,01_raw_frames\frame_0018.csv,02_lde_aligned\frame_0018_aligned.csv
19,119707321920,748.7187,748,1001,-61.86,698,0.7,150,01_raw_frames\frame_0019.csv,02_lde_aligned\frame_0019_aligned.csv
20,126097113388,752.8437,752,998,-73.41,702,0.7,150,01_raw_frames\frame_0020.csv,02_lde_aligned\frame_0020_aligned.csv
21,132486905288,746.9687,746,858,-60.48,696,0.7,150,01_raw_frames\frame_0021.csv,02_lde_aligned\frame_0021_aligned.csv
22,138876696696,750.5937,750,900,-61.03,700,0.7,150,01_raw_frames\frame_0022.csv,02_lde_aligned\frame_0022_aligned.csv
23,145266488591,752.5781,752,913,-61.13,702,0.7,150,01_raw_frames\frame_0023.csv,02_lde_aligned\frame_0023_aligned.csv
24,151656279931,745.7656,745,866,-60.18,695,0.7,150,01_raw_frames\frame_0024.csv,02_lde_aligned\frame_0024_aligned.csv
25,158046071781,748.6719,748,1006,-61.91,698,0.7,150,01_raw_frames\frame_0025.csv,02_lde_aligned\frame_0025_aligned.csv
26,164435863097,749.7344,749,874,-59.97,699,0.7,150,01_raw_frames\frame_0026.csv,02_lde_aligned\frame_0026_aligned.csv
27,170825654892,750.7812,750,1182,-71.09,700,0.7,150,01_raw_frames\frame_0027.csv,02_lde_aligned\frame_0027_aligned.csv
28,177215446177,751.8437,751,1152,-70.54,701,0.7,150,01_raw_frames\frame_0028.csv,02_lde_aligned\frame_0028_aligned.csv
29,183605238004,751.7031,751,1039,-72.67,701,0.7,150,01_raw_frames\frame_0029.csv,02_lde_aligned\frame_0029_aligned.csv
30,189995029178,752.6094,752,1556,-77.41,702,0.7,150,01_raw_frames\frame_0030.csv,02_lde_aligned\frame_0030_aligned.csv
31,196384820944,752.0937,752,925,-60.72,702,0.7,150,01_raw_frames\frame_0031.csv,02_lde_aligned\frame_0031_aligned.csv
32,202774612163,751.6406,751,870,-60.06,701,0.7,150,01_raw_frames\frame_0032.csv,02_lde_aligned\frame_0032_aligned.csv
33,209164403846,750.6875,750,860,-60.03,700,0.7,150,01_raw_frames\frame_0033.csv,02_lde_aligned\frame_0033_aligned.csv
34,215554195032,749.7187,749,858,-60.09,699,0.7,150,01_raw_frames\frame_0034.csv,02_lde_aligned\frame_0034_aligned.csv
35,221943986669,748.6719,748,904,-60.12,698,0.7,150,01_raw_frames\frame_0035.csv,02_lde_aligned\frame_0035_aligned.csv
36,228333777758,745.9375,745,880,-60.09,695,0.7,150,01_raw_frames\frame_0036.csv,02_lde_aligned\frame_0036_aligned.csv
37,234723569361,751.1094,751,917,-60.93,701,0.7,150,01_raw_frames\frame_0037.csv,02_lde_aligned\frame_0037_aligned.csv
38,241113360435,749.0781,749,1141,-73.39,699,0.7,150,01_raw_frames\frame_0038.csv,02_lde_aligned\frame_0038_aligned.csv
