sample,real,imag,amplitude,amplitude_norm
731,161,42,166.39,0.18508
732,177,-69,189.97,0.21132
733,230,-15,230.49,0.25638
734,178,63,188.82,0.21003
735,98,95,136.49,0.15182
736,-33,-3,33.14,0.03686
737,148,-90,173.22,0.19268
738,185,-15,185.61,0.20646
739,71,18,73.25,0.08148
740,-59,110,124.82,0.13885
741,38,62,72.72,0.08089
742,193,152,245.67,0.27327
743,252,244,350.77,0.39018
744,180,144,230.51,0.25641
745,42,71,82.49,0.09176
746,65,78,101.53,0.11294
747,95,113,147.63,0.16421
748,50,90,102.96,0.11452
749,-40,101,108.63,0.12084
750,158,195,250.98,0.27917
751,796,1987,2140.51,2.38099
752,3497,11855,12360.02,13.74863
753,5539,16409,17318.65,19.26435
754,7206,16004,17551.48,19.52334
755,8973,14368,16939.72,18.84285
756,1538,-1966,2496.12,2.77655
757,-7262,-13323,15173.63,16.87834
758,1591,-1222,2006.13,2.23151
759,10108,8589,13264.33,14.75454
760,2938,3459,4538.34,5.04821
761,-8322,-5087,9753.63,10.84942
762,-7511,-4032,8524.8,9.48253
763,-147,295,329.6,0.36663
764,4909,1850,5246.03,5.8354
765,7344,2103,7639.17,8.49741
766,3208,-487,3244.75,3.60929
767,-951,-7466,7526.32,8.37188
768,-637,-12500,12516.22,13.92238
769,4406,-8074,9197.95,10.23131
770,4995,-758,5052.19,5.61978
771,652,132,665.23,0.73996
772,-2442,-1652,2948.3,3.27953
773,-2365,419,2401.83,2.67167
774,-1943,5291,5636.48,6.26972
775,-2242,6988,7338.85,8.16335
776,-2481,2239,3341.93,3.71738
777,-3439,-1890,3924.13,4.365
778,-3091,-2471,3957.29,4.40188
779,-1561,-530,1648.52,1.83373
780,-1645,-1378,2145.91,2.38699
781,-2386,-4545,5133.23,5.70993
782,-1211,-3166,3389.7,3.77052
783,-188,1070,1086.39,1.20844
784,-598,2114,2196.95,2.44377
785,-417,336,535.52,0.59569
786,-102,-546,555.45,0.61785
787,236,-731,768.15,0.85445
788,145,-321,352.23,0.3918
789,61,229,236.99,0.26361
790,-51,-595,597.18,0.66427
791,-336,-1600,1634.9,1.81858
792,-887,-1471,1717.73,1.91072
793,-210,-826,852.28,0.94803
794,689,-818,1069.51,1.18966
795,480,-926,1043.01,1.16019
796,24,-1179,1179.24,1.31173
797,117,-979,985.97,1.09674
798,616,-834,1036.83,1.15331
799,448,-1691,1749.34,1.94587
800,21,-1883,1883.12,2.09468
801,-60,-2020,2020.89,2.24793
802,-42,-1060,1060.83,1.18001
803,-275,-311,415.15,0.46179
804,-793,-476,924.89,1.0288
805,-634,-593,868.1,0.96563
806,-32,-877,877.58,0.97618
807,268,-950,987.08,1.09797
808,-94,-862,867.11,0.96453
809,-1020,-1187,1565.05,1.74087
810,-1071,-1157,1576.61,1.75373
811,-402,-662,774.5,0.86151
812,-248,-530,585.15,0.65089
813,-571,-903,1068.39,1.18842
814,-592,-1002,1163.82,1.29457
815,-342,-806,875.56,0.97392
816,-871,-264,910.13,1.01238
817,-1170,411,1240.09,1.37941
818,-1123,339,1173.05,1.30484
819,-617,159,637.16,0.70874
820,334,-987,1041.98,1.15904
821,855,-964,1288.53,1.4333
822,-489,-771,913,1.01557
823,-997,-270,1032.91,1.14896
824,-788,-1016,1285.77,1.43022
825,-21,-1733,1733.13,1.92784
826,-112,-1484,1488.22,1.65542
827,-201,-600,632.77,0.70386
828,-365,-516,632.05,0.70305
829,-394,-418,574.42,0.63896
830,-135,-486,504.4,0.56107
831,25,-933,933.33,1.03819
832,114,-662,671.74,0.74721
833,-44,-673,674.44,0.75021
834,-185,-639,665.24,0.73998
835,-176,-633,657.01,0.73083
836,-226,-1000,1025.22,1.1404
837,-204,-841,865.39,0.96261
838,-367,-1073,1134.03,1.26143
839,-474,-1269,1354.64,1.50682
840,-264,-901,938.88,1.04436
841,-338,-984,1040.43,1.15732
842,-263,-1025,1058.2,1.17709
843,-109,-700,708.44,0.78803
844,-197,-761,786.09,0.8744
845,-208,-1012,1033.15,1.14923
846,-233,-797,830.36,0.92365
847,-356,-588,687.37,0.7646
848,-950,-237,979.12,1.08912
849,-1077,301,1118.27,1.24391
850,-960,348,1021.13,1.13585
851,-761,402,860.65,0.95735
852,156,-584,604.48,0.67239
853,973,-913,1334.28,1.48418
854,-12,-725,725.1,0.80656
855,-528,-130,543.77,0.60486
856,-446,-605,751.63,0.83607
857,228,-1258,1278.49,1.42213
858,174,-1131,1144.31,1.27287
859,-1,-417,417,0.46385
860,-275,-300,406.97,0.45269
861,-408,-188,449.23,0.4997
862,-30,-322,323.39,0.35973
863,506,-821,964.4,1.07275
864,814,-692,1068.39,1.18842
865,433,-406,593.57,0.66026
866,-135,-350,375.13,0.41728
867,-96,-401,412.33,0.45866
868,71,-666,669.77,0.74502
869,82,-664,669.04,0.74421
870,-238,-827,860.57,0.95725
871,-454,-901,1008.92,1.12227
872,-128,-650,662.48,0.73691
873,-118,-737,746.39,0.83024
874,-65,-826,828.55,0.92164
875,-70,-527,531.63,0.59136
876,-34,-463,464.25,0.5164
877,136,-645,659.18,0.73324
878,147,-505,525.96,0.58505
879,-43,-308,310.99,0.34593
880,441,-530,689.48,0.76694
881,911,-504,1041.12,1.15809
882,931,-628,1123.01,1.24917
883,853,-622,1055.7,1.1743
884,-158,-313,350.62,0.39001
885,-789,367,870.18,0.96794
886,-211,-443,490.68,0.54581
887,546,-813,979.33,1.08935
888,158,-555,577.05,0.64188
889,-298,240,382.63,0.42561
890,-219,243,327.12,0.36388
891,72,-233,243.87,0.27127
892,-7,-648,648.04,0.72084
893,-83,-702,706.89,0.78631
894,-85,-280,292.62,0.32549
895,-447,-246,510.22,0.56754
896,-641,-442,778.62,0.86609
897,-366,-695,785.48,0.87373
898,-36,-584,585.11,0.65084
899,14,-207,207.47,0.23078
900,-91,-50,103.83,0.1155
901,66,-118,135.2,0.15039
902,379,-314,492.18,0.54747
903,505,-311,593.08,0.65971
904,236,-182,298.03,0.33151
905,-68,-41,79.4,0.08832
906,-78,-38,86.76,0.09651
907,71,-68,98.31,0.10936
908,-36,-79,86.82,0.09657
909,-269,-231,354.57,0.39441
910,-140,-197,241.68,0.26883
911,155,-168,228.58,0.25426
912,270,-152,309.85,0.34466
913,311,86,322.67,0.35892
914,298,138,328.4,0.3653
915,266,61,272.9,0.30356
916,105,-263,283.19,0.315
917,12,-26,28.64,0.03185
918,-27,-353,354.03,0.39381
919,181,-287,339.31,0.37743
920,-3,-282,282.02,0.3137
921,-88,-216,233.24,0.25944
922,-82,-254,266.91,0.29689
923,-19,-117,118.53,0.13185
924,-119,-258,284.12,0.31604
925,-75,-352,359.9,0.40034
926,36,-217,219.97,0.24468
927,-143,-294,326.93,0.36366
928,-244,-251,350.05,0.38938
929,-198,-374,423.18,0.47072
930,-26,-275,276.23,0.30726
