FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,START,tag_anchor_dist_m,n_samples,csv_file
1,31264491934,747.8125,747,972,-59.59,697,0.1,150,frame_0001.csv
2,139954966220,753.2812,753,902,-58.9,703,0.1,150,frame_0002.csv
3,248645425595,748.1406,748,1051,-60.56,698,0.1,150,frame_0003.csv
4,357335863487,752.7656,752,1323,-64.48,702,0.1,150,frame_0004.csv
5,466026284639,751.4531,751,1056,-60.05,701,0.1,150,frame_0005.csv
6,574716686975,752.7031,752,1032,-59.24,702,0.1,150,frame_0006.csv
7,683407014248,748.5937,748,1072,-59.56,698,0.1,150,frame_0007.csv
8,792097456626,750.625,750,877,-58.21,700,0.1,150,frame_0008.csv
9,900787814366,749.4375,749,873,-59.33,699,0.1,150,frame_0009.csv
10,1009478087616,749.7187,749,930,-61.38,699,0.1,150,frame_0010.csv
11,18656851861,749.2969,749,875,-58.78,699,0.1,150,frame_0011.csv
12,127347108737,749.2344,749,1076,-60.65,699,0.1,150,frame_0012.csv
