sample,taps_from_fp,amplitude,amplitude_norm
698,-50,383.98,0.37793
699,-49,648.79,0.63857
700,-48,226.63,0.22306
701,-47,287.24,0.28271
702,-46,245.72,0.24185
703,-45,189.81,0.18682
704,-44,142.64,0.14039
705,-43,152.07,0.14967
706,-42,603.5,0.594
707,-41,1114.96,1.0974
708,-40,1125.77,1.10804
709,-39,350.96,0.34544
710,-38,569.76,0.56079
711,-37,759.01,0.74706
712,-36,442.88,0.4359
713,-35,376.08,0.37015
714,-34,171.92,0.16921
715,-33,245.25,0.24138
716,-32,68.35,0.06728
717,-31,338.25,0.33292
718,-30,804.42,0.79175
719,-29,283.45,0.27899
720,-28,651.96,0.64169
721,-27,1056.92,1.04027
722,-26,510.42,0.50238
723,-25,444.2,0.43721
724,-24,328.87,0.32369
725,-23,114.74,0.11293
726,-22,195.44,0.19236
727,-21,126.53,0.12454
728,-20,255.97,0.25194
729,-19,212.46,0.20912
730,-18,266.09,0.2619
731,-17,378.87,0.37291
732,-16,239.38,0.23561
733,-15,55.57,0.05469
734,-14,106,0.10434
735,-13,231.14,0.2275
736,-12,236.13,0.23241
737,-11,260.97,0.25686
738,-10,12.04,0.01185
739,-9,350.28,0.34477
740,-8,280.02,0.27561
741,-7,241.11,0.23731
742,-6,636.11,0.6261
743,-5,439,0.43209
744,-4,93.81,0.09234
745,-3,93.94,0.09246
746,-2,503.77,0.49583
747,-1,1221.88,1.20264
748,0,8761.89,8.62391
749,1,17010.34,16.74246
750,2,16796.08,16.53157
751,3,10964.12,10.79146
752,4,15486.34,15.24246
753,5,13503.56,13.29091
754,6,5408.07,5.32291
755,7,6252.94,6.15446
756,8,1935.33,1.90485
757,9,799.47,0.78688
758,10,785.72,0.77335
759,11,1859.18,1.8299
760,12,3048.54,3.00053
761,13,1480.34,1.45703
762,14,5686.72,5.59716
763,15,9901.59,9.74566
764,16,3039.16,2.9913
765,17,4878.4,4.80157
766,18,6194.49,6.09694
767,19,5241.86,5.15931
768,20,5520.9,5.43395
769,21,2785.08,2.74122
770,22,7914.51,7.78987
771,23,17294.81,17.02245
772,24,17440.03,17.16538
773,25,4345.83,4.27739
774,26,11247.27,11.07015
775,27,13920.23,13.70101
776,28,9606.94,9.45565
777,29,8379.73,8.24777
778,30,6242.4,6.14409
779,31,1490.51,1.46704
780,32,2368.2,2.3309
781,33,3780.88,3.72134
782,34,5861,5.7687
783,35,5571.62,5.48388
784,36,3326.35,3.27397
785,37,7175.05,7.06206
786,38,3476.78,3.42202
787,39,5976.89,5.88276
788,40,6291.12,6.19205
789,41,1924.16,1.89386
790,42,281.85,0.27741
791,43,1111.57,1.09406
792,44,1882.71,1.85306
793,45,1396.31,1.37432
794,46,441.16,0.43422
795,47,1441.8,1.41909
796,48,1905.55,1.87554
797,49,1372.34,1.35072
798,50,1247.71,1.22806
799,51,749.83,0.73802
800,52,181.96,0.17909
801,53,381.76,0.37575
802,54,430.68,0.42389
803,55,666.7,0.6562
804,56,382.58,0.37656
805,57,808.31,0.79558
806,58,2125.86,2.09239
807,59,1550.26,1.52585
808,60,1091.51,1.07432
809,61,844.92,0.83161
810,62,2319.09,2.28257
811,63,5758.47,5.66779
812,64,6272.1,6.17332
813,65,2775.72,2.73201
814,66,1395.21,1.37324
815,67,1116.77,1.09918
816,68,1978.03,1.94688
817,69,3220.04,3.16933
818,70,362.27,0.35657
819,71,2034.17,2.00213
820,72,1054.54,1.03793
821,73,929.07,0.91444
822,74,1036.55,1.02022
823,75,604.83,0.59531
824,76,555.47,0.54673
825,77,424.17,0.41749
826,78,299.21,0.2945
827,79,519.14,0.51096
828,80,708.8,0.69764
829,81,1175.18,1.15667
830,82,1630.1,1.60443
831,83,1239.19,1.21967
832,84,478.75,0.47121
833,85,208.78,0.20549
834,86,336.47,0.33117
835,87,1111.39,1.09389
836,88,1192.36,1.17359
837,89,339.67,0.33432
838,90,778.43,0.76618
839,91,860.41,0.84686
840,92,700,0.68898
841,93,643.04,0.63292
842,94,938.99,0.9242
843,95,1159.81,1.14154
844,96,425.35,0.41865
845,97,731.64,0.72012
846,98,1147.69,1.12961
847,99,902.93,0.88871
