FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,START,tag_anchor_dist_m,n_samples,raw_csv,aligned_csv,elapsed_s
1,4288001105,750.8594,750,988,-66.9,700,0.7,150,01_raw_frames\frame_0001.csv,02_lde_aligned\frame_0001_aligned.csv,0
2,10677793818,749.2969,749,944,-63.3,699,0.7,150,01_raw_frames\frame_0002.csv,02_lde_aligned\frame_0002_aligned.csv,0.100000511959761
3,17067586518,747.7031,747,975,-67.44,697,0.7,150,01_raw_frames\frame_0003.csv,02_lde_aligned\frame_0003_aligned.csv,0.200001023716071
4,23457379692,753.7812,753,869,-61.42,703,0.7,150,01_raw_frames\frame_0004.csv,02_lde_aligned\frame_0004_aligned.csv,0.3000015428905
5,29847172267,751.9375,751,913,-63.05,701,0.7,150,01_raw_frames\frame_0005.csv,02_lde_aligned\frame_0005_aligned.csv,0.400002052690555
6,36236964820,747.8437,747,880,-64.55,697,0.7,150,01_raw_frames\frame_0006.csv,02_lde_aligned\frame_0006_aligned.csv,0.500002562146309
7,42626757834,751.75,751,947,-61.28,701,0.7,150,01_raw_frames\frame_0007.csv,02_lde_aligned\frame_0007_aligned.csv,0.600003078816732
8,49016550297,747.3594,747,847,-58.95,697,0.7,150,01_raw_frames\frame_0008.csv,02_lde_aligned\frame_0008_aligned.csv,0.700003586863982
9,55406342755,750.7656,750,877,-62.53,700,0.7,150,01_raw_frames\frame_0009.csv,02_lde_aligned\frame_0009_aligned.csv,0.800004094832983
10,61796135665,752.1562,752,1026,-63.13,702,0.7,150,01_raw_frames\frame_0010.csv,02_lde_aligned\frame_0010_aligned.csv,0.900004609875801
11,68185928028,746.2812,746,941,-61.07,696,0.7,150,01_raw_frames\frame_0011.csv,02_lde_aligned\frame_0011_aligned.csv,1.00000511635805
12,74575720364,748.2031,748,919,-63.75,698,0.7,150,01_raw_frames\frame_0012.csv,02_lde_aligned\frame_0012_aligned.csv,1.10000562241774
13,80965513176,748.5156,748,1162,-76.01,698,0.7,150,01_raw_frames\frame_0013.csv,02_lde_aligned\frame_0013_aligned.csv,1.20000613592686
14,87355305463,749.3281,749,956,-62.95,699,0.7,150,01_raw_frames\frame_0014.csv,02_lde_aligned\frame_0014_aligned.csv,1.3000066412197
15,93745098213,749.1094,749,941,-64.47,699,0.7,150,01_raw_frames\frame_0015.csv,02_lde_aligned\frame_0015_aligned.csv,1.40000715375851
16,100134890429,747.1719,747,905,-60.79,697,0.7,150,01_raw_frames\frame_0016.csv,02_lde_aligned\frame_0016_aligned.csv,1.5000076579402
17,106524682590,746.3594,746,933,-63.01,696,0.7,150,01_raw_frames\frame_0017.csv,02_lde_aligned\frame_0017_aligned.csv,1.60000816126114
18,112914475286,752.9375,752,869,-60.6,702,0.7,150,01_raw_frames\frame_0018.csv,02_lde_aligned\frame_0018_aligned.csv,1.70000867295485
19,119304267416,751.2187,751,942,-62.46,701,0.7,150,01_raw_frames\frame_0019.csv,02_lde_aligned\frame_0019_aligned.csv,1.80000917579064
20,125694059527,749.0156,749,924,-64.22,699,0.7,150,01_raw_frames\frame_0020.csv,02_lde_aligned\frame_0020_aligned.csv,1.90000967832908
21,132083852120,754.2187,754,955,-61.93,704,0.7,150,01_raw_frames\frame_0021.csv,02_lde_aligned\frame_0021_aligned.csv,2.00001018841083
22,138473644184,751.1406,751,899,-63.96,701,0.7,150,01_raw_frames\frame_0022.csv,02_lde_aligned\frame_0022_aligned.csv,2.10001069021372
23,144863436165,747.2969,747,962,-67.29,697,0.7,150,01_raw_frames\frame_0023.csv,02_lde_aligned\frame_0023_aligned.csv,2.20001119071765
24,151253228705,751.1094,751,942,-62.6,701,0.7,150,01_raw_frames\frame_0024.csv,02_lde_aligned\frame_0024_aligned.csv,2.30001169996995
25,157643020679,747.3281,747,892,-61.38,697,0.7,150,01_raw_frames\frame_0025.csv,02_lde_aligned\frame_0025_aligned.csv,2.40001220036433
26,164032813129,750.7344,750,924,-61.61,700,0.7,150,01_raw_frames\frame_0026.csv,02_lde_aligned\frame_0026_aligned.csv,2.50001270820813
27,170422605093,754.0469,754,911,-62.19,704,0.7,150,01_raw_frames\frame_0027.csv,02_lde_aligned\frame_0027_aligned.csv,2.60001320844601
28,176812396983,747.3281,747,903,-61.23,697,0.7,150,01_raw_frames\frame_0028.csv,02_lde_aligned\frame_0028_aligned.csv,2.70001370752579
29,183202189355,750.2656,750,886,-60.19,700,0.7,150,01_raw_frames\frame_0029.csv,02_lde_aligned\frame_0029_aligned.csv,2.80001421414889
30,189591981236,752.0312,752,918,-62.94,702,0.7,150,01_raw_frames\frame_0030.csv,02_lde_aligned\frame_0030_aligned.csv,2.90001471308782
31,195981773069,752.9219,752,882,-59.47,702,0.7,150,01_raw_frames\frame_0031.csv,02_lde_aligned\frame_0031_aligned.csv,3.00001521127554
32,202371565398,745.8125,745,942,-61.99,695,0.7,150,01_raw_frames\frame_0032.csv,02_lde_aligned\frame_0032_aligned.csv,3.10001571722569
33,208761357200,747.1562,747,994,-64.51,697,0.7,150,01_raw_frames\frame_0033.csv,02_lde_aligned\frame_0033_aligned.csv,3.20001621492826
34,215151148964,747.1562,747,876,-62.42,697,0.7,150,01_raw_frames\frame_0034.csv,02_lde_aligned\frame_0034_aligned.csv,3.30001671203613
35,221540941214,746.6875,746,902,-59.03,696,0.7,150,01_raw_frames\frame_0035.csv,02_lde_aligned\frame_0035_aligned.csv,3.40001721674992
36,227930732947,746.7656,746,896,-61.39,696,0.7,150,01_raw_frames\frame_0036.csv,02_lde_aligned\frame_0036_aligned.csv,3.50001771337265
37,234320525139,746.0625,746,986,-63.72,696,0.7,150,01_raw_frames\frame_0037.csv,02_lde_aligned\frame_0037_aligned.csv,3.60001821717874
38,240710316813,753.5469,753,878,-61.02,703,0.7,150,01_raw_frames\frame_0038.csv,02_lde_aligned\frame_0038_aligned.csv,3.70001871287811
39,247100108463,751.375,751,931,-63.59,701,0.7,150,01_raw_frames\frame_0039.csv,02_lde_aligned\frame_0039_aligned.csv,3.80001920820187
40,253489900545,750.5312,750,1459,-78.74,700,0.7,150,01_raw_frames\frame_0040.csv,02_lde_aligned\frame_0040_aligned.csv,3.90001971028646
41,259879692171,747.2656,747,861,-60.14,697,0.7,150,01_raw_frames\frame_0041.csv,02_lde_aligned\frame_0041_aligned.csv,4.00002020523462
42,266269484285,753.0469,753,884,-59.72,703,0.7,150,01_raw_frames\frame_0042.csv,02_lde_aligned\frame_0042_aligned.csv,4.10002070782001
43,272659275824,750.5937,750,853,-59.8,700,0.7,150,01_raw_frames\frame_0043.csv,02_lde_aligned\frame_0043_aligned.csv,4.20002120140663
44,279049067340,746.2812,746,893,-60.68,696,0.7,150,01_raw_frames\frame_0044.csv,02_lde_aligned\frame_0044_aligned.csv,4.30002169463329
45,285438859378,846.375,846,887,-61.88,796,0.7,150,01_raw_frames\frame_0045.csv,02_lde_aligned\frame_0045_aligned.csv,4.40002219602927
46,291828650854,746.6875,746,868,-60.51,696,0.7,150,01_raw_frames\frame_0046.csv,02_lde_aligned\frame_0046_aligned.csv,4.50002268862993
47,298218442345,750.6094,750,921,-62.23,700,0.7,150,01_raw_frames\frame_0047.csv,02_lde_aligned\frame_0047_aligned.csv,4.60002318146534
48,304608234299,746.0156,746,1120,-71.28,696,0.7,150,01_raw_frames\frame_0048.csv,02_lde_aligned\frame_0048_aligned.csv,4.70002368154672
49,310998025734,749.0625,749,874,-61.04,699,0.7,150,01_raw_frames\frame_0049.csv,02_lde_aligned\frame_0049_aligned.csv,4.80002417350573
50,317387817659,752.7031,752,952,-64.29,702,0.7,150,01_raw_frames\frame_0050.csv,02_lde_aligned\frame_0050_aligned.csv,4.90002467313326
51,323777609015,746.625,746,913,-63.23,696,0.7,150,01_raw_frames\frame_0051.csv,02_lde_aligned\frame_0051_aligned.csv,5.00002516385592
52,330167400384,748.0937,748,887,-59.46,698,0.7,150,01_raw_frames\frame_0052.csv,02_lde_aligned\frame_0052_aligned.csv,5.10002565478203
53,336557192220,749.7812,749,941,-61.01,699,0.7,150,01_raw_frames\frame_0053.csv,02_lde_aligned\frame_0053_aligned.csv,5.2000261530167
54,342946983521,750.6094,750,904,-61.03,700,0.7,150,01_raw_frames\frame_0054.csv,02_lde_aligned\frame_0054_aligned.csv,5.30002664287861
55,349336775266,743.3906,743,1422,-80.51,693,0.7,150,01_raw_frames\frame_0055.csv,02_lde_aligned\frame_0055_aligned.csv,5.40002713968913
56,355726566555,751.2656,751,881,-60.46,701,0.7,150,01_raw_frames\frame_0056.csv,02_lde_aligned\frame_0056_aligned.csv,5.50002762936323
57,362116357812,751.6562,751,944,-61.61,701,0.7,150,01_raw_frames\frame_0057.csv,02_lde_aligned\frame_0057_aligned.csv,5.60002811853653
58,368506149536,743.5625,743,1524,-76.92,693,0.7,150,01_raw_frames\frame_0058.csv,02_lde_aligned\frame_0058_aligned.csv,5.7000286150184
59,374895940707,750.9687,750,1383,-79.44,700,0.7,150,01_raw_frames\frame_0059.csv,02_lde_aligned\frame_0059_aligned.csv,5.8000291028458
60,381285732425,749.7344,749,911,-59.75,699,0.7,150,01_raw_frames\frame_0060.csv,02_lde_aligned\frame_0060_aligned.csv,5.90002959923377
61,387675523529,749.1094,749,913,-60.9,699,0.7,150,01_raw_frames\frame_0061.csv,02_lde_aligned\frame_0061_aligned.csv,6.00003008601262
62,394065314680,747.0937,747,929,-61.57,697,0.7,150,01_raw_frames\frame_0062.csv,02_lde_aligned\frame_0062_aligned.csv,6.10003057352702
63,400455106284,753.0312,753,895,-60.52,703,0.7,150,01_raw_frames\frame_0063.csv,02_lde_aligned\frame_0063_aligned.csv,6.20003106813088
64,406844897350,750.6875,750,865,-59.77,700,0.7,150,01_raw_frames\frame_0064.csv,02_lde_aligned\frame_0064_aligned.csv,6.30003155431503
65,413234688906,746.875,746,890,-62.99,696,0.7,150,01_raw_frames\frame_0065.csv,02_lde_aligned\frame_0065_aligned.csv,6.40003204816769
66,419624479904,751.8125,751,1276,-79.74,701,0.7,150,01_raw_frames\frame_0066.csv,02_lde_aligned\frame_0066_aligned.csv,6.50003253328764
67,426014270911,748.4531,748,889,-61.49,698,0.7,150,01_raw_frames\frame_0067.csv,02_lde_aligned\frame_0067_aligned.csv,6.60003301854843
68,432404062395,751.8906,751,872,-59.67,701,0.7,150,01_raw_frames\frame_0068.csv,02_lde_aligned\frame_0068_aligned.csv,6.70003351127429
69,438793853334,747.1875,747,905,-61.49,697,0.7,150,01_raw_frames\frame_0069.csv,02_lde_aligned\frame_0069_aligned.csv,6.80003399547088
70,445183644779,751.0156,751,941,-62.02,701,0.7,150,01_raw_frames\frame_0070.csv,02_lde_aligned\frame_0070_aligned.csv,6.90003448758639
71,451573435678,753.8125,753,878,-59.35,703,0.7,150,01_raw_frames\frame_0071.csv,02_lde_aligned\frame_0071_aligned.csv,7.00003497115698
72,457963226551,748.0781,748,927,-60.73,698,0.7,150,01_raw_frames\frame_0072.csv,02_lde_aligned\frame_0072_aligned.csv,7.10003545432066
73,464353017918,749.8125,749,894,-60.23,699,0.7,150,01_raw_frames\frame_0073.csv,02_lde_aligned\frame_0073_aligned.csv,7.20003594521547
74,470742808720,752.4375,752,911,-65.94,702,0.7,150,01_raw_frames\frame_0074.csv,02_lde_aligned\frame_0074_aligned.csv,7.300036427268
75,477132600059,753.0156,753,908,-60.11,703,0.7,150,01_raw_frames\frame_0075.csv,02_lde_aligned\frame_0075_aligned.csv,7.40003691772461
