sample,taps_from_fp,excess_path_m,reflector_off_m,real,imag,amplitude,amplitude_norm
696,-50.1719000000001,-15.065618132,NaN,171,105,200.66,0.14986
697,-49.1719000000001,-14.765338132,NaN,122,21,123.79,0.09245
698,-48.1719000000001,-14.465058132,NaN,170,37,173.98,0.12993
699,-47.1719000000001,-14.164778132,NaN,182,104,209.62,0.15655
700,-46.1719000000001,-13.864498132,NaN,163,208,264.26,0.19736
701,-45.1719000000001,-13.564218132,NaN,168,269,317.15,0.23686
702,-44.1719000000001,-13.263938132,NaN,182,219,284.75,0.21266
703,-43.1719000000001,-12.963658132,NaN,160,72,175.45,0.13103
704,-42.1719000000001,-12.663378132,NaN,172,21,173.28,0.12941
705,-41.1719000000001,-12.363098132,NaN,253,26,254.33,0.18994
706,-40.1719000000001,-12.062818132,NaN,314,70,321.71,0.24026
707,-39.1719000000001,-11.762538132,NaN,175,97,200.08,0.14943
708,-38.1719000000001,-11.462258132,NaN,132,83,155.93,0.11645
709,-37.1719000000001,-11.161978132,NaN,176,176,248.9,0.18589
710,-36.1719000000001,-10.861698132,NaN,176,235,293.6,0.21927
711,-35.1719000000001,-10.561418132,NaN,170,162,234.83,0.17538
712,-34.1719000000001,-10.261138132,NaN,158,107,190.82,0.14251
713,-33.1719000000001,-9.96085813200001,NaN,104,116,155.79,0.11635
714,-32.1719000000001,-9.66057813200002,NaN,-128,235,267.6,0.19985
715,-31.1719000000001,-9.36029813200001,NaN,-419,252,488.94,0.36516
716,-30.1719000000001,-9.06001813200002,NaN,-202,458,500.57,0.37384
717,-29.1719000000001,-8.75973813200001,NaN,271,612,669.32,0.49986
718,-28.1719000000001,-8.45945813200001,NaN,497,559,747.99,0.55862
719,-27.1719000000001,-8.15917813200002,NaN,527,306,609.4,0.45511
720,-26.1719000000001,-7.85889813200002,NaN,425,147,449.7,0.33585
721,-25.1719000000001,-7.55861813200001,NaN,478,156,502.81,0.37551
722,-24.1719000000001,-7.25833813200001,NaN,453,177,486.35,0.36322
723,-23.1719000000001,-6.95805813200001,NaN,243,74,254.02,0.18971
724,-22.1719000000001,-6.65777813200001,NaN,112,188,218.83,0.16343
725,-21.1719000000001,-6.35749813200002,NaN,119,243,270.57,0.20207
726,-20.1719000000001,-6.05721813200002,NaN,147,345,375.01,0.28007
727,-19.1719000000001,-5.75693813200002,NaN,101,360,373.9,0.27924
728,-18.1719000000001,-5.45665813200002,NaN,101,136,169.4,0.12651
729,-17.1719000000001,-5.15637813200001,NaN,-20,16,25.61,0.01913
730,-16.1719000000001,-4.85609813200001,NaN,45,7,45.54,0.03401
731,-15.1719000000001,-4.55581813200001,NaN,93,104,139.52,0.10419
732,-14.1719000000001,-4.25553813200001,NaN,88,64,108.81,0.08126
733,-13.1719000000001,-3.95525813200002,NaN,21,59,62.63,0.04677
734,-12.1719000000001,-3.65497813200002,NaN,23,72,75.58,0.05645
735,-11.1719000000001,-3.35469813200001,NaN,20,162,163.23,0.1219
736,-10.1719000000001,-3.05441813200001,NaN,76,173,188.96,0.14112
737,-9.17190000000005,-2.75413813200002,NaN,93,151,177.34,0.13244
738,-8.17190000000005,-2.45385813200002,NaN,82,92,123.24,0.09204
739,-7.17190000000005,-2.15357813200001,NaN,52,18,55.03,0.0411
740,-6.17190000000005,-1.85329813200002,NaN,27,13,29.97,0.02238
741,-5.17190000000005,-1.55301813200002,NaN,45,-52,68.77,0.05136
742,-4.17190000000005,-1.25273813200002,NaN,29,-71,76.69,0.05728
743,-3.17190000000005,-0.952458132000015,NaN,85,116,143.81,0.1074
744,-2.17190000000005,-0.652178132000015,NaN,54,57,78.52,0.05864
745,-1.17190000000005,-0.351898132000015,NaN,-539,-1009,1143.94,0.85433
746,-0.171900000000051,-0.0516181320000152,NaN,-2107,-4491,4960.7,3.70478
747,0.828099999999949,0.248661867999985,0.320140336335966,-5704,-8112,9916.66,7.40602
748,1.82809999999995,0.548941867999985,0.51716916711152,-10942,-4720,11916.62,8.89964
749,2.82809999999995,0.849221867999985,0.691029738196802,-13914,5475,14952.43,11.16686
750,3.82809999999995,1.14950186799998,0.855958112254249,-10345,13841,17279.82,12.90502
751,4.82809999999995,1.44978186799998,1.01631221580545,-2713,16413,16635.71,12.42398
752,5.82809999999995,1.75006186799998,1.17396796773034,3019,15430,15722.57,11.74203
753,6.82809999999995,2.05034186799998,1.32988537014226,2611,14574,14806.04,11.05754
754,7.82809999999995,2.35062186799998,1.48461222054108,-678,11100,11120.69,8.30522
755,8.82809999999995,2.65090186799998,1.63848583522759,-1150,3267,3463.49,2.58663
756,9.82809999999995,2.95118186799998,1.79172605559638,-1215,-1920,2272.14,1.69689
757,10.8280999999999,3.25146186799998,1.94448263647801,-4619,-2094,5071.49,3.78752
758,11.8280999999999,3.55174186799998,2.09686128011035,-7881,731,7914.83,5.911
759,12.8280999999999,3.85202186799998,2.24893881012524,-4612,2160,5092.75,3.8034
760,13.8280999999999,4.15230186799998,2.4007724495564,1244,1861,2238.49,1.67177
761,14.8280999999999,4.45258186799999,2.55240572335406,4009,1286,4210.21,3.14429
762,15.8280999999999,4.75286186799999,2.70387234126763,3385,137,3387.77,2.53008
763,16.8280999999999,5.05314186799998,2.8551988264101,2258,-758,2381.83,1.77881
764,17.8280999999999,5.35342186799998,3.00640633946829,2046,-1203,2373.46,1.77256
765,18.8280999999999,5.65370186799998,3.15751197255951,1822,-1139,2148.72,1.60472
766,19.8280999999999,5.95398186799998,3.30852968475698,602,-1320,1450.79,1.08349
767,20.8280999999999,6.25426186799998,3.45947099022085,-1406,-2122,2545.53,1.90107
768,21.8280999999999,6.55454186799998,3.61034547220085,-2562,-2744,3754.11,2.80367
769,22.8280999999999,6.85482186799999,3.76116117233797,-1236,-856,1503.47,1.12283
770,23.8280999999999,7.15510186799998,3.91192488925391,1038,2661,2856.29,2.13315
771,24.8280999999999,7.45538186799998,4.06264241020862,3532,4602,5801.16,4.33246
772,25.8280999999999,7.75566186799998,4.21331869272753,6557,1437,6712.62,5.01316
773,26.8280999999999,8.05594186799999,4.36395800838514,9647,-3498,10261.61,7.66364
774,27.8280999999999,8.35622186799998,4.51456405764834,9517,-4743,10633.41,7.9413
775,28.8280999999999,8.65650186799999,4.66514006236381,4090,-1659,4413.66,3.29623
776,29.8280999999999,8.95678186799998,4.81568884081326,-1371,227,1389.67,1.03784
777,30.8280999999999,9.25706186799998,4.96621286905775,-3480,-1015,3625,2.70724
778,31.8280999999999,9.55734186799998,5.11671433140999,-1337,-2814,3115.47,2.32672
779,32.8280999999999,9.85762186799998,5.26719516222039,783,-1825,1985.88,1.48311
780,33.8280999999999,10.157901868,5.41765708067421,-410,-3,410.01,0.30621
781,34.8280999999999,10.458181868,5.56810161992765,-2365,144,2369.38,1.76951
782,35.8280999999999,10.758461868,5.71853015163009,-2068,228,2080.53,1.55379
783,36.8280999999999,11.058741868,5.86894390666361,-437,975,1068.45,0.79795
784,37.8280999999999,11.359021868,6.01934399276412,703,1185,1377.84,1.029
785,38.8280999999999,11.659301868,6.16973140955803,1519,720,1681,1.25541
786,39.8280999999999,11.959581868,6.3201070614467,1723,734,1872.83,1.39868
787,40.8280999999999,12.259861868,6.47047176868967,608,1435,1558.49,1.16392
