FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,STD_NOISE,NTM,NOISE_THRESH,PEAK_IDX,PEAK_AMPL,START,elapsed_s,tag_anchor_dist_m,n_samples,aligned_csv
47,298768922586,747.5,747,953,-56.49,72,13,936,750,17050,697,5.0330866,1,150,02_lde_aligned\frame_0047_aligned.csv
48,305158707883,750.2656,750,932,-56.39,72,13,936,752,17659,700,5.1239162,1,150,02_lde_aligned\frame_0048_aligned.csv
49,311548492671,745.4531,745,915,-56.26,72,13,936,747,17464,695,5.2352929,1,150,02_lde_aligned\frame_0049_aligned.csv
50,317938277449,749.2344,749,929,-56.31,68,13,884,751,17609,699,5.3298388,1,150,02_lde_aligned\frame_0050_aligned.csv
51,324328062743,751.7031,751,922,-56.28,76,13,988,753,17373,701,5.4252286,1,150,02_lde_aligned\frame_0051_aligned.csv
52,330717847528,747.2187,747,926,-57.01,64,13,832,749,16586,697,5.5369662,1,150,02_lde_aligned\frame_0052_aligned.csv
53,337107632306,750.375,750,968,-56.19,76,13,988,752,18105,700,5.6359287,1,150,02_lde_aligned\frame_0053_aligned.csv
54,343497417610,745.5,745,930,-56.74,68,13,884,747,17313,695,5.7312635,1,150,02_lde_aligned\frame_0054_aligned.csv
55,349887202401,749.3594,749,949,-57.06,84,13,1092,766,17094,699,5.8257164,1,150,02_lde_aligned\frame_0055_aligned.csv
56,356276987195,753.2656,753,939,-56.36,72,13,936,755,17747,703,5.9358749,1,150,02_lde_aligned\frame_0056_aligned.csv
57,362666772509,748.1719,748,946,-56.31,76,13,988,750,16897,698,6.0306457,1,150,02_lde_aligned\frame_0057_aligned.csv
58,369056557310,752.0625,752,961,-56.48,68,13,884,769,17479,702,6.1295601,1,150,02_lde_aligned\frame_0058_aligned.csv
59,375446342139,747.5156,747,899,-56.39,72,13,936,749,17094,697,6.2241047,1,150,02_lde_aligned\frame_0059_aligned.csv
