sample,taps_from_fp,amplitude,amplitude_norm
700,-50.3125,392.05,0.4153
701,-49.3125,265.09,0.28082
702,-48.3125,107.07,0.11343
703,-47.3125,72.01,0.07628
704,-46.3125,193.2,0.20466
705,-45.3125,634.43,0.67207
706,-44.3125,859.76,0.91076
707,-43.3125,472.76,0.5008
708,-42.3125,151.7,0.1607
709,-41.3125,138.44,0.14665
710,-40.3125,152.74,0.1618
711,-39.3125,555.62,0.58858
712,-38.3125,620.77,0.65759
713,-37.3125,435.5,0.46133
714,-36.3125,390.22,0.41337
715,-35.3125,560.2,0.59344
716,-34.3125,172.01,0.18222
717,-33.3125,248.85,0.26361
718,-32.3125,160.31,0.16982
719,-31.3125,519.32,0.55013
720,-30.3125,751.38,0.79595
721,-29.3125,448.6,0.47521
722,-28.3125,316.08,0.33483
723,-27.3125,359.18,0.38049
724,-26.3125,407.02,0.43116
725,-25.3125,526.64,0.55788
726,-24.3125,586.81,0.62162
727,-23.3125,296.77,0.31437
728,-22.3125,116.81,0.12374
729,-21.3125,330.68,0.35029
730,-20.3125,266.18,0.28197
731,-19.3125,247.41,0.26208
732,-18.3125,387.55,0.41054
733,-17.3125,303.9,0.32192
734,-16.3125,81.06,0.08586
735,-15.3125,55.58,0.05888
736,-14.3125,151.99,0.16101
737,-13.3125,197.08,0.20878
738,-12.3125,270.65,0.2867
739,-11.3125,304.63,0.3227
740,-10.3125,445.48,0.4719
741,-9.3125,368.22,0.39007
742,-8.3125,267.23,0.28308
743,-7.3125,435.04,0.46084
744,-6.3125,489.04,0.51805
745,-5.3125,290.76,0.30801
746,-4.3125,202.99,0.21503
747,-3.3125,103,0.10912
748,-2.3125,189.19,0.20041
749,-1.3125,754.01,0.79874
750,-0.3125,5254.46,5.56616
751,0.6875,13821.73,14.64167
752,1.6875,16409.02,17.38244
753,2.6875,14370.47,15.22296
754,3.6875,14410.58,15.26544
755,4.6875,13373.17,14.16649
756,5.6875,4571.92,4.84313
757,6.6875,3395.4,3.59682
758,7.6875,1905.32,2.01835
759,8.6875,1734.3,1.83718
760,9.6875,669.99,0.70974
761,10.6875,1818.18,1.92604
762,11.6875,782.65,0.82908
763,12.6875,1414.62,1.49853
764,13.6875,1727.36,1.82983
765,14.6875,1839.87,1.94901
766,15.6875,1810.56,1.91796
767,16.6875,1084.8,1.14915
768,17.6875,1464.18,1.55104
769,18.6875,6817.97,7.22243
770,19.6875,10109.43,10.70915
771,20.6875,6196.13,6.56369
772,21.6875,4361.77,4.62052
773,22.6875,4462.66,4.72739
774,23.6875,2973.37,3.14976
775,24.6875,6962.68,7.37572
776,25.6875,8583.79,9.093
777,26.6875,2721.89,2.88336
778,27.6875,5691.42,6.02904
779,28.6875,6743.94,7.14401
780,29.6875,2001.69,2.12043
781,30.6875,1217.42,1.28964
782,31.6875,1372.71,1.45415
783,32.6875,4582.8,4.85466
784,33.6875,3958.15,4.19295
785,34.6875,1851.82,1.96167
786,35.6875,528.91,0.56029
787,36.6875,1424.17,1.50865
788,37.6875,1793,1.89937
789,38.6875,5705.72,6.0442
790,39.6875,8311.17,8.80421
791,40.6875,4661.97,4.93853
792,41.6875,835.19,0.88474
793,42.6875,5806.36,6.15081
794,43.6875,5784.33,6.12747
795,44.6875,3137.46,3.32358
796,45.6875,6012.99,6.36969
797,46.6875,3966,4.20127
798,47.6875,1013.72,1.07385
799,48.6875,2457.73,2.60353
800,49.6875,2289.76,2.42559
801,50.6875,2608.88,2.76365
802,51.6875,1596.08,1.69076
803,52.6875,1064.73,1.12789
804,53.6875,1959.33,2.07556
805,54.6875,997.06,1.0562
806,55.6875,1708.12,1.80945
807,56.6875,3192.49,3.38188
808,57.6875,2516.26,2.66553
809,58.6875,2307.42,2.4443
810,59.6875,3714.93,3.9353
811,60.6875,3636.38,3.85209
812,61.6875,1241.81,1.31547
813,62.6875,1186,1.25636
814,63.6875,2271.86,2.40664
815,64.6875,2678.04,2.8369
816,65.6875,2578.76,2.73174
817,66.6875,1656.48,1.75475
818,67.6875,3061.63,3.24326
819,68.6875,3499.67,3.70727
820,69.6875,1782.27,1.888
821,70.6875,2739,2.90149
822,71.6875,2230.04,2.36233
823,72.6875,1158.3,1.22701
824,73.6875,936.58,0.99214
825,74.6875,836.93,0.88658
826,75.6875,413.04,0.43755
827,76.6875,617.65,0.65429
828,77.6875,334.2,0.35403
829,78.6875,1559.12,1.65161
830,79.6875,1702.52,1.80351
831,80.6875,428.66,0.45409
832,81.6875,989.31,1.048
833,82.6875,957.6,1.01441
834,83.6875,2259.08,2.3931
835,84.6875,1904.69,2.01768
836,85.6875,842.63,0.89261
837,86.6875,658.33,0.69738
838,87.6875,1010.97,1.07094
839,88.6875,1407.81,1.49133
840,89.6875,1001.62,1.06104
841,90.6875,1286.62,1.36294
842,91.6875,1067.34,1.13066
843,92.6875,278.89,0.29543
844,93.6875,457.86,0.48502
845,94.6875,326.66,0.34604
846,95.6875,786.11,0.83274
847,96.6875,858.78,0.90973
848,97.6875,593.03,0.62821
849,98.6875,606.93,0.64294
