FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,START,tag_anchor_dist_m,n_samples,raw_csv,aligned_csv
1,6820189843,750.8906,750,990,-62.69,730,0.6,200,01_raw_frames\frame_0001.csv,02_lde_aligned\frame_0001_aligned.csv
2,13209994584,745.2656,745,1055,-63.47,725,0.6,200,01_raw_frames\frame_0002.csv,02_lde_aligned\frame_0002_aligned.csv
3,19599793352,743.1406,743,1133,-63.52,723,0.6,200,01_raw_frames\frame_0003.csv,02_lde_aligned\frame_0003_aligned.csv
4,25989598426,751.875,751,984,-62.39,731,0.6,200,01_raw_frames\frame_0004.csv,02_lde_aligned\frame_0004_aligned.csv
5,32379396415,745.9531,745,1175,-67.29,725,0.6,200,01_raw_frames\frame_0005.csv,02_lde_aligned\frame_0005_aligned.csv
6,38769201224,750.0937,750,1042,-61.61,730,0.6,200,01_raw_frames\frame_0006.csv,02_lde_aligned\frame_0006_aligned.csv
7,45158999868,745.5312,745,1007,-60.95,725,0.6,200,01_raw_frames\frame_0007.csv,02_lde_aligned\frame_0007_aligned.csv
8,51548804627,749.0937,749,1122,-65.6,729,0.6,200,01_raw_frames\frame_0008.csv,02_lde_aligned\frame_0008_aligned.csv
9,57938602858,746.25,746,991,-62.19,726,0.6,200,01_raw_frames\frame_0009.csv,02_lde_aligned\frame_0009_aligned.csv
10,64328407590,748.375,748,1172,-65.03,728,0.6,200,01_raw_frames\frame_0010.csv,02_lde_aligned\frame_0010_aligned.csv
11,70718205956,748.8906,748,1127,-66.65,728,0.6,200,01_raw_frames\frame_0011.csv,02_lde_aligned\frame_0011_aligned.csv
12,77108010658,751.2187,751,1127,-65.99,731,0.6,200,01_raw_frames\frame_0012.csv,02_lde_aligned\frame_0012_aligned.csv
13,83497809331,722.4687,722,1076,-65.15,702,0.6,200,01_raw_frames\frame_0013.csv,02_lde_aligned\frame_0013_aligned.csv
14,89887614018,750,750,1006,-62.33,730,0.6,200,01_raw_frames\frame_0014.csv,02_lde_aligned\frame_0014_aligned.csv
15,96277411820,748.6562,748,983,-62.2,728,0.6,200,01_raw_frames\frame_0015.csv,02_lde_aligned\frame_0015_aligned.csv
16,102667216610,752.625,752,928,-60.89,732,0.6,200,01_raw_frames\frame_0016.csv,02_lde_aligned\frame_0016_aligned.csv
17,109057015082,720.2969,720,996,-63.84,700,0.6,200,01_raw_frames\frame_0017.csv,02_lde_aligned\frame_0017_aligned.csv
