FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,START,tag_anchor_dist_m,n_samples,raw_csv,aligned_csv
1,3565338814,748.1875,748,1063,-62.72,698,0.7,150,01_raw_frames\frame_0001.csv,02_lde_aligned\frame_0001_aligned.csv
2,9955117063,745.3281,745,1079,-62.52,695,0.7,150,01_raw_frames\frame_0002.csv,02_lde_aligned\frame_0002_aligned.csv
3,16344895846,750.6875,750,997,-62.84,700,0.7,150,01_raw_frames\frame_0003.csv,02_lde_aligned\frame_0003_aligned.csv
4,22734674117,748.5469,748,903,-62.29,698,0.7,150,01_raw_frames\frame_0004.csv,02_lde_aligned\frame_0004_aligned.csv
5,29124452392,745.7187,745,1009,-62.96,695,0.7,150,01_raw_frames\frame_0005.csv,02_lde_aligned\frame_0005_aligned.csv
6,35514230644,751.5312,751,921,-62.25,701,0.7,150,01_raw_frames\frame_0006.csv,02_lde_aligned\frame_0006_aligned.csv
7,41904009398,748.1094,748,1054,-63.16,698,0.7,150,01_raw_frames\frame_0007.csv,02_lde_aligned\frame_0007_aligned.csv
8,48293787645,753.0469,753,987,-62.33,703,0.7,150,01_raw_frames\frame_0008.csv,02_lde_aligned\frame_0008_aligned.csv
9,54683565874,749.75,749,989,-62.02,699,0.7,150,01_raw_frames\frame_0009.csv,02_lde_aligned\frame_0009_aligned.csv
10,61073344090,747.125,747,954,-62.1,697,0.7,150,01_raw_frames\frame_0010.csv,02_lde_aligned\frame_0010_aligned.csv
11,67463122808,751.3437,751,913,-62,701,0.7,150,01_raw_frames\frame_0011.csv,02_lde_aligned\frame_0011_aligned.csv
12,73852901003,748.0156,748,1084,-62.13,698,0.7,150,01_raw_frames\frame_0012.csv,02_lde_aligned\frame_0012_aligned.csv
13,80242679201,735.2344,735,886,-61.82,685,0.7,150,01_raw_frames\frame_0013.csv,02_lde_aligned\frame_0013_aligned.csv
14,86632457384,748.2187,748,1028,-61.83,698,0.7,150,01_raw_frames\frame_0014.csv,02_lde_aligned\frame_0014_aligned.csv
15,93022236077,752.1719,752,988,-61.94,702,0.7,150,01_raw_frames\frame_0015.csv,02_lde_aligned\frame_0015_aligned.csv
16,99412014247,748.2031,748,1018,-62.1,698,0.7,150,01_raw_frames\frame_0016.csv,02_lde_aligned\frame_0016_aligned.csv
17,105801792412,751.2812,751,1052,-62.5,701,0.7,150,01_raw_frames\frame_0017.csv,02_lde_aligned\frame_0017_aligned.csv
18,112191570571,747.5156,747,895,-61.13,697,0.7,150,01_raw_frames\frame_0018.csv,02_lde_aligned\frame_0018_aligned.csv
19,118581349230,750.9375,750,933,-61.64,700,0.7,150,01_raw_frames\frame_0019.csv,02_lde_aligned\frame_0019_aligned.csv
20,124971127385,746.8594,746,964,-61.12,696,0.7,150,01_raw_frames\frame_0020.csv,02_lde_aligned\frame_0020_aligned.csv
21,131360905527,750.4531,750,922,-61.27,700,0.7,150,01_raw_frames\frame_0021.csv,02_lde_aligned\frame_0021_aligned.csv
22,137750683668,745.4062,745,953,-61.15,695,0.7,150,01_raw_frames\frame_0022.csv,02_lde_aligned\frame_0022_aligned.csv
23,144140462309,748.5469,748,871,-61.33,698,0.7,150,01_raw_frames\frame_0023.csv,02_lde_aligned\frame_0023_aligned.csv
24,150530240436,751.7812,751,916,-61.42,701,0.7,150,01_raw_frames\frame_0024.csv,02_lde_aligned\frame_0024_aligned.csv
25,156920018566,747.9375,747,992,-61.22,697,0.7,150,01_raw_frames\frame_0025.csv,02_lde_aligned\frame_0025_aligned.csv
26,163309796685,750.0469,750,910,-61.55,700,0.7,150,01_raw_frames\frame_0026.csv,02_lde_aligned\frame_0026_aligned.csv
27,169699575314,745.75,745,885,-61.38,695,0.7,150,01_raw_frames\frame_0027.csv,02_lde_aligned\frame_0027_aligned.csv
28,176089353426,748.5,748,1028,-62.39,698,0.7,150,01_raw_frames\frame_0028.csv,02_lde_aligned\frame_0028_aligned.csv
29,182479131535,751.8281,751,896,-61.35,701,0.7,150,01_raw_frames\frame_0029.csv,02_lde_aligned\frame_0029_aligned.csv
30,188868909637,745.9219,745,900,-61.39,695,0.7,150,01_raw_frames\frame_0030.csv,02_lde_aligned\frame_0030_aligned.csv
31,195258688249,748.9844,748,882,-61.25,698,0.7,150,01_raw_frames\frame_0031.csv,02_lde_aligned\frame_0031_aligned.csv
32,201648466337,752.4844,752,897,-61.36,702,0.7,150,01_raw_frames\frame_0032.csv,02_lde_aligned\frame_0032_aligned.csv
33,208038244419,746.7656,746,893,-61.2,696,0.7,150,01_raw_frames\frame_0033.csv,02_lde_aligned\frame_0033_aligned.csv
34,214428023012,748.4062,748,891,-61.27,698,0.7,150,01_raw_frames\frame_0034.csv,02_lde_aligned\frame_0034_aligned.csv
35,220817801091,751.8906,751,1111,-62.54,701,0.7,150,01_raw_frames\frame_0035.csv,02_lde_aligned\frame_0035_aligned.csv
36,227207579152,745.7187,745,998,-61.25,695,0.7,150,01_raw_frames\frame_0036.csv,02_lde_aligned\frame_0036_aligned.csv
37,233597357222,748.1875,748,1151,-61.84,698,0.7,150,01_raw_frames\frame_0037.csv,02_lde_aligned\frame_0037_aligned.csv
38,239987135759,749.4531,749,1042,-61.68,699,0.7,150,01_raw_frames\frame_0038.csv,02_lde_aligned\frame_0038_aligned.csv
39,246376913828,751.2812,751,850,-59.17,701,0.7,150,01_raw_frames\frame_0039.csv,02_lde_aligned\frame_0039_aligned.csv
40,252766691944,747.0937,747,1006,-61.35,697,0.7,150,01_raw_frames\frame_0040.csv,02_lde_aligned\frame_0040_aligned.csv
41,259156470460,749.0312,749,969,-61.31,699,0.7,150,01_raw_frames\frame_0041.csv,02_lde_aligned\frame_0041_aligned.csv
42,265546248505,749.6094,749,923,-60.3,699,0.7,150,01_raw_frames\frame_0042.csv,02_lde_aligned\frame_0042_aligned.csv
43,271936026605,753.2969,753,868,-59.1,703,0.7,150,01_raw_frames\frame_0043.csv,02_lde_aligned\frame_0043_aligned.csv
44,278325804664,747.5937,747,858,-59.86,697,0.7,150,01_raw_frames\frame_0044.csv,02_lde_aligned\frame_0044_aligned.csv
45,284715583217,749.3594,749,975,-60.42,699,0.7,150,01_raw_frames\frame_0045.csv,02_lde_aligned\frame_0045_aligned.csv
46,291105361293,751.7969,751,1030,-60.41,701,0.7,150,01_raw_frames\frame_0046.csv,02_lde_aligned\frame_0046_aligned.csv
47,297495139358,745.4375,745,936,-60.65,695,0.7,150,01_raw_frames\frame_0047.csv,02_lde_aligned\frame_0047_aligned.csv
48,303884917882,747.75,747,925,-59.48,697,0.7,150,01_raw_frames\frame_0048.csv,02_lde_aligned\frame_0048_aligned.csv
49,310274695878,748.1875,748,894,-60.59,698,0.7,150,01_raw_frames\frame_0049.csv,02_lde_aligned\frame_0049_aligned.csv
50,316664473873,749.6094,749,878,-57.69,699,0.7,150,01_raw_frames\frame_0050.csv,02_lde_aligned\frame_0050_aligned.csv
51,323054252493,752.6719,752,861,-61.34,702,0.7,150,01_raw_frames\frame_0051.csv,02_lde_aligned\frame_0051_aligned.csv
52,329444030432,753.0937,753,943,-60.24,703,0.7,150,01_raw_frames\frame_0052.csv,02_lde_aligned\frame_0052_aligned.csv
53,335833808512,747.3437,747,904,-58.61,697,0.7,150,01_raw_frames\frame_0053.csv,02_lde_aligned\frame_0053_aligned.csv
54,342223587061,749.6719,749,836,-57.69,699,0.7,150,01_raw_frames\frame_0054.csv,02_lde_aligned\frame_0054_aligned.csv
55,348613365122,751.375,751,850,-56.62,701,0.7,150,01_raw_frames\frame_0055.csv,02_lde_aligned\frame_0055_aligned.csv
56,355003143145,753.3594,753,858,-59.24,703,0.7,150,01_raw_frames\frame_0056.csv,02_lde_aligned\frame_0056_aligned.csv
57,361392921659,746.1406,746,866,-60.17,696,0.7,150,01_raw_frames\frame_0057.csv,02_lde_aligned\frame_0057_aligned.csv
58,367782699681,747.9844,747,885,-59.31,697,0.7,150,01_raw_frames\frame_0058.csv,02_lde_aligned\frame_0058_aligned.csv
59,374172477685,749.4219,749,1072,-60.78,699,0.7,150,01_raw_frames\frame_0059.csv,02_lde_aligned\frame_0059_aligned.csv
60,380562255704,750.8437,750,859,-57.94,700,0.7,150,01_raw_frames\frame_0060.csv,02_lde_aligned\frame_0060_aligned.csv
61,386952034232,752.2187,752,851,-57.4,702,0.7,150,01_raw_frames\frame_0061.csv,02_lde_aligned\frame_0061_aligned.csv
62,393341812244,746.0312,746,887,-58.05,696,0.7,150,01_raw_frames\frame_0062.csv,02_lde_aligned\frame_0062_aligned.csv
63,399731590748,746.7812,746,875,-58.05,696,0.7,150,01_raw_frames\frame_0063.csv,02_lde_aligned\frame_0063_aligned.csv
64,406121368771,747.8906,747,856,-57.12,697,0.7,150,01_raw_frames\frame_0064.csv,02_lde_aligned\frame_0064_aligned.csv
