FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,START,tag_anchor_dist_m,n_samples,raw_csv,aligned_csv
1,76994535870,749.0625,749,847,-57.15,729,0.3,200,01_raw_frames\frame_0001.csv,02_lde_aligned\frame_0001_aligned.csv
2,185684650049,749.3594,749,1027,-58.83,729,0.3,200,01_raw_frames\frame_0002.csv,02_lde_aligned\frame_0002_aligned.csv
3,294374716532,750.4062,750,1067,-58.93,730,0.3,200,01_raw_frames\frame_0003.csv,02_lde_aligned\frame_0003_aligned.csv
4,403064825066,752.25,752,920,-56.92,732,0.3,200,01_raw_frames\frame_0004.csv,02_lde_aligned\frame_0004_aligned.csv
5,511754820082,748.5,748,908,-56.96,728,0.3,200,01_raw_frames\frame_0005.csv,02_lde_aligned\frame_0005_aligned.csv
6,620444871421,753.5469,753,1019,-57.95,733,0.3,200,01_raw_frames\frame_0006.csv,02_lde_aligned\frame_0006_aligned.csv
7,729134851091,749.5156,749,873,-57.09,729,0.3,200,01_raw_frames\frame_0007.csv,02_lde_aligned\frame_0007_aligned.csv
8,837824910166,746.3125,746,870,-56.98,726,0.3,200,01_raw_frames\frame_0008.csv,02_lde_aligned\frame_0008_aligned.csv
9,946515007781,753.6719,753,860,-57.21,733,0.3,200,01_raw_frames\frame_0009.csv,02_lde_aligned\frame_0009_aligned.csv
10,1055205035878,747.3125,747,869,-57.06,727,0.3,200,01_raw_frames\frame_0010.csv,02_lde_aligned\frame_0010_aligned.csv
11,64383503952,750.3437,750,948,-57.12,730,0.3,200,01_raw_frames\frame_0011.csv,02_lde_aligned\frame_0011_aligned.csv
12,173073530443,750.6406,750,846,-57.36,730,0.3,200,01_raw_frames\frame_0012.csv,02_lde_aligned\frame_0012_aligned.csv
13,281763498509,750.0469,750,945,-58,730,0.3,200,01_raw_frames\frame_0013.csv,02_lde_aligned\frame_0013_aligned.csv
14,390453472732,750.0312,750,918,-57.09,730,0.3,200,01_raw_frames\frame_0014.csv,02_lde_aligned\frame_0014_aligned.csv
15,499143601634,748.625,748,998,-58.28,728,0.3,200,01_raw_frames\frame_0015.csv,02_lde_aligned\frame_0015_aligned.csv
16,607833560474,749.25,749,852,-57.24,729,0.3,200,01_raw_frames\frame_0016.csv,02_lde_aligned\frame_0016_aligned.csv
17,716523634079,749.2031,749,893,-57.41,729,0.3,200,01_raw_frames\frame_0017.csv,02_lde_aligned\frame_0017_aligned.csv
