sample,real,imag,amplitude,amplitude_norm
920,-9,41,41.98,0.0477
921,-149,-71,165.05,0.18756
922,-113,1,113,0.12841
923,-161,-35,164.76,0.18723
924,-94,-114,147.76,0.16791
925,-13,-191,191.44,0.21755
926,58,-5,58.22,0.06615
927,-24,-58,62.77,0.07133
928,17,-205,205.7,0.23375
929,112,-188,218.83,0.24867
