taps_from_fp,transition_1_to_2,transition_2_to_3,transition_3_to_4,transition_4_to_5,transition_5_to_6,transition_6_to_7,transition_7_to_8,transition_8_to_9,transition_9_to_10,transition_10_to_11,transition_11_to_12,transition_12_to_13,transition_13_to_14,transition_14_to_15,transition_15_to_16,transition_16_to_17,transition_17_to_18,transition_18_to_19,transition_19_to_20,transition_20_to_21,transition_21_to_22,transition_22_to_23,transition_23_to_24,transition_24_to_25,transition_25_to_26,transition_26_to_27,transition_27_to_28,transition_28_to_29,transition_29_to_30,transition_30_to_31,transition_31_to_32,transition_32_to_33,transition_33_to_34,transition_34_to_35,transition_35_to_36,transition_36_to_37,transition_37_to_38,transition_38_to_39,transition_39_to_40,transition_40_to_41,transition_41_to_42,transition_42_to_43,transition_43_to_44,transition_44_to_45,transition_45_to_46,transition_46_to_47,transition_47_to_48,transition_48_to_49,transition_49_to_50,transition_50_to_51,transition_51_to_52,transition_52_to_53,transition_53_to_54,transition_54_to_55
-50,0.102721509034425,0.124771790017317,0.12503755072932,0.108969936186598,0.0539579659322039,0.107124240029913,0.0859809957364925,0.145852029326312,0.167394690927797,0.0720556150999956,0.0637593691314286,0.0243942378939367,0.0273481872036187,0.0308406579922979,0.026673680773853,0.031375099865989,0.0265552934459899,0.0230404784747204,0.101225135521091,0.054819362010718,0.103116382512771,0.0952333746887737,0.0341313914328046,0.0926343034319009,0.125196933927172,0.078970712721337,0.00653512598833632,0.0296461479564699,0.134982841611172,0.102347673337329,0.152531459728253,0.0710040783602996,0.0737967982571083,0.0853954521433589,0.016921044835201,0.00884434913611884,0.0513034091161064,0.0106593890997606,0.0346598823638812,0.093326699319821,0.0422170628242731,0.0953234380467387,0.0328007427936935,0.0729322974715814,0.0518852293761261,0.101059636817646,0.115847797603662,0.0482107985258311,0.0344440275761115,0.127529253908382,0.0362568480784816,0.0576515641614782,0.0183686311564426,0.0656042464217843
-49.5,0.0805180289547586,0.0969602346527759,0.155684591359009,0.108126630717442,0.0675166288511408,0.0884825079866795,0.0611976194191008,0.170335543140083,0.202972965644686,0.0458458719010741,0.117737452176657,0.0539007547768885,0.0700202652240051,0.0501305525047824,0.0373197553514052,0.0253037954980915,0.00651486900371181,0.0439027796974137,0.0733159504513461,0.0373216357088817,0.0988318256911496,0.0929270612555768,0.0687365931812334,0.114317359101026,0.164656028023723,0.118513500439962,0.0366192523627097,0.0856357297836953,0.145076506692083,0.148785826629624,0.171872844714993,0.108539445164169,0.0791207489681603,0.123946935476616,0.0228644016884608,0.0509637382946914,0.0308359649756612,0.0482684715866086,0.00946837741997035,0.0346876361233211,0.0203121460552133,0.0709473467805022,0.0596501073081449,0.0326454860323583,0.0377062968218552,0.139283437150186,0.0744515671942755,0.0392679651930107,0.0413550106910054,0.143716152568749,0.0505715492050909,0.0808819353187216,0.0339844717349629,0.082124438990571
-49,0.0674170904111161,0.114680945367233,0.119824510753941,0.128685841438814,0.0820168290298224,0.0397576172199588,0.0283567305442364,0.163463842253807,0.22508581371614,0.0223179881551902,0.147088774104521,0.0542746135300809,0.0793752913257036,0.0884084243285289,0.0527670432687749,0.0833699107878678,0.0561387888577817,0.0793582413052955,0.0705997350969401,0.040072183127639,0.0845585739278879,0.104846653164241,0.104888326295865,0.130629312535856,0.175556342159688,0.168996894536329,0.0838944292104777,0.116779289778713,0.125585590116306,0.175169466290694,0.187442352979363,0.13111067816037,0.0829737712597708,0.136803289375645,0.00254248601679837,0.0942990142551088,0.0598935727287925,0.0648430621740787,0.0354476140721255,0.0614629797999493,0.0558815520696069,0.0572977189530393,0.104708910493514,0.0139871110543093,0.0489505681211977,0.131591309137324,0.0273837357985858,0.0745133613342456,0.0434812694242357,0.14961924236229,0.0820523700329553,0.0957691398807095,0.0780989717071851,0.110487680716879
-48.5,0.0477609657910535,0.121352509398619,0.139724477516902,0.15527876448449,0.105491502989767,0.0253874536657311,0.0479530135052507,0.128066989944718,0.187877033483612,0.0719883988627469,0.111991666128131,0.100653542834178,0.11915806732325,0.102742961985896,0.0865167632894351,0.0974691003288733,0.0974875974253172,0.0799163478634047,0.0885996811052218,0.0936844308098175,0.0775160124066693,0.117941629812814,0.120273261523277,0.0833296595240178,0.146432030567514,0.183697546134083,0.0976999164617197,0.135731483201954,0.0915988559576777,0.109319620723647,0.107875027690052,0.0972187631794799,0.0551562055529326,0.12720339575917,0.015259862346837,0.0690816029544879,0.0238102889579592,0.0683650289742,0.0187344884991919,0.0184599860296897,0.0549137621100515,0.0738665608282825,0.140740726232032,0.0289192912913752,0.0418763322353102,0.0997563220040857,0.0421632689635029,0.100064159701892,0.0660268382866545,0.138742501763547,0.10242452095747,0.110606661293545,0.0672069476069678,0.0915248012964454
-48,0.00651496876998869,0.0883474467090072,0.123111255265316,0.154926756486286,0.143913583900426,0.0824301258234814,0.074864088646683,0.0523089797245797,0.138315852457809,0.102761961439684,0.0884205166627453,0.0861721094456363,0.0956044724740524,0.0766690262242178,0.0897400746940763,0.076736890229771,0.0955746379316538,0.0624377216113952,0.101016137013219,0.118722167508773,0.101861146455912,0.124149655551787,0.113022889577957,0.0593367003585307,0.154048168438021,0.149479919469994,0.100112535067746,0.0980148523178043,0.0835688815908006,0.0416187383124513,0.0158845863305492,0.0301734559672686,0.0948705371007204,0.133738595646153,0.01948237307818,0.0447576301990011,0.0181162215740377,0.0640183998533004,0.0375603736949509,0.0476890648244959,0.0627041376282535,0.0972996319684467,0.146435205622938,0.0539984599679987,0.0215895543069659,0.075386885824192,0.0682554417645237,0.109180337820071,0.0687989258812183,0.137743296173813,0.107328774451769,0.112389158973778,0.0635345014567914,0.0607400022529239
-47.5,0.0368031177032049,0.0710115058335424,0.047959625807522,0.107580196666932,0.149571564119467,0.105042199940101,0.0401663529953208,0.0418609151627113,0.0909681992983018,0.0736560612211537,0.0628479301255178,0.0414660877640277,0.050401084695672,0.0595841774203336,0.0355760306466477,0.0700225010645401,0.094479901201429,0.0139746443018774,0.0975302513263148,0.13229401220952,0.0798018872541329,0.108399206781306,0.0963550675963361,0.0848295901413421,0.139307933266457,0.101194436207924,0.0999586290747321,0.0443886706566637,0.0605133434978145,0.0226323818912363,0.049269682380295,0.0363723892434342,0.121823006842366,0.150366889728612,0.0335083065533182,0.0405265543325749,0.0942966986960839,0.0692488646792208,0.0275066552255065,0.0696094963407027,0.0504770335356652,0.111388064713358,0.144805194017405,0.0731294309350102,0.0391528866591732,0.0601437818963407,0.105244585352205,0.110457241089956,0.0421708200935324,0.149685427658119,0.0817294573020782,0.0779683952368832,0.0787240483143203,0.0664822741934584
-47,0.0671819300242673,0.0180165026362911,0.0328097020717022,0.0718431111809427,0.0854490714186651,0.0605813694654109,0.0339809542325145,0.0861257316422272,0.0729830189337254,0.0574023809359921,0.0511336455425088,0.0270244157281203,0.0616598768194623,0.0868599829647715,0.0432299193391087,0.0594811920919785,0.0791603831328794,0.0262405129250391,0.0819293935594663,0.127191385486636,0.0468140214828038,0.0827215843065371,0.0458625992200495,0.115740209537683,0.0950648531676379,0.0669891050920052,0.0614190557305369,0.0825070276125023,0.0278406285982343,0.0697031270148311,0.101449353711236,0.0762458695420928,0.1294375336097,0.17069288598902,0.0368481655412802,0.06640680697028,0.145781402725268,0.083153213891019,0.0344234429811717,0.0898233571728091,0.0571702915348899,0.13525118885815,0.186400219454934,0.0961328253910317,0.0581539434646407,0.056437132756387,0.142808433733458,0.122643204163463,0.00807390082923917,0.12024241573096,0.0677000366659924,0.0498224447210816,0.0756313068403228,0.0581532407793376
-46.5,0.0772666306469181,0.041636292788746,0.00747083267264076,0.0681241111801195,0.0597990681106082,0.0100204705372768,0.0360495895707596,0.0605251367282964,0.0371828246674179,0.0952238771954339,0.0810135524049916,0.0355737447563103,0.0677592606780704,0.103436204937738,0.127686192330315,0.0878747605348511,0.0759514631796797,0.084026135128735,0.0875512914229547,0.11637273193385,0.0264094421414673,0.0606761934223369,0.0303264930420207,0.118293467890295,0.065373852926294,0.0446038085421015,0.0594551727564879,0.122525908381949,0.0272335663790963,0.123574642049672,0.0958328977744679,0.0641757326531648,0.0726132964135475,0.129199051047438,0.0317635421914011,0.0388693888304401,0.0949777295296885,0.0712212779617423,0.0382165941730487,0.0661249425791718,0.0597420161215703,0.144922523554308,0.191148558189208,0.0679673012578361,0.0335596991180861,0.0504850624308396,0.161783540011987,0.113167942719896,0.0335600903531457,0.0698271718433786,0.0769392219891185,0.0439034425675801,0.0737253785017335,0.0549558502552841
-46,0.0381097403163587,0.0542162165441448,0.0550720438911803,0.0916406646196541,0.0582325544757414,0.0475214999505075,0.0150101812316294,0.0517900926318184,0.0398598151325203,0.136802170897792,0.0813255319487695,0.0292108357401466,0.0775559890850067,0.0940249322500768,0.15719002137528,0.0977298745868702,0.063358567694771,0.0977860548862904,0.0844239326033847,0.0714710198820466,0.013064056852581,0.0998919758331753,0.0761902600007235,0.116074593780456,0.0534651318054442,0.0453588908556031,0.0671151461432688,0.125802342626021,0.0320261065660157,0.162391379764215,0.0818227397122102,0.0632919344721304,0.0308281059028307,0.0880128882492091,0.0180364397737315,0.0356473039889171,0.0459168031717142,0.0342543027597788,0.0487316215689904,0.0527629467202981,0.0604913261486675,0.116012127688944,0.165815590714364,0.0448298666079762,0.0424825184921476,0.0194940251010634,0.145776312498244,0.0837380760664657,0.0487131399382966,0.0508767945680754,0.0891645969957411,0.0371723474139092,0.0849978546407735,0.0553382665039963
-45.5,0.0382263775865861,0.0664549164121075,0.0720812440521632,0.109478642606552,0.078938180894466,0.0868151143002869,0.0686720515422288,0.0780173269387008,0.0588303671680965,0.137559630162225,0.0960611122707568,0.0836514170270448,0.0996253484746589,0.0851965735726063,0.113051946728755,0.0601189654403559,0.0483298180080939,0.058015395746987,0.0724201109325578,0.0998495091117581,0.0253585622375141,0.109606941345773,0.0830638066426986,0.0981269698723213,0.0146143878192882,0.00868336782865605,0.0599160088351412,0.138116828670096,0.00297260583112528,0.132222962866571,0.0404698896796079,0.0782564121226727,0.0925612598433056,0.0810533572736799,0.0055560712379931,0.0501854314596751,0.0386730238298458,0.0495967434856318,0.0384467574647844,0.0859749238729677,0.0667840165010158,0.0874517339496654,0.162934727952601,0.0168934544375606,0.0578289858050704,0.0696445061128494,0.102565554483017,0.00987295990768794,0.0412735816005898,0.0617217156948744,0.0891685899981136,0.00748924143656711,0.0478084333608726,0.0706293226218962
