sample,real,imag,amplitude,amplitude_norm
729,-37,60,70.49,0.0778
730,-174,27,176.08,0.19435
731,-31,113,117.18,0.12933
732,295,13,295.29,0.32592
733,411,89,420.53,0.46416
734,247,412,480.37,0.53021
735,103,553,562.51,0.62087
736,32,206,208.47,0.2301
737,35,-98,104.06,0.11486
738,-10,36,37.36,0.04124
739,-20,94,96.1,0.10608
740,-10,113,113.44,0.12521
741,27,159,161.28,0.17801
742,84,23,87.09,0.09613
743,46,73,86.28,0.09524
744,27,175,177.07,0.19544
745,43,186,190.91,0.21071
746,38,113,119.22,0.13159
747,86,106,136.5,0.15066
748,148,-4,148.05,0.16342
749,824,-1483,1696.55,1.87257
750,4712,-11155,12109.37,13.36576
751,6322,-15928,17136.77,18.91476
752,6318,-16192,17380.97,19.18429
753,5540,-16409,17318.97,19.11587
754,-3010,-9451,9918.75,10.94784
755,-10824,11030,15453.8,17.05717
756,-9625,8574,12890.08,14.22746
757,-734,-3861,3930.15,4.33791
758,3007,-647,3075.82,3.39494
759,3112,10554,11003.25,12.14486
760,2445,9771,10072.26,11.11729
761,3526,-3169,4740.81,5.23268
762,2271,-5193,5667.86,6.25592
763,60,1679,1680.07,1.85438
764,959,9987,10032.94,11.07388
765,-632,12472,12488,13.78367
766,-8177,8929,12107.45,13.36363
767,-12772,6038,14127.33,15.59308
768,-8774,5226,10212.45,11.27202
769,-1953,1976,2778.27,3.06652
770,162,-1264,1274.34,1.40656
771,590,-2414,2485.05,2.74289
772,1230,-341,1276.39,1.40882
773,881,2122,2297.62,2.536
774,-575,3119,3171.56,3.50062
775,-1339,1954,2368.76,2.61453
776,-676,565,881.02,0.97243
777,-64,328,334.19,0.36886
778,-138,1457,1463.52,1.61537
779,-1266,3326,3558.8,3.92803
780,-1563,3611,3934.75,4.343
781,-415,1748,1796.59,1.98299
782,207,308,371.1,0.4096
783,-47,121,129.81,0.14328
784,-285,441,525.08,0.57956
785,-642,866,1078.02,1.18986
786,-1100,1612,1951.55,2.15403
787,-108,1013,1018.74,1.12444
788,-456,279,534.58,0.59005
789,-1335,243,1356.94,1.49772
790,-717,950,1190.21,1.31369
791,300,1339,1372.2,1.51456
792,791,1650,1829.8,2.01965
793,140,2120,2124.62,2.34505
794,-478,2496,2541.36,2.80503
795,-329,1785,1815.07,2.00338
796,-283,1454,1481.28,1.63497
797,-319,765,828.85,0.91484
798,-379,1661,1703.69,1.88045
799,-338,2345,2369.23,2.61505
800,-1226,1658,2062.05,2.27599
801,-1161,500,1264.09,1.39524
802,-425,444,614.62,0.67839
803,41,1317,1317.64,1.45435
804,112,1448,1452.33,1.60301
805,-38,1445,1445.5,1.59547
806,-493,1453,1534.36,1.69355
807,-366,1195,1249.79,1.37946
808,85,936,939.85,1.03736
809,225,945,971.42,1.0722
810,57,997,998.63,1.10224
811,-83,1164,1166.96,1.28803
812,-190,1265,1279.19,1.41191
813,-175,1085,1099.02,1.21305
814,877,924,1273.93,1.40611
815,1383,600,1507.54,1.66396
816,1430,674,1580.88,1.7449
817,1334,792,1551.39,1.71235
818,707,624,942.99,1.04082
819,-676,72,679.82,0.75036
820,-503,156,526.64,0.58128
821,345,629,717.4,0.79183
822,179,826,845.17,0.93286
823,-483,1089,1191.31,1.31491
824,-111,1380,1384.46,1.5281
825,652,1663,1786.25,1.97157
826,484,1596,1667.77,1.84081
827,-153,1237,1246.43,1.37575
828,-554,1446,1548.49,1.70915
829,-728,887,1147.5,1.26655
830,-442,419,609.04,0.67223
831,-344,135,369.54,0.40788
832,-814,741,1100.76,1.21497
833,-550,1095,1225.37,1.3525
834,21,867,867.25,0.95723
835,110,1011,1016.97,1.12248
836,-16,927,927.14,1.02333
837,-177,1045,1059.88,1.16985
838,-373,1006,1072.92,1.18424
839,-274,830,874.06,0.96474
840,-77,602,606.9,0.66987
841,1,548,548,0.60486
842,-147,733,747.59,0.82516
843,-329,973,1027.12,1.13368
844,-448,1062,1152.63,1.27221
845,-224,1037,1060.92,1.17099
846,957,972,1364.05,1.50557
847,1527,698,1678.97,1.85317
848,1472,734,1644.85,1.81551
849,1399,773,1598.35,1.76419
850,678,277,732.4,0.80839
851,-928,-469,1039.78,1.14766
852,-687,-344,768.31,0.84803
853,172,934,949.71,1.04824
854,-125,888,896.75,0.9898
855,-952,820,1256.46,1.38683
856,-897,1050,1380.98,1.52426
857,120,1231,1236.84,1.36516
858,310,1119,1161.15,1.28162
859,-183,724,746.77,0.82425
860,-917,1104,1435.17,1.58407
861,-1182,759,1404.71,1.55045
862,-899,169,914.75,1.00965
863,-667,-260,715.88,0.79016
864,-770,169,788.33,0.87012
865,-399,625,741.5,0.81844
866,82,646,651.18,0.71875
867,188,885,904.75,0.99862
868,-28,759,759.52,0.83832
869,-180,728,749.92,0.82773
870,-348,738,815.93,0.90059
871,-336,565,657.36,0.72556
872,-70,409,414.95,0.458
873,87,440,448.52,0.49505
874,-76,513,518.6,0.57241
875,-304,611,682.45,0.75326
876,-341,623,710.22,0.78391
877,-244,646,690.54,0.76219
878,-748,192,772.25,0.85237
879,-1125,-190,1140.93,1.25931
880,-1283,-147,1291.39,1.42538
881,-1333,-2,1333,1.4713
882,-738,749,1051.5,1.16059
883,962,1250,1577.32,1.74097
884,827,1051,1337.36,1.47611
885,-208,678,709.19,0.78277
886,-4,214,214.04,0.23624
887,928,-75,931.03,1.02762
888,845,279,889.87,0.98219
889,-264,315,411,0.45364
890,-477,434,644.89,0.7118
891,60,314,319.68,0.35285
892,888,396,972.3,1.07317
893,1032,398,1106.09,1.22085
894,760,1101,1337.83,1.47664
895,378,1568,1612.92,1.78026
896,197,1183,1199.29,1.32372
897,128,451,468.81,0.51745
898,-132,359,382.5,0.42218
899,-221,482,530.25,0.58526
900,-123,240,269.68,0.29766
901,88,53,102.73,0.11339
902,230,225,321.75,0.35514
903,131,275,304.61,0.33621
904,47,311,314.53,0.34716
905,8,251,251.13,0.27718
906,66,252,260.5,0.28753
907,200,388,436.51,0.4818
908,206,446,491.28,0.54225
909,30,320,321.4,0.35475
910,-156,103,186.94,0.20633
911,-79,-152,171.3,0.18908
912,-91,-201,220.64,0.24353
913,16,-300,300.43,0.3316
914,35,96,102.18,0.11278
915,267,369,455.47,0.50272
916,36,604,605.07,0.66785
917,-320,642,717.33,0.79176
918,-36,288,290.24,0.32035
919,275,130,304.18,0.33574
920,166,327,366.72,0.40477
921,-47,352,355.12,0.39197
922,-10,236,236.21,0.26072
923,209,158,262,0.28919
924,189,528,560.81,0.61899
925,157,458,484.16,0.5344
926,180,556,584.41,0.64505
927,209,533,572.51,0.63191
928,6,680,680.03,0.75058
