sample,taps_from_fp,excess_path_m,reflector_off_m,amplitude,amplitude_norm
789,40.6563,12.208273764,6.44463985740031,2399.24,2.81931
790,41.6563,12.508553764,6.59499606778652,1830.83,2.15139
791,42.6563,12.808833764,6.74534264628911,1158.66,1.36153
792,43.6563,13.109113764,6.89568022292025,691.68,0.81278
793,44.6563,13.409393764,7.04600937388679,887.81,1.04326
794,45.6563,13.709673764,7.19633062721742,1242.92,1.46054
795,46.6563,14.009953764,7.34664446769778,1588.72,1.86689
796,47.6563,14.310233764,7.49695134121073,1002.98,1.17859
797,48.6563,14.610513764,7.6472516585639,964.84,1.13377
798,49.6563,14.910793764,7.79754579887385,1570.07,1.84497
799,50.6563,15.211073764,7.94783411256565,1751.05,2.05763
800,51.6563,15.511353764,8.09811692403791,1443.9,1.69671
801,52.6563,15.811633764,8.24839453403607,1163.33,1.36702
802,53.6563,16.111913764,8.39866722177056,1191.22,1.39979
803,54.6563,16.412193764,8.54893524681115,1246.89,1.46521
804,55.6563,16.712473764,8.69919885078488,1154.72,1.35689
805,56.6563,17.012753764,8.8494582589006,1108.29,1.30234
806,57.6563,17.313033764,8.9997136813207,1349.07,1.58527
807,58.6563,17.613313764,9.14996531439753,1489.23,1.74997
808,59.6563,17.913593764,9.30021334178979,1177.51,1.38368
809,60.6563,18.213873764,9.45045793547232,882.13,1.03658
810,61.6563,18.514153764,9.60069925665099,1000.07,1.17517
811,62.6563,18.814433764,9.75093745659287,1286.46,1.5117
812,63.6563,19.114713764,9.90117267738083,1268.76,1.49091
813,64.6563,19.414993764,10.0514050526003,958.16,1.12593
814,65.6563,19.715273764,10.2016347079655,789.96,0.92827
815,66.6563,20.015553764,10.3518617618906,783.19,0.92032
816,67.6563,20.315833764,10.5020863260126,971.85,1.142
817,68.6563,20.616113764,10.652308505669,910.13,1.06948
818,69.6563,20.916393764,10.8025284003364,583.47,0.68562
819,70.6563,21.216673764,10.9527461040326,787.9,0.92585
820,71.6563,21.516953764,11.1029617056859,1158.59,1.36145
821,72.6563,21.817233764,11.2531752894752,1249.82,1.46865
822,73.6563,22.117513764,11.4033869351427,780.79,0.91749
823,74.6563,22.417793764,11.5535967182825,1155.13,1.35739
824,75.6563,22.718073764,11.7038047106074,1438.69,1.69059
825,76.6563,23.018353764,11.8540109801941,1270.01,1.49237
826,77.6563,23.318633764,12.0042155917115,920.83,1.08205
827,78.6563,23.618913764,12.154418606631,1071.98,1.25967
828,79.6563,23.919193764,12.3046200834217,751.68,0.88329
