sample,taps_from_fp,excess_path_m,reflector_off_m,amplitude,amplitude_norm
697,-50.5,-15.16414,NaN,355.82,0.40665
698,-49.5,-14.86386,NaN,196.7,0.2248
699,-48.5,-14.56358,NaN,67.6,0.07726
700,-47.5,-14.2633,NaN,54.41,0.06218
701,-46.5,-13.96302,NaN,112.79,0.1289
702,-45.5,-13.66274,NaN,255.73,0.29226
703,-44.5,-13.36246,NaN,224.08,0.25609
704,-43.5,-13.06218,NaN,124.87,0.14271
705,-42.5,-12.7619,NaN,194.79,0.22262
706,-41.5,-12.46162,NaN,124.31,0.14207
707,-40.5,-12.16134,NaN,66.89,0.07644
708,-39.5,-11.86106,NaN,34.44,0.03936
709,-38.5,-11.56078,NaN,85.23,0.09741
710,-37.5,-11.2605,NaN,54.04,0.06176
711,-36.5,-10.96022,NaN,57.27,0.06545
712,-35.5,-10.65994,NaN,164.05,0.18748
713,-34.5,-10.35966,NaN,163.29,0.18662
714,-33.5,-10.05938,NaN,93.52,0.10688
715,-32.5,-9.7591,NaN,109.48,0.12512
716,-31.5,-9.45882,NaN,319.72,0.36539
717,-30.5,-9.15854,NaN,412.07,0.47094
718,-29.5,-8.85826,NaN,394.21,0.45053
719,-28.5,-8.55798,NaN,456.16,0.52132
720,-27.5,-8.2577,NaN,377.23,0.43112
721,-26.5,-7.95742,NaN,399.05,0.45606
722,-25.5,-7.65714,NaN,137.54,0.15718
723,-24.5,-7.35686,NaN,371.16,0.42418
724,-23.5,-7.05658,NaN,173.97,0.19882
725,-22.5,-6.7563,NaN,404.36,0.46213
726,-21.5,-6.45602,NaN,113.07,0.12922
727,-20.5,-6.15574,NaN,188.96,0.21595
728,-19.5,-5.85546,NaN,49.16,0.05619
729,-18.5,-5.55518,NaN,199.72,0.22825
730,-17.5,-5.2549,NaN,214.66,0.24533
731,-16.5,-4.95462,NaN,107.49,0.12285
732,-15.5,-4.65434,NaN,62.63,0.07157
733,-14.5,-4.35406,NaN,50.99,0.05827
734,-13.5,-4.05378,NaN,122.33,0.13981
735,-12.5,-3.7535,NaN,203.81,0.23292
736,-11.5,-3.45322,NaN,115.49,0.13198
737,-10.5,-3.15294,NaN,178.13,0.20357
738,-9.5,-2.85266,NaN,195.82,0.22379
739,-8.5,-2.55238,NaN,162,0.18515
740,-7.5,-2.2521,NaN,112.49,0.12855
741,-6.5,-1.95182,NaN,106.61,0.12184
742,-5.5,-1.65154,NaN,127.95,0.14623
743,-4.5,-1.35126,NaN,108.16,0.12361
744,-3.5,-1.05098,NaN,79.91,0.09132
745,-2.5,-0.7507,NaN,106.61,0.12184
746,-1.5,-0.45042,NaN,204.38,0.23358
747,-0.5,-0.15014,NaN,3187.78,3.64318
748,0.5,0.15014,0.241214644870497,13846.75,15.82486
749,1.5,0.45042,0.456471843709993,16991.5,19.41886
750,2.5,0.7507,0.63532088152366,16662.46,19.04281
751,3.5,1.05098,0.802485351953542,15568.01,17.79201
752,4.5,1.35126,0.964062703821697,16591.01,18.96116
753,5.5,1.65154,1.12246830373958,15074.01,17.22744
754,6.5,1.95182,1.27888127990834,10423.28,11.91232
755,7.5,2.2521,1.43395383555399,15740.47,17.98911
756,8.5,2.55238,1.58807868699885,3662.02,4.18516
757,9.5,2.85266,1.7415074702395,15091.16,17.24704
758,10.5,3.15294,1.89440931714875,4605.36,5.26326
759,11.5,3.45322,2.04690231620857,12564.21,14.3591
760,12.5,3.7535,2.19907152282503,3779.96,4.31996
761,13.5,4.05378,2.35097981107878,7336.68,8.38477
762,14.5,4.35406,2.50267469338306,4010.17,4.58305
763,15.5,4.65434,2.65419276031339,729.88,0.83415
764,16.5,4.95462,2.80556265944997,820.14,0.9373
765,17.5,5.2549,2.9568071466533,1835.65,2.09788
766,18.5,5.55518,3.10794453105264,4091.22,4.67568
767,19.5,5.85546,3.25898971353087,2982.41,3.40847
768,20.5,6.15574,3.4099549464619,681.36,0.77869
769,21.5,6.45602,3.56085039844417,1891,2.16114
770,22.5,6.7563,3.71168458014686,1532.09,1.75096
771,23.5,7.05658,3.86246466962482,585.5,0.66914
772,24.5,7.35686,4.01319676379068,796.82,0.91065
773,25.5,7.65714,4.16388607491848,920.55,1.05206
774,26.5,7.95742,4.31453708572542,579.19,0.66193
775,27.5,8.2577,4.46515367288742,491.72,0.56196
776,28.5,8.55798,4.61573920624855,1738.46,1.98681
777,29.5,8.85826,4.76629662913462,1669.47,1.90797
778,30.5,9.15854,4.91682852384543,458.45,0.52394
779,31.5,9.45882,5.06733716542525,1640.15,1.87446
780,32.5,9.7591,5.21782456609074,849.55,0.97092
781,33.5,10.05938,5.36829251215878,1150.39,1.31473
782,34.5,10.35966,5.51874259491236,1437.22,1.64253
783,35.5,10.65994,5.6691762365356,1023.81,1.17006
784,36.5,10.96022,5.81959471201389,445.84,0.50953
785,37.5,11.2605,5.96999916771351,280.85,0.32097
786,38.5,11.56078,6.12039063721426,348.89,0.39873
787,39.5,11.86106,6.2707700548577,1149.85,1.31412
788,40.5,12.16134,6.42113826738686,1258.13,1.43786
789,41.5,12.46162,6.5714960439842,627.27,0.71688
790,42.5,12.7619,6.72184408495913,1164.52,1.33088
791,43.5,13.06218,6.8721830292928,1398.38,1.59815
792,44.5,13.36246,7.02251346121173,927.77,1.06031
793,45.5,13.66274,7.17283591593311,461.03,0.52689
794,46.5,13.96302,7.3231508847012,260.89,0.29816
795,47.5,14.2633,7.47345881921483,421.17,0.48134
796,48.5,14.56358,7.62376013553023,559.56,0.6395
797,49.5,14.86386,7.77405521751036,771.58,0.8818
798,50.5,15.16414,7.92434441988105,983.16,1.12362
799,51.5,15.46442,8.07462807094543,851.25,0.97286
800,52.5,15.7647,8.22490647500019,1104.14,1.26187
801,53.5,16.06498,8.37517991449139,1629.99,1.86284
802,54.5,16.36526,8.52544865194202,1487.6,1.70012
803,55.5,16.66554,8.67571293167887,849.56,0.97092
804,56.5,16.96582,8.82597298138285,570.2,0.65165
805,57.5,17.2661,8.97622901348333,541.48,0.61883
806,58.5,17.56638,9.1264812264147,679.36,0.77641
807,59.5,17.86666,9.27672980575051,584.31,0.66778
808,60.5,18.16694,9.4269749252292,487.58,0.55724
809,61.5,18.46722,9.57721674768301,529.7,0.60537
810,62.5,18.7675,9.72745542588091,746.73,0.8534
811,63.5,19.06778,9.87769110329433,826.78,0.94489
812,64.5,19.36806,10.0279239147941,128.86,0.14727
813,65.5,19.66834,10.1781539872857,334.71,0.38253
814,66.5,19.96862,10.3283814402887,292.61,0.33441
815,67.5,20.2689,10.4786063864667,744.95,0.85138
816,68.5,20.56918,10.6288289321119,1088.06,1.24349
817,69.5,20.86946,10.7790491775898,1253.16,1.43219
818,70.5,21.16974,10.9292672177461,465.09,0.53153
819,71.5,21.47002,11.0794831422815,270.02,0.30859
820,72.5,21.7703,11.2296970360959,976.94,1.1165
821,73.5,22.07058,11.3799089796052,1364.14,1.55901
822,74.5,22.37086,11.5301190490341,1098.02,1.25488
823,75.5,22.67114,11.6803273166851,391.73,0.44769
824,76.5,22.97142,11.8305338511878,529.68,0.60535
825,77.5,23.2717,11.9807387177294,850.09,0.97153
826,78.5,23.57198,12.1309419782678,574.44,0.65651
827,79.5,23.87226,12.2811436917292,373.48,0.42684
828,80.5,24.17254,12.4313439141913,476.3,0.54435
829,81.5,24.47282,12.5815426990532,737.13,0.84243
830,82.5,24.7731,12.7317400971941,1235.24,1.4117
831,83.5,25.07338,12.8819361571194,1117.11,1.2767
832,84.5,25.37366,13.0321309250982,710.21,0.81167
833,85.5,25.67394,13.1823244452904,638.04,0.72919
834,86.5,25.97422,13.3325167598657,593.03,0.67775
835,87.5,26.2745,13.4827079091145,505.3,0.57749
836,88.5,26.57478,13.6328979315515,515.83,0.58952
837,89.5,26.87506,13.783086864012,457.03,0.52232
838,90.5,27.17534,13.9332747417432,415.81,0.47522
839,91.5,27.47562,14.0834615984885,454.63,0.51958
840,92.5,27.7759,14.2336474665667,622.38,0.71129
841,93.5,28.07618,14.3838323769467,520.74,0.59513
842,94.5,28.37646,14.5340163593172,463.27,0.52945
843,95.5,28.67674,14.6841994421521,447.34,0.51125
844,96.5,28.97702,14.834381652772,318.08,0.36352
845,97.5,29.2773,14.9845630174023,691.19,0.78993
846,98.5,29.57758,15.1347435612269,764.2,0.87337
