FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,START,tag_anchor_dist_m,n_samples,raw_csv,aligned_csv
1,14196796330,753.875,753,890,-56.4,703,0.3,150,01_raw_frames\frame_0001.csv,02_lde_aligned\frame_0001_aligned.csv
2,122887009180,753.6562,753,862,-56.36,703,0.3,150,01_raw_frames\frame_0002.csv,02_lde_aligned\frame_0002_aligned.csv
3,231577304115,747.6406,747,974,-55.78,697,0.3,150,01_raw_frames\frame_0003.csv,02_lde_aligned\frame_0003_aligned.csv
4,340267474921,746.8594,746,869,-56.7,696,0.3,150,01_raw_frames\frame_0004.csv,02_lde_aligned\frame_0004_aligned.csv
5,448957727318,747.8125,747,984,-55.64,697,0.3,150,01_raw_frames\frame_0005.csv,02_lde_aligned\frame_0005_aligned.csv
6,557648077154,751.125,751,988,-57.31,701,0.3,150,01_raw_frames\frame_0006.csv,02_lde_aligned\frame_0006_aligned.csv
7,666338275020,750.1562,750,866,-56.19,700,0.3,150,01_raw_frames\frame_0007.csv,02_lde_aligned\frame_0007_aligned.csv
8,775028495381,746.2969,746,1084,-58.23,696,0.3,150,01_raw_frames\frame_0008.csv,02_lde_aligned\frame_0008_aligned.csv
9,883718678049,747.6094,747,877,-55.45,697,0.3,150,01_raw_frames\frame_0009.csv,02_lde_aligned\frame_0009_aligned.csv
10,992408827014,749.0625,749,893,-55.66,699,0.3,150,01_raw_frames\frame_0010.csv,02_lde_aligned\frame_0010_aligned.csv
11,1587479129,749.3594,749,987,-56.12,699,0.3,150,01_raw_frames\frame_0011.csv,02_lde_aligned\frame_0011_aligned.csv
12,110277666819,746.7656,746,914,-57.37,696,0.3,150,01_raw_frames\frame_0012.csv,02_lde_aligned\frame_0012_aligned.csv
13,218967763728,751.8437,751,867,-56.27,701,0.3,150,01_raw_frames\frame_0013.csv,02_lde_aligned\frame_0013_aligned.csv
14,327657991262,749.4375,749,1030,-57.87,699,0.3,150,01_raw_frames\frame_0014.csv,02_lde_aligned\frame_0014_aligned.csv
15,436348187222,748.6875,748,846,-56.78,698,0.3,150,01_raw_frames\frame_0015.csv,02_lde_aligned\frame_0015_aligned.csv
16,545038333469,748.6719,748,880,-56.17,698,0.3,150,01_raw_frames\frame_0016.csv,02_lde_aligned\frame_0016_aligned.csv
17,653728497700,749.4062,749,1011,-57.9,699,0.3,150,01_raw_frames\frame_0017.csv,02_lde_aligned\frame_0017_aligned.csv
18,762418565351,751.4531,751,848,-55.02,701,0.3,150,01_raw_frames\frame_0018.csv,02_lde_aligned\frame_0018_aligned.csv
