FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,START,tag_anchor_dist_m,n_samples,csv_file
1,16657339426,752.375,752,992,-57.41,702,1,150,frame_0001.csv
2,125347746672,749.5937,749,1088,-59.34,699,1,150,frame_0002.csv
3,234038174954,747.75,747,902,-57.99,697,1,150,frame_0003.csv
4,342728486425,752.6094,752,912,-56.75,702,1,150,frame_0004.csv
5,451418819119,754.4531,754,1062,-57.29,704,1,150,frame_0005.csv
6,560109176900,746.1562,746,915,-60.18,696,1,150,frame_0006.csv
7,668799558169,753.7344,753,959,-56.58,703,1,150,frame_0007.csv
8,777489824767,754.3281,754,946,-59.03,704,1,150,frame_0008.csv
9,886180185436,751.5312,751,978,-57.58,701,1,150,frame_0009.csv
10,994870433255,753.0781,753,976,-57.1,703,1,150,frame_0010.csv
11,4049079061,751.0469,751,989,-57.06,701,1,150,frame_0011.csv
12,112739249825,749.1094,749,931,-55.27,699,1,150,frame_0012.csv
