taps_from_fp,offset_m,background_mean,phase2_mean,background_sd,phase2_sd,sd_diff,sd_diff_pos,sd_diff_thresh,detected,n_background,n_phase2
-50,NaN,0.496505270531248,0.510096486948453,0.101095297808861,0.0973200181809607,-0.00377527962790074,0,0.03811516492977,0,96,97
-49.5,NaN,0.533037961239582,0.584302890010309,0.0998885052136542,0.104656404437623,0.00476789922396877,0.00476789922396877,0.0376601774100803,0,96,97
-49,NaN,0.487384016854169,0.568220492814434,0.104248342417152,0.101397420563576,-0.00285092185357645,0,0.039303932536975,0,96,97
-48.5,NaN,0.360404809750004,0.454705707804125,0.0984355686642566,0.102709812948274,0.0042742442840175,0.0042742442840175,0.03711238817148,0,96,97
-48,NaN,0.230663122010419,0.303688069628867,0.0783942771453492,0.0916063138977785,0.0132120367524293,0.0132120367524293,0.029556377672426,0,96,97
-47.5,NaN,0.164948754875001,0.20335534057732,0.0637177576744135,0.0764006116798477,0.0126828540054341,0.0126828540054341,0.0240230049799854,0,96,97
-47,NaN,0.141356349104167,0.182742162505154,0.0551773916922321,0.0763791508172953,0.0212017591250632,0.0212017591250632,0.0208030979711858,0,96,97
-46.5,NaN,0.143388748979166,0.214772125020618,0.053663205507851,0.0816935940560582,0.0280303885482072,0.0280303885482072,0.0202322162644898,0,96,97
-46,NaN,0.170761698708332,0.26449206984536,0.0655303455649573,0.0919837736188592,0.0264534280539018,0.0264534280539018,0.0247063907347651,0,96,97
-45.5,NaN,0.212045677937499,0.305280020773194,0.074717684760132,0.105867921018562,0.0311502362584305,0.0311502362584305,0.0281702209650484,0,96,97
-45,NaN,0.239113090031249,0.314567990546391,0.0798205273823961,0.119879038583959,0.0400585112015626,0.0400585112015626,0.0300941055805918,0,96,97
-44.5,NaN,0.234889471395833,0.284584558216495,0.0780960221303973,0.120511452489345,0.0424154303589473,0.0424154303589473,0.0294439289301757,0,96,97
-44,NaN,0.227910995020833,0.243756846855671,0.081081318910474,0.111372674900147,0.030291355989673,0.030291355989673,0.0305694518931929,0,96,97
-43.5,NaN,0.24116718021875,0.237416452597939,0.0843560013532563,0.0932155333518053,0.00885953199854904,0.00885953199854904,0.0318040796563481,0,96,97
-43,NaN,0.258908372333333,0.26521819857732,0.082830012212701,0.0887653047935707,0.00593529258086962,0.00593529258086962,0.0312287479739264,0,96,97
-42.5,NaN,0.290158772697917,0.313986929278351,0.0808700552872072,0.113509092292445,0.0326390370052375,0.0326390370052375,0.0304898008310861,0,96,97
-42,NaN,0.361564340718748,0.39726642325773,0.0795228273729535,0.120460592291259,0.0409377649183054,0.0409377649183054,0.0299818660877031,0,96,97
-41.5,NaN,0.470558325093746,0.493656140505152,0.0839704586405466,0.107871129189498,0.0239006705489515,0.0239006705489515,0.0316587215200065,0,96,97
-41,NaN,0.554633021427082,0.54837415926804,0.0939447161058742,0.100781606076282,0.00683688997040727,0.00683688997040727,0.0354192373558837,0,96,97
-40.5,NaN,0.5682959101875,0.538888160556701,0.0950558866510033,0.102215280187586,0.00715939353658301,0.00715939353658301,0.0358381732461837,0,96,97
