taps_from_fp,excess_path_m,reflector_off_m,amplitude_norm_mean,amplitude_norm_sd,n_frames
-50,-15.014,NaN,0.12691880718421,0.0469908301138159,38
-49.5,-14.86386,NaN,0.129268737552632,0.0459612903589256,38
-49,-14.71372,NaN,0.130494434842105,0.0416811460797109,38
-48.5,-14.56358,NaN,0.1291452185,0.036959199590611,38
-48,-14.41344,NaN,0.12811987463158,0.0402465040305566,38
-47.5,-14.2633,NaN,0.130830806342105,0.0448226036276579,38
-47,-14.11316,NaN,0.135175237157895,0.0497143465549747,38
-46.5,-13.96302,NaN,0.134628839289474,0.0542722006181421,38
-46,-13.81288,NaN,0.129811317210526,0.0598078368354896,38
-45.5,-13.66274,NaN,0.130604954631578,0.0611432919708429,38
-45,-13.5126,NaN,0.137459456657895,0.0613544789566494,38
-44.5,-13.36246,NaN,0.142375302868421,0.0577054723006905,38
-44,-13.21232,NaN,0.144080491947368,0.0531922566080299,38
-43.5,-13.06218,NaN,0.147380536763158,0.0510183959814585,38
-43,-12.91204,NaN,0.153627926921053,0.0516377326273424,38
-42.5,-12.7619,NaN,0.151977918578948,0.0502853237297145,38
-42,-12.61176,NaN,0.141865344421053,0.0542980523505577,38
-41.5,-12.46162,NaN,0.136868356289474,0.0586755882593699,38
-41,-12.31148,NaN,0.135345406078947,0.0597318329987485,38
-40.5,-12.16134,NaN,0.132659291763158,0.0602097441668366,38
-40,-12.0112,NaN,0.136325239605263,0.0623638961191357,38
-39.5,-11.86106,NaN,0.145740285131578,0.0604844498218373,38
-39,-11.71092,NaN,0.152064899605263,0.0627005150033329,38
-38.5,-11.56078,NaN,0.154654216736842,0.0636363102454486,38
-38,-11.41064,NaN,0.155351524789474,0.0654022165755963,38
-37.5,-11.2605,NaN,0.153838807184211,0.0638537588549015,38
-37,-11.11036,NaN,0.151910956868422,0.0564911254919722,38
-36.5,-10.96022,NaN,0.150232860763158,0.0544303088455433,38
-36,-10.81008,NaN,0.148780940368422,0.0554228522117264,38
