taps_from_fp,transition_1_to_2,transition_2_to_3,transition_3_to_4,transition_4_to_5,transition_5_to_6,transition_6_to_7,transition_7_to_8,transition_8_to_9,transition_9_to_10,transition_10_to_11,transition_11_to_12,transition_12_to_13,transition_13_to_14,transition_14_to_15,transition_15_to_16,transition_16_to_17,transition_17_to_18,transition_18_to_19,transition_19_to_20,transition_20_to_21,transition_21_to_22,transition_22_to_23,transition_23_to_24,transition_24_to_25,transition_25_to_26,transition_26_to_27,transition_27_to_28,transition_28_to_29,transition_29_to_30,transition_30_to_31,transition_31_to_32,transition_32_to_33,transition_33_to_34,transition_34_to_35,transition_35_to_36,transition_36_to_37,transition_37_to_38
-50,0.13958322786554,0.13630353757453,0.10420703056287,0.0288422954882237,0.0620402591507817,0.0636668302167958,0.154750368190601,0.0356492700259527,0.0218042737045637,0.087508264902214,0.106233146798427,0.019452655513828,0.014405167187077,0.0512141709653802,0.0781258969980469,0.19853022228484,0.186918151232554,0.117271658292624,0.0430130521251362,0.187068526983637,0.181999155826684,0.0559419368814133,0.0703484029317723,0.0985247265004214,0.149897087127092,0.0834763956408848,0.0718888464280166,0.0836953527456619,0.0539082104639873,0.117622561471603,0.141529822359852,0.0820841493773942,0.136200818007029,0.0755020642386931,0.0586209993581825,0.128582484116954,0.135783770085657
-49.5,0.137228849194095,0.133112833606737,0.13529607073071,0.0849667107663865,0.0569310850748706,0.0478182296651499,0.139228199087231,0.0153221877563742,0.0121478926016148,0.0639180683971507,0.0634796025609047,0.0294292353868895,0.0382984580941071,0.0892303142763669,0.0495326754399417,0.19331641329255,0.180998281720887,0.120752029411872,0.0362217454488123,0.159179805671284,0.153271150983317,0.0761168314557217,0.035214878397934,0.0779547598480937,0.140609499293564,0.0935980805250214,0.0262235417219937,0.062088623593007,0.0448206680069485,0.103732133415409,0.15898261274582,0.100053752968349,0.16568515132107,0.0812219930882255,0.0408725588534303,0.0971658774439753,0.14670671840462
-49,0.0885776544901519,0.0727336280858684,0.085631522657049,0.103456585631149,0.0890104439425484,0.0707355295276497,0.11428049930931,0.0102130592683136,0.0394858315702164,0.0218506772131549,0.0199076612917646,0.0510987896023451,0.0806680072024471,0.112036252529618,0.0221999661940252,0.167563086402978,0.161042997995539,0.138578366883077,0.029773182455755,0.109506625416491,0.134250961671346,0.0684551929357835,0.0281928122785924,0.0410176252471944,0.115977974867603,0.0731163395866182,0.0450029080003529,0.0768950457738213,0.0939225576461279,0.0915524186975708,0.177617518964329,0.0983366156978628,0.1271158218959,0.067638065204216,0.0755015990781227,0.0553548746239814,0.152608575878171
-48.5,0.027765208583655,0.0470931699158829,0.0537231377892553,0.0965668559719337,0.0860853503567277,0.0728312460961909,0.0856333064599262,0.0498527405971645,0.0840272001229009,0.0561230290343728,0.0992590207018315,0.0712289473894827,0.134906333152366,0.123365451564323,0.025177733453762,0.147200831871288,0.147967611232737,0.151269142708126,0.0849455338405159,0.0504488778188658,0.131250387090584,0.0698188763065462,0.0265405585349412,0.0613401199478828,0.0797258080213099,0.0294397102980564,0.061554040022828,0.0826611101959408,0.132218134958757,0.0529496352949822,0.129006435193737,0.092406671789697,0.0886138269718976,0.0778511337871049,0.0772256845192811,0.0200039797806366,0.0886578932555803
-48,0.0131278241003988,0.0759199519042821,0.0510244136053546,0.0347998059096827,0.0934846929686507,0.0739113224006114,0.0477540752408292,0.108439504861687,0.137610849420685,0.0495166784630662,0.0741826382213789,0.0673432775419676,0.13102234373644,0.0967549955164144,0.0664805795169674,0.143543165793479,0.125706409415557,0.150610934551565,0.160401636056863,0.0696552446411858,0.129603693235296,0.0323226949698213,0.111447301621336,0.147050603850778,0.0407320246484698,0.0505874576727034,0.0662501565628889,0.104074700658777,0.144408303866985,0.0615227810127593,0.063617198898039,0.0524744757768533,0.0480500702763169,0.0649680688880928,0.0747261064609943,0.0542096387864452,0.0477514379075766
-47.5,0.0718313161731809,0.0410368515283168,0.0469480216528917,0.0126742105079826,0.107052813332704,0.0837716738269561,0.0837670604928443,0.182683317591775,0.139640666560779,0.0445140204576869,0.0502752168755994,0.108053640756855,0.153967036867601,0.0616119692308711,0.0572906978153649,0.120042748578619,0.110735900580569,0.169127775882252,0.201487906106425,0.0609056119673162,0.165080075531112,0.0219028225109096,0.174859606273146,0.192811915057804,0.026178766383306,0.0727524753492732,0.0715603202382133,0.10854656624411,0.163837867969802,0.0656778578194584,0.0571092329459852,0.0202770485257386,0.0482065290036267,0.0290553254908362,0.0648651212716286,0.0468387514274535,0.0262533068178029
-47,0.146170771859179,0.0909484667871617,0.0315132384307385,0.073407539990416,0.112463492248345,0.0780175606421463,0.179082327410799,0.292974731550192,0.169372582201403,0.0284232073369526,0.0459725497394077,0.117250080474296,0.125150631614888,0.0595021220672223,0.0670271368892208,0.0770544302569012,0.124742162552515,0.218662383364071,0.222297153548938,0.053027092630544,0.209731838948591,0.0672577159498275,0.167424128672677,0.180842239244651,0.0814178493572648,0.104066097442064,0.101831230600301,0.0812683717121838,0.137485312772672,0.0392635728036182,0.0776603744901614,0.0656696964081966,0.077600924642614,0.0407450013384164,0.0526831938733681,0.0408058007663403,0.0650406313892663
-46.5,0.166822372834411,0.127469512417324,0.0252991730078791,0.106224680640162,0.138037738241996,0.0415673370021578,0.220942248239999,0.305658348775915,0.181737915618981,0.043680102111875,0.0620038585752311,0.12281652417796,0.103428162079864,0.0606697948984521,0.0758774369653784,0.0331303676256873,0.161659546923947,0.22931770332161,0.184514625964288,0.0814983429487448,0.222989991062089,0.111703901803918,0.158931403291918,0.17360992138159,0.105987374028247,0.113909326319239,0.0686774341875832,0.0590891074506296,0.109713282517487,0.0615879608185836,0.128833163832392,0.0952219404238126,0.116884486008606,0.0766617157154391,0.0388351684281532,0.0534607218864135,0.0863015948755621
-46,0.157943236632012,0.125389375019739,0.0589513353821511,0.0594673154963616,0.142529467129553,0.0312136236614855,0.257701518688081,0.287683364116572,0.174737816130416,0.0502563288858229,0.102649095398922,0.110263465351683,0.0753303071482879,0.0975736762189513,0.0466981049809074,0.153241260445852,0.160447559833907,0.171119880341941,0.129450453246167,0.161834916738607,0.235046414094289,0.125868100525851,0.164697407882047,0.187303237494467,0.0868097800000175,0.0787422567770993,0.0425536477868374,0.0183519938321889,0.0893033351208469,0.104771880462595,0.195755293486127,0.0571709786993083,0.162401081921596,0.0781298574786743,0.11957839394101,0.0996715748935297,0.113644477934415
-45.5,0.119670993057672,0.105085301088924,0.115607018950276,0.0939364493323922,0.108565004884815,0.0520408768122072,0.239559237713473,0.210909914357167,0.0927629372005104,0.0211119742093427,0.128950709113093,0.0865926867876422,0.0477633126148978,0.148573199835485,0.0549513224463266,0.129197776250461,0.11708549000502,0.146636374675482,0.090857153667262,0.192974795708097,0.263704303354851,0.127725322944412,0.146102527797197,0.162793876156271,0.0828503321777132,0.0430900132756949,0.0627181332873146,0.0219777911825752,0.0909469393474051,0.0774905489696575,0.206871173717887,0.0377872029372498,0.194963203236649,0.0714189682377553,0.164401119046095,0.101782940304067,0.116394145378891
-45,0.13768238559673,0.0827309435046797,0.126205853748355,0.126410516156236,0.119448255088926,0.0545821542133546,0.203286766800183,0.113765823248684,0.052356581551448,0.0119028790731634,0.129877718588175,0.0652228048855462,0.0474214371538128,0.20984339761846,0.108299584640352,0.0933642701327946,0.115823923954213,0.17767051948205,0.0637781643087432,0.213456150371347,0.260819015740559,0.0593904845394156,0.133141838502407,0.0900093874352989,0.0868334309101749,0.0207732506789242,0.0526119408513593,0.0498020768160088,0.0869979872136126,0.046894002420414,0.196921128248302,0.0557684265229745,0.204409463983866,0.0687714435831433,0.197940943568049,0.109229001186122,0.157600786598295
-44.5,0.174713501684956,0.104697676680317,0.144883559406796,0.14376211210042,0.144515970100882,0.0572191221611457,0.167869449503987,0.0920185108317479,0.0759180872064724,0.0528188275343843,0.106242985720281,0.0497068405816608,0.0643770803593682,0.202408721985364,0.110821134369127,0.0969813077204513,0.10238136316341,0.194667673503744,0.0733160601072482,0.172335302831381,0.199418669063853,0.0659507448696199,0.146635748315097,0.0658351205378722,0.0790656012521167,0.0343718767048308,0.0513073391944294,0.0861441845028823,0.0806657386913721,0.0471100402244732,0.19860494683029,0.0484209099019599,0.211936307486639,0.0707556694789947,0.160417837163979,0.0558932956601783,0.169109255716048
