taps_from_fp,excess_path_m,reflector_off_m,amplitude_norm_mean,amplitude_norm_sd,n_frames
-0.5,-0.15014,NaN,4.28249021122227,0.711104316978463,18
0,0,0,9.46065096366668,0.214510232064217,18
0.5,0.15014,0.167799001486898,14.8758023657778,0.58651053687842,18
1,0.30028,0.259969266645117,17.7737526654445,0.487014076045197,18
1.5,0.45042,0.343922293694375,18.8964838245555,0.16600601996987,18
2,0.60056,0.424561042018695,19.1293569125556,0.0901736764026499,18
2.5,0.7507,0.503480508560163,19.1700722646111,0.0919855234220718,18
3,0.90084,0.581381265952043,19.0276611437222,0.209399005246249,18
3.5,1.05098,0.658624885727832,18.1351677132222,0.635345431107979,18
4,1.20112,0.735418461557772,13.8775986041111,1.75921488609894,18
4.5,1.35126,0.811889707349465,9.38317525283338,3.62683324520438,18
5,1.5014,0.888121889157113,11.7456946502222,1.52946540942731,18
5.5,1.65154,0.96417171338927,16.5064230156111,1.18760596309871,18
6,1.80168,1.04007918237027,16.2276086200555,1.43407409318631,18
6.5,1.95182,1.11587334769677,12.170420767611,2.74159956613063,18
7,2.10196,1.19157583073844,8.07211316383338,2.70672070855567,18
7.5,2.2521,1.26720306285141,6.53458761338895,2.73732672835607,18
8,2.40224,1.34276775892185,6.03241614094443,2.39795367533672,18
8.5,2.55238,1.41827991457963,4.6842401222222,1.3398310179636,18
9,2.70252,1.49374749793933,5.69726697566666,1.39308920036974,18
9.5,2.85266,1.56917693995929,8.77190855561113,1.71631542958016,18
10,3.0028,1.6445734887806,9.49238506533332,1.64967871455149,18
10.5,3.15294,1.71994147019601,7.24900351722216,1.50165310309538,18
11,3.30308,1.79528448208076,5.41686194694447,1.5736420008169,18
11.5,3.45322,1.870605541556,6.07707538805563,1.16419415131706,18
12,3.60336,1.94590719778719,6.90266869877776,1.60491036420731,18
12.5,3.7535,2.02119161944136,5.65066864222217,1.14353325880155,18
13,3.90364,2.09646066321312,3.50884943494444,0.781219482996488,18
13.5,4.05378,2.17171592803939,3.0514652376667,1.04182241855445,18
14,4.20392,2.24695879837615,5.82356232611113,0.499217117531244,18
14.5,4.35406,2.32219047903052,9.44629778372224,0.740321859737746,18
15,4.5042,2.39741202341191,11.6745645940556,0.873308971298874,18
15.5,4.65434,2.47262435660979,12.9621907233889,0.908785940024441,18
16,4.80448,2.5478282943715,14.3677668887222,0.778090001840334,18
16.5,4.95462,2.62302455880611,15.9004619010556,0.594970848187586,18
17,5.10476,2.69821379145538,16.4501418708333,0.462253329683875,18
17.5,5.2549,2.77339656423311,15.6698516852777,0.609686380987125,18
18,5.40504,2.84857338862807,12.6136298778889,0.776076636996917,18
18.5,5.55518,2.92374472348391,8.34430505261107,1.1684098825635,18
19,5.70532,2.99891098160649,4.73743050694444,1.1096718647928,18
19.5,5.85546,3.0740725353999,2.73108232583336,0.660950053876693,18
20,6.0056,3.14922972169386,2.30360780555557,0.181335347290806,18
20.5,6.15574,3.2243828458947,2.07418891355556,0.481529500423488,18
21,6.30588,3.29953218556813,1.79721012727776,0.495522659013665,18
21.5,6.45602,3.37467799354249,1.55866803866666,0.554576094469524,18
22,6.60616,3.44982050060579,1.25691862922223,0.362818428058628,18
22.5,6.7563,3.52495991785722,1.22500371622224,0.344050810811955,18
23,6.90644,3.60009643876383,1.99972664827778,0.388709699463851,18
23.5,7.05658,3.6752302409645,3.01091091305556,0.548465210217528,18
24,7.20672,3.75036148785687,3.51067051644444,0.562810471357586,18
24.5,7.35686,3.82549032999693,3.49769186188888,0.453728363329184,18
25,7.507,3.90061690633674,2.94915889433333,0.266454108435199,18
25.5,7.65714,3.97574134532165,2.24076903366666,0.171443770392239,18
26,7.80728,4.05086376586525,1.75046969755556,0.274352794902864,18
26.5,7.95742,4.12598427821774,1.49492757711112,0.377417841508752,18
27,8.10756,4.20110298474103,1.48704108927778,0.412222124131901,18
27.5,8.2577,4.27621998060203,1.58675402827778,0.408395270463032,18
28,8.40784,4.3513353543941,1.85344510688889,0.302447174518059,18
28.5,8.55798,4.42644918869516,2.24751655505555,0.199903162348829,18
29,8.70812,4.50156156056984,2.70582968894444,0.210366114463202,18
29.5,8.85826,4.57667254202221,3.09024350983333,0.384708908528856,18
30,9.0084,4.65178220040449,3.06549039305556,0.323105932033436,18
30.5,9.15854,4.7268905987869,2.74247391283334,0.29722747666593,18
31,9.30868,4.80199779629271,2.20145559494445,0.241311796080376,18
31.5,9.45882,4.87710384840225,1.60382487388889,0.268313977110529,18
32,9.60896,4.95220880722936,1.08754460416666,0.224825495593152,18
32.5,9.7591,5.02731272177294,0.691113236277777,0.169360752128293,18
