sample,real,imag,amplitude,amplitude_norm
732,163,46,169.37,0.15888
733,-83,31,88.6,0.08311
734,1,108,108,0.10132
735,56,62,83.55,0.07837
736,-54,99,112.77,0.10579
737,-132,43,138.83,0.13023
738,-84,-57,101.51,0.09523
739,75,5,75.17,0.07051
740,76,26,80.32,0.07535
741,40,175,179.51,0.1684
742,103,80,130.42,0.12234
743,132,65,147.14,0.13803
744,14,11,17.8,0.0167
745,-14,74,75.31,0.07065
746,-142,46,149.26,0.14002
747,-65,101,120.11,0.11267
748,29,198,200.11,0.18772
749,56,143,153.57,0.14407
750,43,68,80.45,0.07547
751,234,-23,235.13,0.22057
752,4876,-2861,5653.38,5.30336
753,15154,-10105,18214.14,17.08643
754,16409,-12184,20437.84,19.17245
755,15457,-13510,20528.98,19.25795
756,9213,-13048,15972.78,14.98385
757,-12450,7004,14284.91,13.40047
758,-14377,13692,19853.69,18.62447
759,-3520,921,3638.49,3.41322
760,7085,-14341,15995.67,15.00532
761,-123,-2085,2088.63,1.95931
762,-3011,14548,14856.33,13.93652
763,2102,15133,15278.29,14.33235
764,5047,2335,5560.97,5.21667
765,1314,-4120,4324.46,4.05672
766,-961,-1287,1606.2,1.50676
767,-465,1771,1831.03,1.71766
768,-188,601,629.72,0.59073
769,-670,-4381,4431.94,4.15754
770,-844,-5462,5526.82,5.18464
771,-1457,-549,1557,1.4606
772,-2713,1459,3080.43,2.88971
773,-2388,550,2450.52,2.2988
774,-1191,1220,1704.96,1.5994
775,-694,3095,3171.85,2.97547
776,-357,1903,1936.2,1.81632
777,-507,-1255,1353.54,1.26974
778,-1723,-5569,5829.45,5.46853
779,-3855,-7224,8188.24,7.68127
780,-5021,-3425,6077.92,5.70161
781,-3452,835,3551.55,3.33166
782,-995,1303,1639.46,1.53796
783,-525,-517,736.83,0.69121
784,-1673,-1224,2072.95,1.9446
785,-1025,-173,1039.5,0.97514
786,-56,594,596.63,0.55969
787,-8,540,540.06,0.50662
