sample,taps_from_fp,excess_path_m,reflector_off_m,real,imag,amplitude,amplitude_norm
700,-50.0469000000001,-15.028083132,NaN,116,93,148.68,0.1652
701,-49.0469000000001,-14.727803132,NaN,78,109,134.03,0.14893
702,-48.0469000000001,-14.427523132,NaN,30,101,105.36,0.11707
703,-47.0469000000001,-14.127243132,NaN,46,122,130.38,0.14487
704,-46.0469000000001,-13.826963132,NaN,67,79,103.59,0.1151
705,-45.0469000000001,-13.526683132,NaN,84,66,106.83,0.1187
706,-44.0469000000001,-13.226403132,NaN,54,55,77.08,0.08564
707,-43.0469000000001,-12.926123132,NaN,114,41,121.15,0.13461
708,-42.0469000000001,-12.625843132,NaN,144,76,162.83,0.18092
709,-41.0469000000001,-12.325563132,NaN,103,78,129.2,0.14356
710,-40.0469000000001,-12.025283132,NaN,116,83,142.64,0.15848
711,-39.0469000000001,-11.725003132,NaN,101,100,142.13,0.15792
712,-38.0469000000001,-11.424723132,NaN,101,82,130.1,0.14455
713,-37.0469000000001,-11.124443132,NaN,96,142,171.41,0.19045
714,-36.0469000000001,-10.824163132,NaN,41,129,135.36,0.1504
715,-35.0469000000001,-10.523883132,NaN,21,117,118.87,0.13208
716,-34.0469000000001,-10.223603132,NaN,-10,132,132.38,0.14709
717,-33.0469000000001,-9.92332313200001,NaN,-17,90,91.59,0.10177
718,-32.0469000000001,-9.62304313200002,NaN,-119,-41,125.87,0.13985
719,-31.0469000000001,-9.32276313200001,NaN,-194,-42,198.49,0.22055
720,-30.0469000000001,-9.02248313200002,NaN,-228,171,285,0.31667
721,-29.0469000000001,-8.72220313200001,NaN,20,466,466.43,0.51825
722,-28.0469000000001,-8.42192313200001,NaN,193,487,523.85,0.58205
723,-27.0469000000001,-8.12164313200002,NaN,300,418,514.51,0.57168
724,-26.0469000000001,-7.82136313200002,NaN,514,272,581.53,0.64615
725,-25.0469000000001,-7.52108313200002,NaN,489,46,491.16,0.54573
726,-24.0469000000001,-7.22080313200001,NaN,392,91,402.42,0.44714
727,-23.0469000000001,-6.92052313200001,NaN,157,169,230.67,0.2563
728,-22.0469000000001,-6.62024313200001,NaN,53,194,201.11,0.22345
729,-21.0469000000001,-6.31996313200001,NaN,15,79,80.41,0.08935
730,-20.0469000000001,-6.01968313200002,NaN,-52,-24,57.27,0.06363
731,-19.0469000000001,-5.71940313200002,NaN,-110,-16,111.16,0.12351
732,-18.0469000000001,-5.41912313200002,NaN,-12,-10,15.62,0.01736
733,-17.0469000000001,-5.11884313200002,NaN,21,2,21.1,0.02344
734,-16.0469000000001,-4.81856313200001,NaN,111,-23,113.36,0.12595
735,-15.0469000000001,-4.51828313200001,NaN,108,40,115.17,0.12797
736,-14.0469000000001,-4.21800313200001,NaN,101,26,104.29,0.11588
737,-13.0469000000001,-3.91772313200001,NaN,87,24,90.25,0.10028
738,-12.0469000000001,-3.61744313200002,NaN,107,31,111.4,0.12378
739,-11.0469000000001,-3.31716313200002,NaN,130,111,170.94,0.18994
740,-10.0469000000001,-3.01688313200001,NaN,64,120,136,0.15111
741,-9.04690000000005,-2.71660313200002,NaN,4,121,121.07,0.13452
742,-8.04690000000005,-2.41632313200002,NaN,1,102,102,0.11334
743,-7.04690000000005,-2.11604313200002,NaN,-19,70,72.53,0.08059
744,-6.04690000000005,-1.81576313200002,NaN,-20,83,85.38,0.09486
745,-5.04690000000005,-1.51548313200002,NaN,-31,41,51.4,0.05711
746,-4.04690000000005,-1.21520313200002,NaN,60,55,81.39,0.09044
747,-3.04690000000005,-0.914923132000015,NaN,84,-24,87.36,0.09707
748,-2.04690000000005,-0.614643132000015,NaN,170,-237,291.67,0.32407
749,-1.04690000000005,-0.314363132000015,NaN,748,-1416,1601.42,1.77936
750,-0.0469000000000506,-0.0140831320000152,NaN,3150,-6311,7053.45,7.83717
751,0.953099999999949,0.286196867999985,0.347341425132743,3835,-12176,12765.67,14.18407
752,1.95309999999995,0.586476867999985,0.539681093771833,-3689,-13065,13575.82,15.08425
753,2.95309999999995,0.886756867999985,0.71200374966448,-13920,-5722,15050.17,16.72241
754,3.95309999999995,1.18703686799998,0.876200339704224,-16424,3162,16725.61,18.58401
755,4.95309999999995,1.48731686799998,1.03614128875328,-13589,9827,16769.94,18.63327
756,5.95309999999995,1.78759686799998,1.19353866482022,-5711,15149,16189.74,17.9886
757,6.95309999999995,2.08787686799998,1.34928290502116,3820,15038,15515.6,17.23956
758,7.95309999999995,2.38815686799998,1.50388769871419,4894,9749,10908.45,12.1205
759,8.95309999999995,2.68843686799998,1.6576718921745,721,2278,2389.38,2.65486
760,9.95309999999995,2.98871686799998,1.81084456347498,-164,-1079,1091.39,1.21266
761,10.9530999999999,3.28899686799998,1.96354882883732,3217,-2334,3974.5,4.41611
762,11.9530999999999,3.58927686799998,2.11588610576986,4657,-3399,5765.49,6.4061
763,12.9530999999999,3.88955686799998,2.26793034750882,2002,-2443,3158.52,3.50947
764,13.9530999999999,4.18983686799998,2.41973679331306,408,-1090,1163.86,1.29317
765,14.9530999999999,4.49011686799998,2.57134756030267,344,-443,560.88,0.6232
766,15.9530999999999,4.79039686799999,2.72279533605374,414,-736,844.45,0.93828
767,16.9530999999999,5.09067686799998,2.87410588660152,246,-1241,1265.15,1.40572
768,17.9530999999999,5.39095686799998,3.02529980199633,690,-1042,1249.75,1.38861
769,18.9530999999999,5.69123686799998,3.17639373751438,1658,-247,1676.3,1.86255
770,19.9530999999999,5.99151686799998,3.32740131313944,1857,1,1857,2.06333
771,20.9530999999999,6.29179686799998,3.47833377651478,1070,-397,1141.28,1.26808
772,21.9530999999999,6.59207686799998,3.62920049903627,222,-618,656.66,0.72963
773,22.9530999999999,6.89235686799998,3.78000935220624,204,-363,416.4,0.46266
774,23.9530999999999,7.19263686799999,3.93076699672318,545,-15,545.21,0.60578
775,24.9530999999999,7.49291686799998,4.08147910707499,845,266,885.88,0.98431
776,25.9530999999999,7.79319686799998,4.23215054784812,778,345,851.06,0.94563
777,26.9530999999999,8.09347686799998,4.38278551346204,493,374,618.81,0.68757
778,27.9530999999999,8.39375686799998,4.53338763989737,415,360,549.39,0.61043
779,28.9530999999999,8.69403686799999,4.68396009476338,883,223,910.72,1.01192
780,29.9530999999999,8.99431686799998,4.83450565045665,1340,228,1359.26,1.51029
781,30.9530999999999,9.29459686799999,4.98502674400637,1276,134,1283.02,1.42557
782,31.9530999999999,9.59487686799998,5.13552552635271,990,-190,1008.07,1.12007
783,32.9530999999999,9.89515686799998,5.28600390317504,582,-294,652.04,0.72449
784,33.9530999999999,10.195436868,5.4364635689153,436,-159,464.09,0.51565
785,34.9530999999999,10.495716868,5.58690603528508,361,116,379.18,0.42131
786,35.9530999999999,10.795996868,5.73733265527339,486,253,547.91,0.60879
787,36.9530999999999,11.096276868,5.88774464346305,731,275,781.02,0.8678
788,37.9530999999999,11.396556868,6.0381430933019,1081,106,1086.18,1.20687
789,38.9530999999999,11.696836868,6.18852899184862,1086,-79,1088.87,1.20986
790,39.9530999999999,11.997116868,6.3389032324143,854,-3,854.01,0.94889
791,40.9530999999999,12.297396868,6.48926662544189,554,139,571.17,0.63464
792,41.9530999999999,12.597676868,6.63961990790403,487,124,502.54,0.55838
793,42.9530999999999,12.897956868,6.78996375144941,776,38,776.93,0.86326
794,43.9530999999999,13.198236868,6.94029876948813,758,74,761.6,0.84623
795,44.9530999999999,13.498516868,7.0906255233738,582,53,584.41,0.64934
796,45.9530999999999,13.798796868,7.24094452781414,437,-5,437.03,0.48559
797,46.9530999999999,14.099076868,7.39125625562009,375,-46,377.81,0.41979
798,47.9530999999999,14.399356868,7.54156114188598,348,-59,352.97,0.39218
799,48.9530999999999,14.699636868,7.69185958767879,349,-69,355.76,0.39528
800,49.9530999999999,14.999916868,7.84215196330239,544,-129,559.09,0.62121
801,50.9530999999999,15.300196868,7.99243861119303,653,-71,656.85,0.72983
802,51.9530999999999,15.600476868,8.14271984849354,632,25,632.49,0.70277
803,52.9530999999999,15.900756868,8.2929959693474,499,88,506.7,0.563
804,53.9530999999999,16.201036868,8.44326724694734,515,63,518.84,0.57649
805,54.9530999999999,16.501316868,8.5935339353688,571,0,571,0.63444
806,55.9530999999999,16.801596868,8.74379627121405,517,13,517.16,0.57463
807,56.9530999999999,17.101876868,8.89405447508942,479,36,480.35,0.53372
808,57.9530999999999,17.402156868,9.04430875293517,441,-9,441.09,0.4901
809,58.9530999999999,17.702436868,9.19455929722471,355,-60,360.03,0.40004
810,59.9530999999999,18.002716868,9.34480628804807,360,-72,367.13,0.40792
811,60.9530999999999,18.302996868,9.49504989409241,370,-101,383.54,0.42615
812,61.9530999999999,18.603276868,9.64529027353069,454,-109,466.9,0.51878
813,62.9530999999999,18.903556868,9.79552757482859,549,-102,558.4,0.62044
814,63.9530999999999,19.203836868,9.94576193747814,586,-55,588.58,0.65397
815,64.9530999999999,19.504116868,10.0959934926658,662,-49,663.81,0.73757
816,65.9530999999999,19.804396868,10.2462223638818,606,-58,608.77,0.67641
817,66.9530999999999,20.104676868,10.3964486674765,423,-80,430.5,0.47833
818,67.9530999999999,20.404956868,10.546672513169,342,-96,355.22,0.39469
819,68.9530999999999,20.705236868,10.6968940045135,366,-72,373.01,0.41446
820,69.9530999999999,21.005516868,10.8471132393258,380,-16,380.34,0.4226
821,70.9530999999999,21.305796868,10.9973303100761,324,69,331.27,0.36807
822,71.9530999999999,21.606076868,11.1475453042489,387,105,400.99,0.44555
823,72.9530999999999,21.906356868,11.2977583046745,368,-21,368.6,0.40955
824,73.9530999999999,22.206636868,11.4479693898352,392,-28,393,0.43667
825,74.9530999999999,22.506916868,11.5981786341462,456,-42,457.93,0.50881
826,75.9530999999999,22.807196868,11.7483861082162,524,-69,528.52,0.58725
827,76.9530999999999,23.107476868,11.8985918790876,499,-73,504.31,0.56035
828,77.9530999999999,23.407756868,12.0487960104589,431,-35,432.42,0.48047
829,78.9530999999999,23.708036868,12.1989985628908,375,-9,375.11,0.41679
830,79.9530999999999,24.008316868,12.3491995939969,354,-21,354.62,0.39402
831,80.9530999999999,24.308596868,12.499399158621,371,1,371,0.41222
