sample,taps_from_fp,excess_path_m,reflector_off_m,real,imag,amplitude,amplitude_norm
698,-50,-15.014,NaN,83,108,136.21,0.15236
699,-49,-14.71372,NaN,55,114,126.57,0.14158
700,-48,-14.41344,NaN,19,73,75.43,0.08438
701,-47,-14.11316,NaN,-4,71,71.11,0.07954
702,-46,-13.81288,NaN,86,22,88.77,0.09929
703,-45,-13.5126,NaN,66,-17,68.15,0.07624
704,-44,-13.21232,NaN,57,30,64.41,0.07205
705,-43,-12.91204,NaN,92,57,108.23,0.12106
706,-42,-12.61176,NaN,143,16,143.89,0.16095
707,-41,-12.31148,NaN,120,50,130,0.14541
708,-40,-12.0112,NaN,74,75,105.36,0.11785
709,-39,-11.71092,NaN,81,115,140.66,0.15734
710,-38,-11.41064,NaN,116,120,166.9,0.18669
711,-37,-11.11036,NaN,94,104,140.19,0.15681
712,-36,-10.81008,NaN,57,102,116.85,0.1307
713,-35,-10.5098,NaN,6,82,82.22,0.09197
714,-34,-10.20952,NaN,2,99,99.02,0.11076
715,-33,-9.90924,NaN,71,118,137.71,0.15404
716,-32,-9.60896,NaN,222,52,228.01,0.25504
717,-31,-9.30868,NaN,427,-133,447.23,0.50026
718,-30,-9.0084,NaN,117,-218,247.41,0.27675
719,-29,-8.70812,NaN,-237,-133,271.77,0.30399
720,-28,-8.40784,NaN,-350,13,350.24,0.39177
721,-27,-8.10756,NaN,-297,234,378.11,0.42294
722,-26,-7.80728,NaN,-154,356,387.88,0.43387
723,-25,-7.507,NaN,51,401,404.23,0.45216
724,-24,-7.20672,NaN,85,356,366.01,0.4094
725,-23,-6.90644,NaN,-16,185,185.69,0.20771
726,-22,-6.60616,NaN,-5,101,101.12,0.11311
727,-21,-6.30588,NaN,137,63,150.79,0.16867
728,-20,-6.0056,NaN,198,26,199.7,0.22338
729,-19,-5.70532,NaN,102,1,102,0.1141
730,-18,-5.40504,NaN,15,4,15.52,0.01736
731,-17,-5.10476,NaN,21,18,27.66,0.03094
732,-16,-4.80448,NaN,72,61,94.37,0.10556
733,-15,-4.5042,NaN,126,8,126.25,0.14122
734,-14,-4.20392,NaN,130,40,136.01,0.15214
735,-13,-3.90364,NaN,122,83,147.56,0.16505
736,-12,-3.60336,NaN,141,124,187.77,0.21003
737,-11,-3.30308,NaN,140,156,209.61,0.23446
738,-10,-3.0028,NaN,104,95,140.86,0.15756
739,-9,-2.70252,NaN,50,120,130,0.14541
740,-8,-2.40224,NaN,21,96,98.27,0.10992
741,-7,-2.10196,NaN,63,111,127.63,0.14277
742,-6,-1.80168,NaN,35,88,94.7,0.10593
