taps_from_fp,transition_1_to_2,transition_2_to_3,transition_3_to_4
-50,0.0266065930341775,0.0281171367001644,0.0441070959661673
-49.5,0.0508639514360744,0.0308235363693681,0.0226536550018841
-49,0.0714126131753802,0.0423519378818556,0.0421978505055244
-48.5,0.0872577159277786,0.0434087022685805,0.083988658150601
-48,0.0913050012969731,0.0385632453453504,0.0733617961568427
-47.5,0.0756663304600281,0.075432396664082,0.0789481121648294
-47,0.0712487223103507,0.0705471470612478,0.0577151589581995
-46.5,0.0898462663757513,0.0388860007010323,0.0304181377340831
-46,0.0675812998753713,0.0244863697774574,0.00677514811693171
-45.5,0.0537489078750659,0.0437043921068901,0.0374776601613874
-45,0.0688774460084138,0.0613125826603469,0.0242903538813355
-44.5,0.0817009102902738,0.0842765135421199,0.0333756372568638
-44,0.109894973812811,0.0974291743204339,0.0254683300691606
-43.5,0.123474348020192,0.0850479719191407,0.0636700883096728
-43,0.107669797152922,0.0627671390759401,0.0647357671543907
-42.5,0.0830268632220909,0.057661378552561,0.0696913681349231
-42,0.0405505711844222,0.0845427855489875,0.0721884869568198
-41.5,0.0271126368045106,0.0837291754561109,0.0743105615485612
-41,0.0570734432301112,0.0506151764466344,0.0846214350853684
-40.5,0.0987663195127791,0.0595750767475166,0.0991917752075625
-40,0.104414620571867,0.0820987907909974,0.07101358014125
-39.5,0.0869066493118418,0.079859381334643,0.0850428831568631
-39,0.0490059348689036,0.0829559528333369,0.115531859397883
-38.5,0.0141034316426832,0.0809540039176748,0.131367764746504
-38,0.00887139692919811,0.0779498978958547,0.0999420846385593
-37.5,0.0375685893180898,0.072244475718139,0.0479879618934536
-37,0.0401966645121299,0.0682872705904231,0.0635964958184597
-36.5,0.0463989457117379,0.0286628542485348,0.0640742946285727
-36,0.0626903859902263,0.0414953391051731,0.0192363801732575
-35.5,0.063781160629692,0.0829103629568063,0.0242003747834105
-35,0.0780133761057004,0.0876005530341187,0.0475567603457697
-34.5,0.109898423036655,0.118637648294309,0.0688737925780994
-34,0.0876405782687323,0.135479397988589,0.112399253187359
-33.5,0.0403078512067769,0.112364182531241,0.145985381423656
-33,0.0418179421879715,0.125632138210081,0.157590768476457
-32.5,0.0964449727917435,0.190713994336777,0.241031026537094
-32,0.200837709738625,0.274971074822711,0.327465356131903
-31.5,0.354720137946372,0.372978006519466,0.44345307746837
-31,0.461944724664093,0.493407210165133,0.523525722649901
-30.5,0.568715246746182,0.581141584599727,0.599533032972623
-30,0.578162084448946,0.619990474212063,0.581014344322594
-29.5,0.539283451849336,0.598613856069295,0.551909622131358
-29,0.464367846916665,0.521998088426637,0.483080232068378
-28.5,0.346399385645564,0.368546709381123,0.382694647265151
-28,0.206308026965065,0.244990806793066,0.282344233962622
-27.5,0.222935023798181,0.302253276800197,0.332766927159299
-27,0.354485969935598,0.473491791906259,0.450960430210629
-26.5,0.445052930399158,0.576463601853068,0.537159237355818
-26,0.468045028293793,0.601564047370961,0.554920969621689
-25.5,0.441480152460696,0.614361481534143,0.57349131085656
-25,0.409446199172499,0.594922066520663,0.580570847138839
-24.5,0.425172547889744,0.527569018148176,0.582408500501128
-24,0.429161292424169,0.463258657244632,0.514801385214548
-23.5,0.454590761895424,0.425554915312999,0.439856807574748
-23,0.433499265426699,0.405222291347988,0.349165848760304
-22.5,0.349890814923161,0.359121701873365,0.231424816616074
-22,0.272658934978899,0.285234811326605,0.132425981105837
-21.5,0.18853386291872,0.233308560510451,0.045193965605611
-21,0.136256302085919,0.196058112776955,0.00270240524815131
-20.5,0.102968188277816,0.182291417630885,0.0267343227731566
-20,0.0520423562875219,0.180841727837477,0.0674141085516855
-19.5,0.040430023900277,0.163211881804516,0.0901173638925958
-19,0.05725545164489,0.139229415942106,0.0718050540416556
-18.5,0.0760213598930559,0.136735087356216,0.0800114626824184
-18,0.0844425627616552,0.13017012098489,0.0606671766932895
-17.5,0.085067640920044,0.109935722501387,0.036535156552878
-17,0.0623023636175778,0.0934394016685094,0.0541793515361566
-16.5,0.0676345111628774,0.0947060868552725,0.0826287820305937
-16,0.0802606576012893,0.069765211230395,0.070953528273435
-15.5,0.0615404455427867,0.0751150253560821,0.0557055139083438
-15,0.0687862592916568,0.106323183825664,0.0251864900836946
-14.5,0.0743443200264582,0.0880808736949725,0.0360707766523275
-14,0.0536405412367837,0.0497032499907286,0.0570047431170106
-13.5,0.0510466604240632,0.0294955794994853,0.109555051911596
-13,0.0666650865064764,0.0193551083494742,0.121224143107993
-12.5,0.0731291531078996,0.0403885236138556,0.0984872864548201
-12,0.0804467721560153,0.0261359184407772,0.0698780817443836
-11.5,0.0852866007832439,0.0219220483404852,0.0569489945834614
-11,0.0911710205774407,0.031295602322043,0.0375530273775435
-10.5,0.106269145708194,0.0568451191850697,0.0513353077620135
-10,0.0972757945281914,0.0805671853073003,0.0151398090007246
-9.5,0.0977490295695738,0.0853933990228553,0.0378722496092414
-9,0.0945627771170217,0.105114313595,0.069035392814565
-8.5,0.0993159343464531,0.131801019842857,0.103421886649809
-8,0.132522966855889,0.1331032020578,0.117013603376064
-7.5,0.167357450109968,0.120148520985194,0.115604961919754
-7,0.138934455185905,0.0795514054339879,0.0693162097397288
-6.5,0.10812602842121,0.0372731357218418,0.0402223255343564
-6,0.092280995830049,0.0191047997462731,0.0372201952116179
-5.5,0.084951890214034,0.0238328183139982,0.0538726671776093
-5,0.0996750505060557,0.0582717396637635,0.0537943436603118
-4.5,0.121721918420228,0.10065328226332,0.0664137185274406
-4,0.120559930050656,0.112375406811836,0.0933079575502391
-3.5,0.14693275465886,0.0810232664510763,0.112527575548922
-3,0.218495851542799,0.039278590695374,0.201056804962002
-2.5,0.372797812515258,0.348484239240036,0.43965701375355
-2,0.904844999056117,1.04067246962264,1.34255042910194
-1.5,1.69011299418115,2.44522544010405,2.68208126201649
-1,3.09967060732586,4.45250152347897,5.38970664569184
-0.5,5.15971209915693,7.47917499494061,8.8351255603249
0,7.43843222072455,10.6903400620317,12.7439627425331
0.5,11.2135823901577,14.0289184769796,17.0403741311844
1,13.8146679285281,17.5555564276011,19.9567362136733
1.5,16.7842075996919,19.9205063513982,22.8982658428093
2,18.1345931396885,21.662933088762,23.6872012376706
2.5,18.323005609425,21.723918561981,24.0871769492439
3,15.6433655693784,19.0687834976942,21.2721358654598
3.5,11.7157697014251,12.8664549668131,17.3343009404539
4,8.52293770012626,9.002876440319,11.776437066277
4.5,10.501019300816,12.267785977192,11.2555283520878
5,14.3725833653088,18.1894932496578,15.6202016153753
5.5,15.9158954265014,22.0438226222202,19.4548036412299
6,16.1904185380638,23.4714558352471,20.8332903533713
6.5,15.5183694696265,23.8969977879365,21.8032310322068
7,13.7848628981639,22.5886325929057,20.9279047625663
7.5,12.976650215799,20.1967989372313,20.4255719146816
8,12.2991733594257,18.7125768008932,19.0738559405866
8.5,12.8496569862605,17.7105959613605,17.4364773577985
9,12.318477251005,16.610271867703,14.5179576644085
9.5,10.226934773322,14.3996103818394,10.6220097179574
10,7.60706854556121,10.5893108236708,6.66753201496282
10.5,4.02762103825335,6.42186092797783,3.3584834269599
11,2.31427144774945,3.54182650977244,2.32426863925643
11.5,1.52577675377426,2.46609933849278,1.96688787190064
12,1.7721701757195,2.52069484363185,2.62950507017568
12.5,1.61307104995641,3.19234803825814,3.22591652173422
