FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,STD_NOISE,NTM,NOISE_THRESH,PEAK_IDX,PEAK_AMPL,START,elapsed_s,tag_anchor_dist_m,n_samples,aligned_csv
46,291274971123,745.5156,745,874,-60.45,108,13,1404,748,16593,695,4.9183453,1.5,150,02_lde_aligned\frame_0046_aligned.csv
47,297664758287,745.9531,745,896,-60.08,84,13,1092,748,17444,695,5.0230283,1.5,150,02_lde_aligned\frame_0047_aligned.csv
48,304054545965,746.5469,746,889,-60.59,100,13,1300,748,17069,696,5.1167066,1.5,150,02_lde_aligned\frame_0048_aligned.csv
49,310444333124,746.9062,746,886,-60.81,100,13,1300,749,16965,696,5.2275203,1.5,150,02_lde_aligned\frame_0049_aligned.csv
50,316834120803,747.1406,747,880,-60.44,88,13,1144,749,16678,697,5.3229217,1.5,150,02_lde_aligned\frame_0050_aligned.csv
51,323223908474,748.125,748,869,-60.48,84,13,1092,750,16433,698,5.419584,1.5,150,02_lde_aligned\frame_0051_aligned.csv
52,329613695639,748.4531,748,881,-60.57,92,13,1196,750,16920,698,5.5246004,1.5,150,02_lde_aligned\frame_0052_aligned.csv
53,336003483322,748.5,748,880,-60.17,92,13,1196,750,16864,698,5.6270687,1.5,150,02_lde_aligned\frame_0053_aligned.csv
54,342393270992,749.5937,749,1013,-60.75,124,13,1612,751,18364,699,5.7223924,1.5,150,02_lde_aligned\frame_0054_aligned.csv
55,348783058158,750.5625,750,1023,-60.6,100,13,1300,752,18710,700,5.817777,1.5,150,02_lde_aligned\frame_0055_aligned.csv
56,355172845851,750.1406,750,934,-60.38,88,13,1144,752,17659,700,5.9284524,1.5,150,02_lde_aligned\frame_0056_aligned.csv
57,361562633006,750.8125,750,1001,-60.68,100,13,1300,756,17993,700,6.0247609,1.5,150,02_lde_aligned\frame_0057_aligned.csv
58,367952420684,750.7812,750,893,-60.3,88,13,1144,753,17150,700,6.1197132,1.5,150,02_lde_aligned\frame_0058_aligned.csv
59,374342208364,751.2812,751,959,-61.17,96,13,1248,754,17859,701,6.2246413,1.5,150,02_lde_aligned\frame_0059_aligned.csv
60,380731995521,752.2344,752,899,-60.62,88,13,1144,754,17376,702,6.3195747,1.5,150,02_lde_aligned\frame_0060_aligned.csv
61,387121783185,752.1094,752,952,-60.17,108,13,1404,754,18150,702,6.4148026,1.5,150,02_lde_aligned\frame_0061_aligned.csv
62,393511570330,752.25,752,924,-60.03,104,13,1352,754,17787,702,6.5277658,1.5,150,02_lde_aligned\frame_0062_aligned.csv
63,399901357976,752.8437,752,878,-60.61,88,13,1144,755,16941,702,6.6269817,1.5,150,02_lde_aligned\frame_0063_aligned.csv
64,406291145635,751.7656,751,926,-60.53,108,13,1404,753,17402,701,6.7210786,1.5,150,02_lde_aligned\frame_0064_aligned.csv
65,412680932754,752.875,752,1003,-60.87,112,13,1456,758,18107,702,6.8185782,1.5,150,02_lde_aligned\frame_0065_aligned.csv
66,419070720398,752.6875,752,906,-60.42,92,13,1196,754,17233,702,6.9136929,1.5,150,02_lde_aligned\frame_0066_aligned.csv
67,425460508038,752.4375,752,900,-60.25,92,13,1196,754,17150,702,7.0248013,1.5,150,02_lde_aligned\frame_0067_aligned.csv
68,431850295150,751.3125,751,894,-60.79,92,13,1196,753,17318,701,7.113554,1.5,150,02_lde_aligned\frame_0068_aligned.csv
69,438240082769,750.8594,750,1000,-61.16,96,13,1248,752,17597,700,7.2253385,1.5,150,02_lde_aligned\frame_0069_aligned.csv
70,444629869870,751.1875,751,880,-60.6,104,13,1352,753,16647,701,7.3198001,1.5,150,02_lde_aligned\frame_0070_aligned.csv
71,451019657487,750.0781,750,990,-60.76,92,13,1196,752,18340,700,7.414737,1.5,150,02_lde_aligned\frame_0071_aligned.csv
72,457409445100,750.0312,750,946,-61.13,96,13,1248,752,17123,700,7.525819,1.5,150,02_lde_aligned\frame_0072_aligned.csv
73,463799232198,749.5625,749,884,-60.46,92,13,1196,751,16940,699,7.6201277,1.5,150,02_lde_aligned\frame_0073_aligned.csv
74,470189019795,748.5156,748,877,-60.25,88,13,1144,751,16811,698,7.7161942,1.5,150,02_lde_aligned\frame_0074_aligned.csv
75,476578806873,747.2344,747,868,-60.53,84,13,1092,749,16589,697,7.8266628,1.5,150,02_lde_aligned\frame_0075_aligned.csv
76,482968594452,745.9062,745,1002,-61.02,120,13,1560,749,17381,695,7.922102,1.5,150,02_lde_aligned\frame_0076_aligned.csv
77,489358382024,752.7187,752,906,-60.39,88,13,1144,754,17131,702,8.0183108,1.5,150,02_lde_aligned\frame_0077_aligned.csv
78,495748169078,752.0625,752,870,-60.04,80,13,1040,754,16768,702,8.113227,1.5,150,02_lde_aligned\frame_0078_aligned.csv
79,502137956638,750.8125,750,976,-60.71,120,13,1560,752,18059,700,8.2182038,1.5,150,02_lde_aligned\frame_0079_aligned.csv
80,508527744197,749.0469,749,966,-60.56,96,13,1248,751,18314,699,8.3129757,1.5,150,02_lde_aligned\frame_0080_aligned.csv
81,514917531218,747.875,747,923,-60.31,88,13,1144,750,17745,697,8.4263792,1.5,150,02_lde_aligned\frame_0081_aligned.csv
82,521307318763,745.1406,745,952,-60.8,100,13,1300,747,17639,695,8.5225573,1.5,150,02_lde_aligned\frame_0082_aligned.csv
83,527697106282,752,752,867,-60.31,88,13,1144,754,16454,702,8.6184741,1.5,150,02_lde_aligned\frame_0083_aligned.csv
84,534086893296,749.4687,749,873,-60.25,92,13,1196,752,16671,699,8.7140409,1.5,150,02_lde_aligned\frame_0084_aligned.csv
