sample,taps_from_fp,excess_path_m,reflector_off_m,amplitude,amplitude_norm
726,-20.2812,-6.090038736,NaN,47.85,0.04235
727,-19.2812,-5.789758736,NaN,131.61,0.11647
728,-18.2812,-5.489478736,NaN,160.46,0.142
729,-17.2812,-5.189198736,NaN,35.85,0.03172
730,-16.2812,-4.888918736,NaN,142.64,0.12623
731,-15.2812,-4.588638736,NaN,19.1,0.01691
732,-14.2812,-4.288358736,NaN,34.79,0.03078
733,-13.2812,-3.988078736,NaN,179.81,0.15912
734,-12.2812,-3.687798736,NaN,159.06,0.14076
735,-11.2812,-3.387518736,NaN,131.8,0.11663
736,-10.2812,-3.087238736,NaN,208.59,0.18459
737,-9.28120000000001,-2.786958736,NaN,239.28,0.21175
738,-8.28120000000001,-2.486678736,NaN,125.2,0.11079
739,-7.28120000000001,-2.186398736,NaN,44.72,0.03958
740,-6.28120000000001,-1.886118736,NaN,27.07,0.02396
741,-5.28120000000001,-1.585838736,NaN,171.84,0.15207
742,-4.28120000000001,-1.285558736,NaN,279.03,0.24693
743,-3.28120000000001,-0.985278736000004,NaN,262.93,0.23268
744,-2.28120000000001,-0.684998736000004,NaN,114.69,0.1015
745,-1.28120000000001,-0.384718736000004,NaN,240.53,0.21286
746,-0.281200000000013,-0.0844387360000038,NaN,6807.65,6.02447
747,0.718799999999987,0.215841263999996,0.209816711468077,19742.02,17.47081
748,1.71879999999999,0.516121263999996,0.379491079458052,21662.12,19.17002
749,2.71879999999999,0.816401263999996,0.537668992564382,21718.66,19.22005
750,3.71879999999999,1.116681264,0.692276282232865,16411.89,14.5238
751,4.71879999999999,1.416961264,0.845274508972746,15304.66,13.54394
752,5.71879999999999,1.717241264,0.997404421133211,20842.86,18.44501
753,6.71879999999999,2.017521264,1.14901096699424,1641.46,1.45262
754,7.71879999999999,2.317801264,1.30027722599836,18235.05,16.13721
755,8.71879999999999,2.618081264,1.45130960371209,3387.79,2.99805
756,9.71879999999999,2.918361264,1.60217424345915,17385.4,15.38531
757,10.7188,3.218641264,1.7529144548953,12750.04,11.28322
758,11.7188,3.518921264,1.90355979815656,4806.16,4.25324
759,12.7188,3.819201264,2.05413114560263,7315.95,6.47429
760,13.7188,4.119481264,2.20464365844273,966.01,0.85488
761,14.7188,4.419761264,2.35510861687709,3811.99,3.37344
762,15.7188,4.720041264,2.50553458827965,3020.47,2.67298
763,16.7188,5.020321264,2.65592819707963,906.9,0.80257
764,17.7188,5.320601264,2.80629464636549,3749.32,3.31798
765,18.7188,5.620881264,2.95663807991383,4120.02,3.64603
766,19.7188,5.921161264,3.10696183886663,1765.24,1.56216
767,20.7188,6.221441264,3.25726864718747,2449.18,2.16742
768,21.7188,6.521721264,3.40756074794382,6472.05,5.72747
769,22.7188,6.822001264,3.5578400049896,7521.47,6.65617
770,23.7188,7.122281264,3.70810797988426,2498.01,2.21063
771,24.7188,7.422561264,3.85836599081247,1146.88,1.01494
772,25.7188,7.722841264,4.00861515823548,2969.69,2.62804
773,26.7188,8.023121264,4.15885644063512,3265.33,2.88967
774,27.7188,8.323401264,4.30909066277204,5813.32,5.14453
775,28.7188,8.623681264,4.45931853822601,5914.09,5.23371
776,29.7188,8.923961264,4.60954068752442,2068.28,1.83034
777,30.7188,9.224241264,4.75975765283486,587.54,0.51995
778,31.7188,9.524521264,4.90996990995841,1069.71,0.94665
779,32.7188,9.824801264,5.06017787818511,2070.56,1.83235
780,33.7188,10.125081264,5.21038192844353,2743.83,2.42817
781,34.7188,10.425361264,5.36058239007926,1946.22,1.72232
782,35.7188,10.725641264,5.51077955652418,1087.74,0.9626
783,36.7188,11.025921264,5.66097369006267,923.78,0.8175
784,37.7188,11.326201264,5.81116502585831,952.02,0.8425
785,38.7188,11.626481264,5.96135377537147,1501.49,1.32875
786,39.7188,11.926761264,6.11154012927287,394.67,0.34926
787,40.7188,12.227041264,6.26172425993749,1277.35,1.1304
788,41.7188,12.527321264,6.41190632358791,1644,1.45487
789,42.7188,12.827601264,6.56208646214324,2448.62,2.16692
790,43.7188,13.127881264,6.71226480481965,2202.69,1.94928
791,44.7188,13.428161264,6.86244146952071,1749.54,1.54827
792,45.7188,13.728441264,7.012616564049,1387.19,1.22761
793,46.7188,14.028721264,7.16279018716529,2334.81,2.0662
794,47.7188,14.329001264,7.31296242951708,1736.14,1.5364
795,48.7188,14.629281264,7.46313337445508,885.62,0.78374
796,49.7188,14.929561264,7.61330309875302,543.81,0.48125
797,50.7188,15.229841264,7.76347167324382,1059.35,0.93748
798,51.7188,15.530121264,7.91363916338344,2073.57,1.83501
799,52.7188,15.830401264,8.06380562975157,2897.17,2.56386
800,53.7188,16.130681264,8.21397112849748,3003.49,2.65796
801,54.7188,16.430961264,8.36413571173777,2477.92,2.19285
802,55.7188,16.731241264,8.51429942791208,1469.27,1.30024
803,56.7188,17.031521264,8.66446232210176,784.8,0.69451
804,57.7188,17.331801264,8.81462443631593,725.5,0.64204
805,58.7188,17.632081264,8.96478580974888,1367.35,1.21005
806,59.7188,17.932361264,9.11494647901193,1818.93,1.60967
807,60.7188,18.232641264,9.26510647834275,2215.77,1.96086
808,61.7188,18.532921264,9.41526583979474,1749.22,1.54798
809,62.7188,18.833201264,9.56542459340843,1523.8,1.3485
810,63.7188,19.133481264,9.71558276736706,1937.1,1.71425
811,64.7188,19.433761264,9.86574038813797,1983.78,1.75556
812,65.7188,19.734041264,10.0158974806012,1934.47,1.71192
813,66.7188,20.034321264,10.1660540681668,1800.58,1.59344
814,67.7188,20.334601264,10.3162101728817,1457.4,1.28974
815,68.7188,20.634881264,10.4663658155276,1112,0.98407
816,69.7188,20.935161264,10.6165210157104,1620.87,1.4344
817,70.7188,21.235441264,10.7666757919424,1044.51,0.92434
818,71.7188,21.535721264,10.9168301617171,1335.26,1.18164
819,72.7188,21.836001264,11.0669841415786,1311.49,1.16061
820,73.7188,22.136281264,11.2171377471853,1461.01,1.29293
821,74.7188,22.436561264,11.367290993368,2031.15,1.79747
822,75.7188,22.736841264,11.5174438941843,1761.36,1.55873
823,76.7188,23.037121264,11.6675964629679,1330.92,1.17781
824,77.7188,23.337401264,11.8177487123748,715.01,0.63275
825,78.7188,23.637681264,11.9679006544262,1364.67,1.20767
826,79.7188,23.937961264,12.1180523005469,1253.59,1.10937
827,80.7188,24.238241264,12.2682036616029,824.08,0.72927
828,81.7188,24.538521264,12.4183547479344,1180.71,1.04488
829,82.7188,24.838801264,12.5685055693874,1155.44,1.02251
830,83.7188,25.139081264,12.718656135343,1013.15,0.89659
831,84.7188,25.439361264,12.8688064547446,1256.36,1.11182
832,85.7188,25.739641264,13.0189565361227,1659.01,1.46815
833,86.7188,26.039921264,13.1691063876191,1886.41,1.66939
834,87.7188,26.340201264,13.3192560170081,1238.58,1.09608
835,88.7188,26.640481264,13.4694054317176,742.69,0.65725
