FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,START,tag_anchor_dist_m,n_samples,raw_csv,aligned_csv,elapsed_s
105,668756830572,747.2344,747,1342,-65.57,697,0.7,150,01_raw_frames\frame_0105.csv,02_lde_aligned\frame_0105_aligned.csv,10.4000623653471
106,675146627580,749.9531,749,1327,-63.92,699,0.7,150,01_raw_frames\frame_0106.csv,02_lde_aligned\frame_0106_aligned.csv,10.5000629445237
107,681536424015,752.0156,752,1447,-68.91,702,0.7,150,01_raw_frames\frame_0107.csv,02_lde_aligned\frame_0107_aligned.csv,10.6000635147329
108,687926220959,753.0156,753,1357,-64.67,703,0.7,150,01_raw_frames\frame_0108.csv,02_lde_aligned\frame_0108_aligned.csv,10.700064092908
109,694316017911,745.7812,745,1423,-69.84,695,0.7,150,01_raw_frames\frame_0109.csv,02_lde_aligned\frame_0109_aligned.csv,10.8000646712083
110,700705814788,746.0937,746,1381,-69.13,696,0.7,150,01_raw_frames\frame_0110.csv,02_lde_aligned\frame_0110_aligned.csv,10.9000652483348
111,707095611129,747.4844,747,1185,-62.29,697,0.7,150,01_raw_frames\frame_0111.csv,02_lde_aligned\frame_0111_aligned.csv,11.0000658170729
112,713485408018,745.875,745,1576,-71.42,695,0.7,150,01_raw_frames\frame_0112.csv,02_lde_aligned\frame_0112_aligned.csv,11.1000663943873
113,719875204796,746.5,746,1235,-65.95,696,0.7,150,01_raw_frames\frame_0113.csv,02_lde_aligned\frame_0113_aligned.csv,11.2000669699644
114,726265001079,743.8437,743,1564,-71.72,693,0.7,150,01_raw_frames\frame_0114.csv,02_lde_aligned\frame_0114_aligned.csv,11.3000675377948
115,732654797861,750.875,750,1533,-69.37,700,0.7,150,01_raw_frames\frame_0115.csv,02_lde_aligned\frame_0115_aligned.csv,11.4000681134346
116,739044594590,748.7812,748,1515,-70.27,698,0.7,150,01_raw_frames\frame_0116.csv,02_lde_aligned\frame_0116_aligned.csv,11.5000686882449
117,745434391261,737.4844,737,1467,-68.83,687,0.7,150,01_raw_frames\frame_0117.csv,02_lde_aligned\frame_0117_aligned.csv,11.6000692621476
118,751824187464,750.5625,750,1745,-70.42,700,0.7,150,01_raw_frames\frame_0118.csv,02_lde_aligned\frame_0118_aligned.csv,11.700069828726
