taps_from_fp,excess_path_m,reflector_off_m,amplitude_norm_mean,amplitude_norm_sd,n_frames
-50,-15.014,NaN,0.235540024399997,0.109981617341509,5
-49.5,-14.86386,NaN,0.267817024399997,0.141983606748161,5
-49,-14.71372,NaN,0.284185640999999,0.123936708744951,5
-48.5,-14.56358,NaN,0.283426640999999,0.134162318860885,5
-48,-14.41344,NaN,0.292953396799998,0.162586147157749,5
-47.5,-14.2633,NaN,0.324700396799998,0.160145390355615,5
-47,-14.11316,NaN,0.352712654399998,0.13975244628307,5
-46.5,-13.96302,NaN,0.401643654399998,0.0916961478263692,5
-46,-13.81288,NaN,0.551805650599985,0.123791435003991,5
-45.5,-13.66274,NaN,0.793708650599985,0.137783114420507,5
-45,-13.5126,NaN,0.953529930399997,0.144312681868865,5
-44.5,-13.36246,NaN,0.997822930399997,0.140866162370088,5
-44,-13.21232,NaN,0.927370496200012,0.145849930483181,5
-43.5,-13.06218,NaN,0.733231496200012,0.145608352686477,5
-43,-12.91204,NaN,0.495072292400011,0.133174140657533,5
-42.5,-12.7619,NaN,0.294500292400011,0.0668620517227687,5
-42,-12.61176,NaN,0.258568853199995,0.0835346222993456,5
-41.5,-12.46162,NaN,0.351892853199995,0.120744675818344,5
-41,-12.31148,NaN,0.382389169000005,0.165272919512285,5
-40.5,-12.16134,NaN,0.315847169000005,0.138912750210019,5
-40,-12.0112,NaN,0.236802942200004,0.0828427430538775,5
-39.5,-11.86106,NaN,0.167755942200004,0.0420966647155806,5
-39,-11.71092,NaN,0.190141863799992,0.0450665394378581,5
-38.5,-11.56078,NaN,0.281806863799992,0.111712988644484,5
-38,-11.41064,NaN,0.314032789400001,0.111515049654753,5
-37.5,-11.2605,NaN,0.308335789400001,0.102327060781858,5
-37,-11.11036,NaN,0.261304742600005,0.0818490344302585,5
-36.5,-10.96022,NaN,0.173701742600005,0.0686140567738682,5
-36,-10.81008,NaN,0.22823301959999,0.118111986327547,5
-35.5,-10.65994,NaN,0.40053901959999,0.14767894616708,5
-35,-10.5098,NaN,0.494659008599997,0.14670959132356,5
-34.5,-10.35966,NaN,0.525725008599997,0.180741536383891,5
-34,-10.20952,NaN,0.485023124400006,0.176646772762061,5
-33.5,-10.05938,NaN,0.386961124400006,0.172937179991531,5
-33,-9.90924,NaN,0.305381076400005,0.12937086484177,5
-32.5,-9.7591,NaN,0.260576076400005,0.0644610158823635,5
-32,-9.60896,NaN,0.413985816799978,0.109625950698947,5
-31.5,-9.45882,NaN,0.761217816799978,0.173064908278806,5
-31,-9.30868,NaN,1.03958968079999,0.263284868788746,5
-30.5,-9.15854,NaN,1.21333368079999,0.265666606505464,5
-30,-9.0084,NaN,1.2794743898,0.259257015928344,5
-29.5,-8.85826,NaN,1.2132483898,0.172434032388497,5
-29,-8.70812,NaN,1.1284176724,0.119388195256656,5
-28.5,-8.55798,NaN,1.0506776724,0.104418270347441,5
-28,-8.40784,NaN,1.0050747862,0.112025025392792,5
-27.5,-8.2577,NaN,1.0009367862,0.14324271840295,5
-27,-8.10756,NaN,0.957069329400006,0.163026777625391,5
-26.5,-7.95742,NaN,0.866990329400007,0.174132985098967,5
-26,-7.80728,NaN,0.723360700000012,0.159597518201869,5
-25.5,-7.65714,NaN,0.557905700000012,0.156116926939168,5
-25,-7.507,NaN,0.471706472999999,0.0799157855170156,5
-24.5,-7.35686,NaN,0.446187472999999,0.071331588910709,5
-24,-7.20672,NaN,0.423942076200005,0.0825331739901334,5
-23.5,-7.05658,NaN,0.395880076200005,0.0805934621540948,5
-23,-6.90644,NaN,0.47022165799999,0.0928622390511231,5
-22.5,-6.7563,NaN,0.60142765799999,0.201443852042522,5
-22,-6.60616,NaN,0.53630145720001,0.184964671917877,5
-21.5,-6.45602,NaN,0.36080445720001,0.108803955508419,5
-21,-6.30588,NaN,0.279150216400002,0.089378685600258,5
-20.5,-6.15574,NaN,0.263154216400002,0.0723133880409113,5
-20,-6.0056,NaN,0.2535381898,0.0656342876959296,5
-19.5,-5.85546,NaN,0.2378871898,0.0734025310563882,5
-19,-5.70532,NaN,0.213761615800001,0.0676929915532994,5
-18.5,-5.55518,NaN,0.192096615800001,0.0468438828026665,5
-18,-5.40504,NaN,0.185983750600001,0.0440267676166247,5
-17.5,-5.2549,NaN,0.179997750600001,0.0461852799609323,5
-17,-5.10476,NaN,0.162880872200001,0.0503125139857386,5
-16.5,-4.95462,NaN,0.147092872200001,0.0507000201176647,5
-16,-4.80448,NaN,0.164415107399998,0.0520394603129037,5
-15.5,-4.65434,NaN,0.205102107399998,0.0741348537551421,5
-15,-4.5042,NaN,0.279371786999991,0.0712706067590962,5
-14.5,-4.35406,NaN,0.372595786999991,0.10706288774814,5
-14,-4.20392,NaN,0.415279676400002,0.104592042236323,5
-13.5,-4.05378,NaN,0.414369676400002,0.122628808099828,5
-13,-3.90364,NaN,0.385901724800002,0.149727413544829,5
-12.5,-3.7535,NaN,0.374522724800002,0.1273692649896,5
-12,-3.60336,NaN,0.354117007400003,0.0818306176871549,5
-11.5,-3.45322,NaN,0.285380007400003,0.0394021815853254,5
-11,-3.30308,NaN,0.219856714800002,0.0435269767650961,5
-10.5,-3.15294,NaN,0.179810714800002,0.0560672756206419,5
-10,-3.0028,NaN,0.207621569399995,0.0555681141013335,5
-9.5,-2.85266,NaN,0.277842569399995,0.0591843046835276,5
-9,-2.70252,NaN,0.3042451852,0.0626709232500093,5
-8.5,-2.55238,NaN,0.2888251852,0.0777236260368649,5
-8,-2.40224,NaN,0.253513373800003,0.0727199739906461,5
-7.5,-2.2521,NaN,0.209755373800003,0.0651163460280803,5
