FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,START,tag_anchor_dist_m,n_samples,raw_csv,aligned_csv
1,27361816533,750.6719,750,864,-56.8,730,0.6,200,01_raw_frames\frame_0001.csv,02_lde_aligned\frame_0001_aligned.csv
2,136052172389,754.2969,754,870,-56.76,734,0.6,200,01_raw_frames\frame_0002.csv,02_lde_aligned\frame_0002_aligned.csv
3,244742445726,747.4375,747,975,-57.35,727,0.6,200,01_raw_frames\frame_0003.csv,02_lde_aligned\frame_0003_aligned.csv
4,353432774598,752.4375,752,882,-56.85,732,0.6,200,01_raw_frames\frame_0004.csv,02_lde_aligned\frame_0004_aligned.csv
5,462123022655,751.2031,751,858,-57.09,731,0.6,200,01_raw_frames\frame_0005.csv,02_lde_aligned\frame_0005_aligned.csv
6,570813201166,749.6875,749,906,-57.29,729,0.6,200,01_raw_frames\frame_0006.csv,02_lde_aligned\frame_0006_aligned.csv
7,679503376216,751.3437,751,861,-56.8,731,0.6,200,01_raw_frames\frame_0007.csv,02_lde_aligned\frame_0007_aligned.csv
8,788193697879,747.8281,747,857,-56.82,727,0.6,200,01_raw_frames\frame_0008.csv,02_lde_aligned\frame_0008_aligned.csv
9,896883840301,750.7969,750,935,-56.63,730,0.6,200,01_raw_frames\frame_0009.csv,02_lde_aligned\frame_0009_aligned.csv
10,1005574090199,754.2031,754,879,-56.38,734,0.6,200,01_raw_frames\frame_0010.csv,02_lde_aligned\frame_0010_aligned.csv
11,14752585651,753.2656,753,1009,-57.97,733,0.6,200,01_raw_frames\frame_0011.csv,02_lde_aligned\frame_0011_aligned.csv
12,123442757217,748.4844,748,1026,-59.17,728,0.6,200,01_raw_frames\frame_0012.csv,02_lde_aligned\frame_0012_aligned.csv
13,232132916642,753.75,753,847,-58.01,733,0.6,200,01_raw_frames\frame_0013.csv,02_lde_aligned\frame_0013_aligned.csv
14,340823131156,747.7812,747,907,-57.18,727,0.6,200,01_raw_frames\frame_0014.csv,02_lde_aligned\frame_0014_aligned.csv
15,449513225603,754.0156,754,931,-56.53,734,0.6,200,01_raw_frames\frame_0015.csv,02_lde_aligned\frame_0015_aligned.csv
16,558203414499,746.3906,746,901,-56.35,726,0.6,200,01_raw_frames\frame_0016.csv,02_lde_aligned\frame_0016_aligned.csv
17,666893487322,750.875,750,894,-56.86,730,0.6,200,01_raw_frames\frame_0017.csv,02_lde_aligned\frame_0017_aligned.csv
18,775583607271,747.8281,747,966,-57.14,727,0.6,200,01_raw_frames\frame_0018.csv,02_lde_aligned\frame_0018_aligned.csv
