FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,START,tag_anchor_dist_m,n_samples,raw_csv,aligned_csv,elapsed_s
1,3152964602,749.875,749,1076,-67.3,699,0.7,150,01_raw_frames\frame_0001.csv,02_lde_aligned\frame_0001_aligned.csv,0
2,9542764398,747.0781,747,1253,-71.63,697,0.7,150,01_raw_frames\frame_0002.csv,02_lde_aligned\frame_0002_aligned.csv,0.100000622808994
3,15932564511,750.2187,750,1058,-67.77,700,0.7,150,01_raw_frames\frame_0003.csv,02_lde_aligned\frame_0003_aligned.csv,0.200001250579051
4,22322305827,754.8906,754,944,-62.68,704,0.7,150,01_raw_frames\frame_0004.csv,02_lde_aligned\frame_0004_aligned.csv,0.300000958173703
5,28712163863,750.9062,750,1116,-69.71,700,0.7,150,01_raw_frames\frame_0005.csv,02_lde_aligned\frame_0005_aligned.csv,0.400002492441031
6,35101963434,752.75,752,1092,-67.31,702,0.7,150,01_raw_frames\frame_0006.csv,02_lde_aligned\frame_0006_aligned.csv,0.500003111728766
7,41491763496,746.0156,746,1312,-72.82,696,0.7,150,01_raw_frames\frame_0007.csv,02_lde_aligned\frame_0007_aligned.csv,0.600003738700671
8,47881563065,749.2031,749,1438,-79.54,699,0.7,150,01_raw_frames\frame_0008.csv,02_lde_aligned\frame_0008_aligned.csv,0.700004357957106
9,54271304088,747.5469,747,1140,-69.64,697,0.7,150,01_raw_frames\frame_0009.csv,02_lde_aligned\frame_0009_aligned.csv,0.800004060966296
10,60661161942,748.8281,748,1045,-67.48,698,0.7,150,01_raw_frames\frame_0010.csv,02_lde_aligned\frame_0010_aligned.csv,0.900005592385317
11,67050961828,747.9062,747,1075,-67.1,697,0.7,150,01_raw_frames\frame_0011.csv,02_lde_aligned\frame_0011_aligned.csv,1.00000621660281
12,73440761190,747.5781,747,1191,-71.73,697,0.7,150,01_raw_frames\frame_0012.csv,02_lde_aligned\frame_0012_aligned.csv,1.10000683261969
13,79830502023,751.8437,751,1069,-67.64,701,0.7,150,01_raw_frames\frame_0013.csv,02_lde_aligned\frame_0013_aligned.csv,1.20000653265537
14,86220359664,750.3281,750,1276,-71.02,700,0.7,150,01_raw_frames\frame_0014.csv,02_lde_aligned\frame_0014_aligned.csv,1.30000806074094
15,92610159365,754.1094,754,989,-64.77,704,0.7,150,01_raw_frames\frame_0015.csv,02_lde_aligned\frame_0015_aligned.csv,1.40000868206318
16,98999900138,748.9219,748,1357,-75.76,698,0.7,150,01_raw_frames\frame_0016.csv,02_lde_aligned\frame_0016_aligned.csv,1.50000838115986
17,105389757663,745.0625,745,1138,-70.53,695,0.7,150,01_raw_frames\frame_0017.csv,02_lde_aligned\frame_0017_aligned.csv,1.60000990743001
18,111779557196,746.8281,746,1139,-68.52,696,0.7,150,01_raw_frames\frame_0018.csv,02_lde_aligned\frame_0018_aligned.csv,1.70001052612305
19,118169297916,749.6719,749,1254,-72.02,699,0.7,150,01_raw_frames\frame_0019.csv,02_lde_aligned\frame_0019_aligned.csv,1.80001022439027
20,124559155742,750,750,1047,-64.51,700,0.7,150,01_raw_frames\frame_0020.csv,02_lde_aligned\frame_0020_aligned.csv,1.90001175537109
21,130948954765,751.875,751,1210,-69.65,701,0.7,150,01_raw_frames\frame_0021.csv,02_lde_aligned\frame_0021_aligned.csv,2.00001236608261
22,137338753734,753.5625,753,1150,-71.09,703,0.7,150,01_raw_frames\frame_0022.csv,02_lde_aligned\frame_0022_aligned.csv,2.10001297594902
23,143728553080,751.5469,751,1125,-69.49,701,0.7,150,01_raw_frames\frame_0023.csv,02_lde_aligned\frame_0023_aligned.csv,2.20001359171549
24,150118351935,744.6875,744,1995,-90.22,694,0.7,150,01_raw_frames\frame_0024.csv,02_lde_aligned\frame_0024_aligned.csv,2.3000141997978
25,156508150842,752.2656,752,1692,-78.07,702,0.7,150,01_raw_frames\frame_0025.csv,02_lde_aligned\frame_0025_aligned.csv,2.40001480869391
26,162897950230,750.0156,750,1435,-76.56,700,0.7,150,01_raw_frames\frame_0026.csv,02_lde_aligned\frame_0026_aligned.csv,2.50001542511769
27,169287748997,747.5312,747,1089,-66.51,697,0.7,150,01_raw_frames\frame_0027.csv,02_lde_aligned\frame_0027_aligned.csv,2.60001603182279
28,175677489422,747.1562,747,2018,-88.57,697,0.7,150,01_raw_frames\frame_0028.csv,02_lde_aligned\frame_0028_aligned.csv,2.70001572547326
29,182067346515,750.8125,750,1311,-72.84,700,0.7,150,01_raw_frames\frame_0029.csv,02_lde_aligned\frame_0029_aligned.csv,2.8000172449826
30,188457145711,748.9375,748,1186,-70.98,698,0.7,150,01_raw_frames\frame_0030.csv,02_lde_aligned\frame_0030_aligned.csv,2.90001785840157
31,194846886064,744.4687,744,1264,-74.86,694,0.7,150,01_raw_frames\frame_0031.csv,02_lde_aligned\frame_0031_aligned.csv,3.00001755092523
32,201236742992,747.7812,747,1510,-79.17,697,0.7,150,01_raw_frames\frame_0032.csv,02_lde_aligned\frame_0032_aligned.csv,3.10001906785231
33,207626542110,751.5156,751,1740,-79.26,701,0.7,150,01_raw_frames\frame_0033.csv,02_lde_aligned\frame_0033_aligned.csv,3.20001968005058
34,214016340680,745.6406,745,1573,-78.85,695,0.7,150,01_raw_frames\frame_0034.csv,02_lde_aligned\frame_0034_aligned.csv,3.30002028367263
35,220406139257,747.9375,747,1100,-65.29,697,0.7,150,01_raw_frames\frame_0035.csv,02_lde_aligned\frame_0035_aligned.csv,3.40002088740422
36,226795938339,750.6719,750,1104,-68.15,700,0.7,150,01_raw_frames\frame_0036.csv,02_lde_aligned\frame_0036_aligned.csv,3.50002149903909
37,233185736774,752.3437,752,1221,-72.33,702,0.7,150,01_raw_frames\frame_0037.csv,02_lde_aligned\frame_0037_aligned.csv,3.60002210054838
38,239575476872,752.8125,752,1117,-70.3,702,0.7,150,01_raw_frames\frame_0038.csv,02_lde_aligned\frame_0038_aligned.csv,3.70002178908128
39,245965333650,752.9062,752,1460,-78.52,702,0.7,150,01_raw_frames\frame_0039.csv,02_lde_aligned\frame_0039_aligned.csv,3.80002330366086
40,252355132568,752.3906,752,1073,-68.38,702,0.7,150,01_raw_frames\frame_0040.csv,02_lde_aligned\frame_0040_aligned.csv,3.90002391272912
41,258744872553,752.2344,752,1041,-66.97,702,0.7,150,01_raw_frames\frame_0041.csv,02_lde_aligned\frame_0041_aligned.csv,4.00002359949356
42,265134729263,750.9375,750,1307,-74.57,700,0.7,150,01_raw_frames\frame_0042.csv,02_lde_aligned\frame_0042_aligned.csv,4.10002511300894
43,271524528136,750.0469,750,1135,-69.78,700,0.7,150,01_raw_frames\frame_0043.csv,02_lde_aligned\frame_0043_aligned.csv,4.20002572137295
44,277914267957,746.7969,746,1050,-67.26,696,0.7,150,01_raw_frames\frame_0044.csv,02_lde_aligned\frame_0044_aligned.csv,4.30002540557079
45,284304124562,753.0781,753,1078,-69.82,703,0.7,150,01_raw_frames\frame_0045.csv,02_lde_aligned\frame_0045_aligned.csv,4.40002691744291
46,290693923160,747.9531,747,1319,-74.5,697,0.7,150,01_raw_frames\frame_0046.csv,02_lde_aligned\frame_0046_aligned.csv,4.50002752150315
47,297083721383,747.7812,747,1405,-73.59,697,0.7,150,01_raw_frames\frame_0047.csv,02_lde_aligned\frame_0047_aligned.csv,4.60002811969464
48,303473520026,749.5156,749,2001,-92.97,699,0.7,150,01_raw_frames\frame_0048.csv,02_lde_aligned\frame_0048_aligned.csv,4.70002872445913
49,309863318063,751.9219,751,1617,-79.57,701,0.7,150,01_raw_frames\frame_0049.csv,02_lde_aligned\frame_0049_aligned.csv,4.80002931973971
50,316253116212,747.0625,747,1199,-72.1,697,0.7,150,01_raw_frames\frame_0050.csv,02_lde_aligned\frame_0050_aligned.csv,4.90002991677309
51,322642914741,748.8906,748,1368,-73.92,698,0.7,150,01_raw_frames\frame_0051.csv,02_lde_aligned\frame_0051_aligned.csv,5.00003051975348
52,329032654382,751.2344,751,1111,-68.67,701,0.7,150,01_raw_frames\frame_0052.csv,02_lde_aligned\frame_0052_aligned.csv,5.10003020113431
53,335422511237,752.1719,752,1305,-74.8,702,0.7,150,01_raw_frames\frame_0053.csv,02_lde_aligned\frame_0053_aligned.csv,5.20003171691895
54,341812309141,752.6406,752,1422,-73.96,702,0.7,150,01_raw_frames\frame_0054.csv,02_lde_aligned\frame_0054_aligned.csv,5.30003231011806
55,348202107047,745.4062,745,1663,-79.48,695,0.7,150,01_raw_frames\frame_0055.csv,02_lde_aligned\frame_0055_aligned.csv,5.40003290334848
56,354591905466,746.0156,746,2013,-96.87,696,0.7,150,01_raw_frames\frame_0056.csv,02_lde_aligned\frame_0056_aligned.csv,5.50003350460737
57,360981703333,746.3125,746,1105,-67.72,696,0.7,150,01_raw_frames\frame_0057.csv,02_lde_aligned\frame_0057_aligned.csv,5.60003409722744
58,367371501607,743.8906,743,1880,-81.57,693,0.7,150,01_raw_frames\frame_0058.csv,02_lde_aligned\frame_0058_aligned.csv,5.70003469621707
59,373761241115,751.8906,751,1005,-67.08,701,0.7,150,01_raw_frames\frame_0059.csv,02_lde_aligned\frame_0059_aligned.csv,5.80003437551645
60,380151097741,748.0937,748,1057,-63.15,698,0.7,150,01_raw_frames\frame_0060.csv,02_lde_aligned\frame_0060_aligned.csv,5.90003588771722
61,386540837143,746.75,746,1199,-68.4,696,0.7,150,01_raw_frames\frame_0061.csv,02_lde_aligned\frame_0061_aligned.csv,6.0000355653577
62,392930693779,752.3125,752,999,-63.69,702,0.7,150,01_raw_frames\frame_0062.csv,02_lde_aligned\frame_0062_aligned.csv,6.10003707771497
63,399320491473,749.0781,749,1524,-77.05,699,0.7,150,01_raw_frames\frame_0063.csv,02_lde_aligned\frame_0063_aligned.csv,6.20003766762758
64,405710289186,747.0156,747,2037,-95.21,697,0.7,150,01_raw_frames\frame_0064.csv,02_lde_aligned\frame_0064_aligned.csv,6.30003825783754
65,412100087307,750.7969,750,1185,-68.22,700,0.7,150,01_raw_frames\frame_0065.csv,02_lde_aligned\frame_0065_aligned.csv,6.40003885443272
66,418489884880,753.2656,753,1031,-63.03,703,0.7,150,01_raw_frames\frame_0066.csv,02_lde_aligned\frame_0066_aligned.csv,6.50003944245167
67,424879682972,745.9531,745,997,-63.29,695,0.7,150,01_raw_frames\frame_0067.csv,02_lde_aligned\frame_0067_aligned.csv,6.600040038593
68,431269480560,751.0469,751,977,-65.45,701,0.7,150,01_raw_frames\frame_0068.csv,02_lde_aligned\frame_0068_aligned.csv,6.7000406268467
69,437659278513,753.1094,753,1013,-62.35,703,0.7,150,01_raw_frames\frame_0069.csv,02_lde_aligned\frame_0069_aligned.csv,6.80004122081268
70,444049075980,746.625,746,1106,-66.14,696,0.7,150,01_raw_frames\frame_0070.csv,02_lde_aligned\frame_0070_aligned.csv,6.90004180717273
71,450438873935,747.7812,747,1254,-73.82,697,0.7,150,01_raw_frames\frame_0071.csv,02_lde_aligned\frame_0071_aligned.csv,7.00004240117
72,456828671363,748.7187,748,1759,-81.78,698,0.7,150,01_raw_frames\frame_0072.csv,02_lde_aligned\frame_0072_aligned.csv,7.1000429869197
73,463218469297,748.2812,748,1034,-63.24,698,0.7,150,01_raw_frames\frame_0073.csv,02_lde_aligned\frame_0073_aligned.csv,7.20004358058832
74,469608266701,750.625,750,1158,-69.76,700,0.7,150,01_raw_frames\frame_0074.csv,02_lde_aligned\frame_0074_aligned.csv,7.30004416596242
