sample,real,imag,amplitude,amplitude_norm
697,64,99,117.89,0.12475
698,20,11,22.83,0.02415
699,39,64,74.95,0.07931
700,26,93,96.57,0.10219
701,36,108,113.84,0.12047
702,-14,96,97.02,0.10266
703,2,1,2.24,0.00237
704,24,-10,26,0.02751
705,24,44,50.12,0.05304
706,82,84,117.39,0.12422
707,92,11,92.66,0.09805
708,116,16,117.1,0.12391
709,66,82,105.26,0.11139
710,48,163,169.92,0.17981
711,82,148,169.2,0.17905
712,28,89,93.3,0.09873
713,58,96,112.16,0.11869
714,109,103,149.97,0.15869
715,177,100,203.3,0.21513
716,305,-94,319.16,0.33773
717,189,-251,314.2,0.33249
718,-124,-117,170.48,0.18041
719,-333,137,360.08,0.38104
720,-308,327,449.21,0.47536
721,-213,480,525.14,0.5557
722,11,441,441.14,0.46681
723,213,473,518.75,0.54894
724,108,319,336.79,0.35639
725,80,152,171.77,0.18176
726,128,58,140.53,0.14871
727,200,115,230.71,0.24413
728,95,93,132.94,0.14068
729,82,38,90.38,0.09564
730,38,27,46.62,0.04933
731,11,30,31.95,0.03381
732,30,68,74.32,0.07865
733,75,67,100.57,0.10642
734,160,-1,160,0.16932
735,114,48,123.69,0.13089
736,156,52,164.44,0.17401
737,81,40,90.34,0.0956
738,153,59,163.98,0.17353
739,109,79,134.62,0.14245
740,74,75,105.36,0.11149
741,119,64,135.12,0.14298
742,133,58,145.1,0.15354
743,100,36,106.28,0.11247
744,98,78,125.25,0.13254
745,204,140,247.42,0.26182
746,625,278,684.04,0.72385
747,3336,1796,3788.73,4.00924
748,9069,4415,10086.57,10.67362
749,12924,2000,13077.83,13.83898
750,9488,-9051,13112.69,13.87587
751,164,-16411,16411.82,17.36701
752,-7152,-15935,17466.41,18.48297
753,-13031,-10451,16704.2,17.6764
754,-15766,-116,15766.43,16.68405
755,-12913,6029,14251.12,15.08055
756,-6801,3366,7588.38,8.03004
757,-386,-182,426.76,0.45159
758,2156,1081,2411.82,2.5522
759,3482,4408,5617.36,5.9443
760,3481,3423,4882.04,5.16618
761,2359,963,2547.99,2.69629
762,1379,151,1387.24,1.46798
763,857,272,899.13,0.95146
764,1073,293,1112.29,1.17702
765,1346,381,1398.88,1.4803
766,890,1148,1452.59,1.53713
767,355,1890,1923.05,2.03497
768,568,1658,1752.59,1.8546
769,975,614,1152.22,1.21929
770,759,77,762.9,0.8073
771,235,462,518.33,0.5485
772,-66,935,937.33,0.99188
773,-32,940,940.54,0.99529
774,88,628,634.14,0.67104
775,116,351,369.67,0.39119
776,75,576,580.86,0.61467
777,123,1085,1091.95,1.1555
778,195,1414,1427.38,1.51046
779,503,1353,1443.47,1.52749
780,695,807,1065.02,1.12701
781,554,502,747.61,0.79112
782,343,491,598.94,0.6338
783,11,519,519.12,0.54933
784,-113,573,584.04,0.61803
785,-52,825,826.64,0.87475
786,237,1049,1075.44,1.13803
787,408,886,975.43,1.0322
788,243,634,678.97,0.71849
789,166,426,457.2,0.48381
790,237,550,598.89,0.63375
791,349,660,746.59,0.79005
792,316,647,720.05,0.76195
793,323,490,586.88,0.62104
794,311,447,544.55,0.57624
795,268,418,496.54,0.52543
796,301,473,560.65,0.59328
797,306,467,558.32,0.59082
798,334,566,657.2,0.69545
799,250,628,675.93,0.71527
800,106,579,588.62,0.62288
801,107,556,566.2,0.59916
802,52,527,529.56,0.56038
803,64,534,537.82,0.56912
804,168,485,513.27,0.54315
805,188,430,469.3,0.49662
806,286,416,504.83,0.53421
807,364,375,522.61,0.55303
808,347,369,506.53,0.53601
809,304,488,574.94,0.60841
810,353,453,574.3,0.60772
811,342,475,585.31,0.61938
812,323,522,613.85,0.64958
813,278,556,621.63,0.65781
814,377,482,611.93,0.64754
815,365,376,524.02,0.55452
816,336,326,468.16,0.49541
817,252,319,406.53,0.43019
818,230,301,378.82,0.40086
819,211,382,436.4,0.4618
820,228,410,469.13,0.49644
821,229,420,478.37,0.50622
822,223,436,489.72,0.51822
823,161,447,475.11,0.50276
824,194,458,497.39,0.52634
825,211,408,459.33,0.48606
826,191,370,416.39,0.44062
827,198,328,383.13,0.40543
828,217,319,385.81,0.40827
829,180,393,432.26,0.45742
830,200,487,526.47,0.55711
831,191,470,507.33,0.53685
832,194,395,440.07,0.46568
833,187,353,399.47,0.42272
834,206,337,394.97,0.41796
835,217,343,405.88,0.4295
836,228,267,351.1,0.37154
837,151,198,249.01,0.2635
838,184,284,338.4,0.35809
839,200,303,363.06,0.38419
840,218,234,319.81,0.33843
841,236,266,355.6,0.3763
842,226,258,342.99,0.36295
843,290,259,388.82,0.41145
844,270,261,375.53,0.39738
845,275,220,352.17,0.37267
846,224,220,313.97,0.33224
