sample,real,imag,magnitude
0,0,-22360,22360
1,-22360,-22360,31621.81
2,-22360,-22360,31621.81
3,-88,19532,19532.2
4,19532,19532,27622.42
5,19532,19532,27622.42
6,19532,76,19532.15
7,24415,24415,34528.02
8,24415,24415,34528.02
9,24415,1,24415
10,0,0,0
11,0,0,0
12,0,0,0
13,163,0,163
14,0,0,0
15,0,256,256
16,5140,5140,7269.06
17,5140,5140,7269.06
18,5140,5140,7269.06
19,-236,30583,30583.91
20,30583,30583,43250.89
21,30583,30583,43250.89
22,184,0,184
23,0,0,0
24,0,0,0
25,0,197,197
26,0,0,0
27,0,0,0
28,0,68,68
29,0,0,0
30,0,0,0
31,0,-1029,1029
32,-1029,-1029,1455.23
33,-1029,-1029,1455.23
34,-1029,251,1059.17
35,-1286,-1286,1818.68
36,-1286,-1286,1818.68
37,-1286,69,1287.85
38,0,0,0
39,0,0,0
40,0,0,0
41,107,0,107
42,0,0,0
43,0,0,0
44,5140,5140,7269.06
45,5140,5140,7269.06
46,5140,5140,7269.06
47,20,1028,1028.19
48,1028,1028,1453.81
49,1028,1028,1453.81
50,103,0,103
51,0,0,0
52,0,0,0
53,0,0,0
54,0,91,91
55,0,0,0
56,0,0,0
57,0,0,0
58,37,0,37
59,0,0,0
60,0,0,0
61,-29042,-29042,41071.59
62,-29042,-29042,41071.59
63,-29042,-29042,41071.59
64,21331,21331,30166.59
65,21331,115,21331.31
66,0,0,0
67,0,0,0
68,-256,32382,32383.01
69,32382,32382,45795.06
70,32382,32382,45795.06
71,32382,126,32382.24
72,-21846,-21846,30894.91
73,-21846,-21846,30894.91
74,-21846,116,21846.31
75,0,0,0
76,0,0,0
77,0,0,0
78,-373,-258,453.53
79,-258,-258,364.87
80,-258,-2,258.01
81,5397,5397,7632.51
82,5397,5397,7632.51
83,5397,5397,7632.51
84,277,-4627,4635.28
85,-4627,-4627,6543.57
86,-4627,-4627,6543.57
87,-28,-1,28.02
88,-1,-1,1.41
89,-1,-1,1.41
90,-1,156,156
91,0,0,0
92,0,0,0
93,0,-5141,5141
94,-5141,-5141,7270.47
95,-5141,-5141,7270.47
96,-5141,235,5146.37
97,1028,1028,1453.81
98,1028,1028,1453.81
99,1028,137,1037.09
100,0,0,0
101,0,0,0
102,0,0,0
103,90,0,90
104,0,0,0
105,0,0,0
106,14649,14649,20716.81
107,14649,14649,20716.81
108,14649,14649,20716.81
109,-199,3598,3603.5
110,3598,3598,5088.34
111,3598,3598,5088.34
112,366,257,447.22
113,257,257,363.45
114,257,257,363.45
115,257,13,257.33
116,0,0,0
117,0,0,0
118,-256,5911,5916.54
119,5911,5911,8359.42
120,5911,5911,8359.42
121,5911,23,5911.04
122,26728,26728,37799.1
123,26728,26728,37799.1
124,26728,138,26728.36
125,0,0,0
126,0,0,0
127,0,0,0
128,514,514,726.91
129,514,225,561.09
130,0,0,0
131,0,0,0
132,0,0,0
133,38,0,38
134,0,0,0
135,0,0,0
136,-21589,-21589,30531.46
137,-21589,-21589,30531.46
138,-21589,-21589,30531.46
139,427,1028,1113.15
140,1028,1028,1453.81
141,1028,1028,1453.81
142,314,257,405.76
143,257,257,363.45
144,257,257,363.45
145,257,672,719.47
146,514,514,726.91
147,514,514,726.91
148,-766,-16192,16210.11
149,-16192,-16192,22898.95
150,-16192,-16192,22898.95
151,-16192,192,16193.14
152,12850,12850,18172.64
153,12850,12850,18172.64
154,12850,230,12852.06
155,0,0,0
156,0,0,0
157,0,0,0
158,72,0,72
159,0,0,0
160,0,-256,256
161,-14907,-14907,21081.68
162,-14907,-14907,21081.68
163,-14907,-14907,21081.68
164,197,-2828,2834.85
165,-2828,-2828,3999.4
166,-2828,-2828,3999.4
167,130,0,130
168,0,0,0
169,0,0,0
170,0,72,72
171,0,0,0
172,0,0,0
173,-1280,21845,21882.47
174,21845,21845,30893.5
175,21845,21845,30893.5
176,21845,-427,21849.17
177,22873,22873,32347.31
178,22873,22873,32347.31
179,22873,-374,22876.06
180,-258,-258,364.87
181,-258,-258,364.87
182,-258,-258,364.87
183,-133,-1,133
184,-1,-1,1.41
185,-1,-1,1.41
186,5654,5654,7995.96
187,5654,5654,7995.96
188,5654,5654,7995.96
189,-234,-22360,22361.22
190,-22360,-22360,31621.81
191,-22360,-22360,31621.81
192,30326,-18248,35392.88
193,-18248,-20304,27299.12
194,-20304,-20304,28714.19
195,-20304,-20304,28714.19
196,-20304,432,20308.6
197,22359,22359,31620.4
198,22359,22359,31620.4
199,22359,6,22359
