sample,real,imag,amplitude,amplitude_norm
916,280,144,314.86,0.32969
917,188,-122,224.12,0.23468
918,144,-271,306.88,0.32134
919,-97,-4,97.08,0.10166
920,3,-115,115.04,0.12046
921,-159,12,159.45,0.16697
922,-308,-123,331.65,0.34728
923,-238,-36,240.71,0.25205
924,72,17,73.98,0.07747
925,111,-64,128.13,0.13417
926,-54,-245,250.88,0.2627
927,36,-442,443.46,0.46436
928,131,-267,297.41,0.31142
929,95,-138,167.54,0.17543
930,-110,-26,113.03,0.11836
931,-279,-107,298.81,0.31289
