sample,real,imag,amplitude,amplitude_norm
731,88,264,278.28,0.25862
732,-27,73,77.83,0.07234
733,-41,12,42.72,0.0397
734,15,68,69.63,0.06472
735,-33,128,132.19,0.12285
736,-2,16,16.12,0.01499
737,78,104,130,0.12082
738,116,93,148.68,0.13818
739,83,41,92.57,0.08604
740,-5,-64,64.2,0.05966
741,41,55,68.6,0.06375
742,8,142,142.23,0.13218
743,103,151,182.78,0.16987
744,157,54,166.03,0.1543
745,185,70,197.8,0.18383
746,170,88,191.43,0.17791
747,40,75,85,0.079
748,139,94,167.8,0.15595
749,154,27,156.35,0.14531
750,218,252,333.21,0.30967
751,1359,2302,2673.22,2.4844
752,6936,9007,11368.12,10.56517
753,13275,13053,18617.37,17.30239
754,16405,9209,18813.02,17.48422
755,11827,-3076,12220.46,11.35731
756,-1462,-12430,12515.68,11.63168
757,-6932,-7054,9889.97,9.19142
758,148,2539,2543.31,2.36367
759,7546,3380,8268.4,7.68439
760,4423,-1276,4603.38,4.27823
761,-4696,-1764,5016.38,4.66207
762,-8841,729,8871,8.24443
763,-3604,438,3630.52,3.37409
764,1497,-1977,2479.83,2.30467
765,888,-2903,3035.78,2.82136
766,-2015,-2668,3343.42,3.10727
767,-1443,-3498,3783.95,3.51668
768,1133,-4454,4595.85,4.27123
769,674,-2710,2792.56,2.59531
770,-1131,55,1132.34,1.05236
771,-101,666,673.61,0.62604
772,2161,-1423,2587.44,2.40468
773,1438,-3149,3461.8,3.21728
774,-1906,-1886,2681.39,2.49199
775,-3442,1168,3634.77,3.37804
776,-1762,3196,3649.53,3.39176
777,378,2398,2427.61,2.25614
778,804,430,911.77,0.84737
779,498,-299,580.87,0.53984
780,951,536,1091.65,1.01454
781,1343,1615,2100.45,1.95209
782,639,1617,1738.68,1.61587
783,-618,524,810.25,0.75302
784,-900,-861,1245.52,1.15755
785,16,-1062,1062.12,0.9871
786,338,-659,740.62,0.68831
787,-205,322,381.72,0.35476
788,-1057,1111,1533.48,1.42517
789,-1268,869,1537.2,1.42862
790,-918,162,932.18,0.86634
791,-567,-468,735.2,0.68327
792,-398,-342,524.76,0.48769
793,-601,108,610.63,0.5675
794,-963,673,1174.86,1.09188
795,-1216,733,1419.84,1.31955
796,-1327,389,1382.84,1.28517
797,-1338,221,1356.13,1.26034
798,-1225,378,1281.99,1.19144
799,-907,650,1115.86,1.03705
800,-480,346,591.71,0.54991
801,-99,-216,237.61,0.22082
802,33,-467,468.16,0.4351
803,-105,-409,422.26,0.39244
804,-302,-250,392.05,0.36436
805,-358,-14,358.27,0.33297
806,-22,119,121.02,0.11247
807,6,48,48.37,0.04496
808,-192,-8,192.17,0.17859
809,-521,-219,565.16,0.52524
810,-652,-325,728.51,0.67706
811,-419,-143,442.73,0.41146
812,-332,46,335.17,0.3115
813,-233,-148,276.03,0.25653
814,-106,-228,251.44,0.23368
815,-275,-202,341.22,0.31712
816,-601,228,642.79,0.59739
817,-713,812,1080.61,1.00428
818,-405,1125,1195.68,1.11123
819,100,674,681.38,0.63325
820,301,-303,427.09,0.39693
821,-233,-648,688.62,0.63998
822,-652,-59,654.66,0.60842
823,-655,490,818,0.76022
824,-408,284,497.11,0.462
825,-522,-306,605.08,0.56234
826,-665,-523,846.02,0.78627
827,-546,-198,580.79,0.53977
828,-313,27,314.16,0.29197
829,-285,-65,292.32,0.27167
830,-328,-324,461.04,0.42848
831,-285,-320,428.51,0.39825
832,-68,-203,214.09,0.19897
833,-7,-94,94.26,0.0876
834,-299,-151,334.97,0.31131
835,-459,28,459.85,0.42737
836,-349,135,374.2,0.34777
837,-81,-70,107.06,0.09949
838,-146,-203,250.05,0.23239
839,-424,-88,433.04,0.40245
840,-430,62,434.45,0.40376
841,-227,30,228.97,0.2128
842,-104,34,109.42,0.10169
843,-182,-46,187.72,0.17446
844,-239,-56,245.47,0.22813
845,-329,65,335.36,0.31167
846,-335,88,346.37,0.3219
847,-519,114,531.37,0.49384
848,-968,503,1090.89,1.01383
849,-1046,1199,1591.14,1.47875
