sample,real,imag,magnitude
0,0,0,0
1,0,0,0
2,-47,-1,47.01
3,-1,-1,1.41
4,-1,-1,1.41
5,511,-21332,21338.12
6,-21332,-21332,30168
7,-21332,-21332,30168
8,172,7196,7198.06
9,7196,7196,10176.68
10,7196,7196,10176.68
11,7196,144,7197.44
12,0,0,0
13,0,0,0
14,0,227,227
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,-2314,-2314,3272.49
20,-2314,-2314,3272.49
21,246,19018,19019.59
22,19018,19018,26895.51
23,19018,19018,26895.51
24,74,-21075,21075.13
25,-21075,-21075,29804.55
26,-21075,-21075,29804.55
27,-21075,218,21076.13
28,0,0,0
29,0,0,0
30,0,102,102
31,0,0,0
32,0,0,0
33,0,0,0
34,21845,21845,30893.5
35,21845,21845,30893.5
36,21845,85,21845.17
37,-7711,-7711,10905
38,-7711,-7711,10905
39,-7711,-7711,10905
40,36,0,36
41,0,0,0
42,0,0,0
43,193,0,193
44,0,0,0
45,0,-17991,17991
46,-17991,-17991,25443.12
47,-17991,-17991,25443.12
48,-71,-515,519.87
49,-515,-515,728.32
50,-515,-515,728.32
51,-515,101,524.81
52,0,0,0
53,0,0,0
54,0,146,146
55,0,0,0
56,0,0,0
57,0,-256,256
58,6168,6168,8722.87
59,6168,6168,8722.87
60,6168,24,6168.05
61,26471,26471,37435.65
62,26471,26471,37435.65
63,26471,26471,37435.65
64,-258,-258,364.87
65,-2,17733,17733
66,17733,17733,25078.25
67,17733,17733,25078.25
68,69,18761,18761.13
69,18761,18761,26532.06
70,18761,18761,26532.06
71,18761,173,18761.8
72,0,0,0
73,0,0,0
74,0,181,181
75,0,0,0
76,0,0,0
77,0,0,0
78,-4113,-4113,5816.66
79,-4113,-4113,5816.66
80,-4113,239,4119.94
81,10280,10280,14538.12
82,10280,10280,14538.12
83,10280,10280,14538.12
84,-464,-258,530.9
85,-258,-258,364.87
86,-258,-258,364.87
87,670,514,844.45
88,514,514,726.91
89,514,514,726.91
90,2,23901,23901
91,23901,23901,33801.12
92,23901,23901,33801.12
93,93,14135,14135.31
94,14135,14135,19989.91
95,14135,14135,19989.91
96,14135,276,14137.69
97,257,257,363.45
98,257,257,363.45
99,257,1,257
100,0,0,0
101,0,0,0
102,0,256,256
103,29298,29298,41433.63
104,29298,29298,41433.63
105,29298,114,29298.22
106,-772,-772,1091.77
107,-772,-772,1091.77
108,-772,-772,1091.77
109,49,0,49
110,0,0,0
111,0,0,0
112,69,0,69
113,0,0,0
114,0,0,0
115,-256,-12080,12082.71
116,-12080,-12080,17083.7
117,-12080,-12080,17083.7
118,464,-17991,17996.98
119,-17991,-17991,25443.12
120,-17991,-17991,25443.12
121,-17991,50,17991.07
122,0,0,0
123,0,0,0
124,0,156,156
125,0,0,0
126,0,0,0
127,0,0,0
128,-772,-772,1091.77
129,-772,137,784.06
130,0,0,0
131,0,0,0
132,0,0,0
133,4883,4883,6905.6
134,4883,4883,6905.6
135,4883,19,4883.04
136,-28271,-28271,39981.23
137,-28271,-28271,39981.23
138,-28271,-28271,39981.23
139,145,0,145
140,0,0,0
141,0,0,0
142,135,0,135
143,0,0,0
144,0,0,0
145,0,-5912,5912
146,-5912,-5912,8360.83
147,-5912,-5912,8360.83
148,1000,29298,29315.06
149,29298,29298,41433.63
150,29298,29298,41433.63
151,29298,-654,29305.3
152,-515,-515,728.32
153,-515,-515,728.32
154,-515,155,537.82
155,0,0,0
156,0,0,0
157,0,0,0
158,25186,25186,35618.38
159,25186,25186,35618.38
160,25186,98,25186.19
161,24415,24415,34528.02
162,24415,24415,34528.02
163,24415,24415,34528.02
164,95,0,95
165,0,0,0
166,0,0,0
167,-10,-1,10.05
168,-1,-1,1.41
169,-1,-1,1.41
170,-1,-8482,8482
171,-8482,-8482,11995.36
172,-8482,-8482,11995.36
173,222,17219,17220.43
174,17219,17219,24351.34
175,17219,17219,24351.34
176,17219,67,17219.13
177,0,0,0
178,0,0,0
179,0,-790,790
180,-772,-772,1091.77
181,-772,-772,1091.77
182,-772,-772,1091.77
183,662,514,838.12
184,514,514,726.91
185,514,2,514
186,11822,11822,16718.83
187,11822,11822,16718.83
188,11822,11822,16718.83
189,58,-2057,2057.82
190,-2057,-2057,2909.04
191,-14907,-14907,21081.68
192,26214,397,26217.01
193,257,257,363.45
194,257,257,363.45
195,257,257,363.45
196,-15,-1,15.03
197,-1,-1,1.41
198,-1,-1,1.41
199,-8739,-8739,12358.81
