sample,real,imag,magnitude
0,0,0,0
1,0,0,0
2,0,6425,6425
3,6425,6425,9086.32
4,6425,6425,9086.32
5,25,-20047,20047.02
6,-20047,-20047,28350.74
7,-20047,-20047,28350.74
8,-20047,186,20047.86
9,0,0,0
10,0,0,0
11,0,241,241
12,0,0,0
13,0,0,0
14,0,-256,256
15,-30070,-30070,42525.4
16,-30070,-30070,42525.4
17,-6940,-6940,9814.64
18,-6940,-6940,9814.64
19,-6940,-6940,9814.64
20,-6940,-6940,9814.64
21,228,-26729,26729.97
22,-26729,-26729,37800.52
23,-26729,-26729,37800.52
24,-26729,209,26729.82
25,0,0,0
26,0,0,0
27,0,260,260
28,257,257,363.45
29,257,257,363.45
30,257,1,257
31,-18505,-18505,26170.02
32,-18505,-18505,26170.02
33,-18505,183,18505.9
34,14392,14392,20353.36
35,14392,14392,20353.36
36,14392,14392,20353.36
37,81,0,81
38,0,0,0
39,0,0,0
40,187,0,187
41,0,0,0
42,0,0,0
43,0,-16449,16449
44,-16449,-16449,23262.4
45,-16449,-216,16450.42
46,-1,-1,1.41
47,-1,-1,1.41
48,-1,103,103
49,0,0,0
50,0,0,0
51,0,0,0
52,9509,9509,13447.76
53,9509,9509,13447.76
54,9509,37,9509.07
55,22873,22873,32347.31
56,22873,22873,32347.31
57,22873,22873,32347.31
58,111,0,111
59,0,0,0
60,0,0,0
61,65,0,65
62,0,0,0
63,0,0,0
64,0,84,84
65,0,0,0
66,0,0,0
67,0,105,105
68,0,0,0
69,0,0,0
70,0,0,0
71,16962,16962,23987.89
72,16962,16962,23987.89
73,16962,66,16962.13
74,-8225,-8225,11631.91
75,-8225,-8225,11631.91
76,-8225,-8225,11631.91
77,-153,-1,153
78,-1,-1,1.41
79,-1,-1,1.41
80,221,0,221
81,0,0,0
82,0,0,0
83,256,-24416,24417.34
84,-24416,-24416,34529.44
85,-24416,-24416,34529.44
86,160,-24416,24416.52
87,-24416,-24416,34529.44
88,-24416,-24416,34529.44
89,-24416,-37,24416.03
90,-1,-1,1.41
91,-1,-1,1.41
92,-1,44,44.01
93,0,0,0
94,0,0,0
95,0,0,0
96,-11309,-11309,15993.34
97,-11309,-11309,15993.34
98,-11309,211,11310.97
99,32382,32382,45795.06
100,32382,32382,45795.06
101,32382,32382,45795.06
102,71,0,71
103,0,0,0
104,0,0,0
105,139,0,139
106,0,0,0
107,0,0,0
108,0,16191,16191
109,16191,16191,22897.53
110,16191,16191,22897.53
111,-193,27756,27756.67
112,27756,27756,39252.91
113,27756,27756,39252.91
114,27756,351,27758.22
115,257,257,363.45
116,257,257,363.45
117,257,338,424.61
118,257,257,363.45
119,257,257,363.45
120,257,1,257
121,15677,15677,22170.63
122,15677,15677,22170.63
123,15677,317,15680.21
124,-16706,-16706,23625.85
125,-16706,-16706,23625.85
126,-16706,-16706,23625.85
127,-42,-1,42.01
128,0,21331,21331
129,21331,21331,30166.59
130,21331,21331,30166.59
131,83,30326,30326.11
132,30326,30326,42887.44
133,30326,30326,42887.44
134,30326,69,30326.08
135,0,0,0
136,0,0,0
137,0,14,14
138,0,0,0
139,0,0,0
140,0,-256,256
141,-5655,-5655,7997.38
142,-5655,-5655,7997.38
143,-5655,-23,5655.05
144,-17734,-17734,25079.66
145,-17734,-17734,25079.66
146,-17734,-17734,25079.66
147,319,257,409.65
148,257,257,363.45
149,257,257,363.45
150,115,0,115
151,0,0,0
152,0,0,0
153,0,8481,8481
154,8481,8481,11993.95
155,8481,8481,11993.95
156,-479,-16449,16455.97
157,-16449,-16449,23262.4
158,-16449,-16449,23262.4
159,-16449,186,16450.05
160,0,0,0
161,0,0,0
162,0,169,169
163,0,0,0
164,0,0,0
165,0,0,0
166,-515,-515,728.32
167,-515,-515,728.32
168,-515,253,573.79
169,-8482,-8482,11995.36
170,-8482,-8482,11995.36
171,-8482,-8482,11995.36
172,-545,-515,749.83
173,-515,-515,728.32
174,-515,-515,728.32
175,-1672,-1543,2275.18
176,-1543,-1543,2182.13
177,-1543,-1543,2182.13
178,1017,4112,4235.9
179,4112,4112,5815.25
180,4112,4112,5815.25
181,-240,6682,6686.31
182,6682,6682,9449.78
183,6682,6682,9449.78
184,6682,-35,6682.09
185,-1,-1,1.41
186,-1,-1,1.41
187,-1,444,444
188,257,257,363.45
189,257,257,363.45
190,257,257,363.45
191,-144,-1,144
192,-32126,-32126,45433.02
193,130,19789,19789.43
194,19789,19789,27985.87
195,19789,19789,27985.87
196,19789,77,19789.15
197,0,0,0
198,0,0,0
199,0,337,337
