sample,real,imag,magnitude
0,0,0,0
1,0,0,0
2,0,0,0
3,0,233,233
4,0,0,0
5,0,0,0
6,0,1028,1028
7,1028,1028,1453.81
8,1028,1028,1453.81
9,1028,-252,1058.44
10,4626,4626,6542.15
11,4626,4626,6542.15
12,4626,247,4632.59
13,0,0,0
14,0,0,0
15,0,0,0
16,43,0,43
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,1542,1542
22,1542,1542,2180.72
23,1542,1542,2180.72
24,147,0,147
25,0,0,0
26,0,0,0
27,0,78,78
28,0,0,0
29,0,0,0
30,0,-32383,32383
31,-32383,-32383,45796.48
32,-32383,-32383,45796.48
33,-32383,129,32383.26
34,5911,5911,8359.42
35,5911,5911,8359.42
36,5911,60,5911.3
37,0,0,0
38,0,0,0
39,0,0,0
40,63,0,63
41,0,0,0
42,0,0,0
43,-9510,-9510,13449.17
44,-9510,-9510,13449.17
45,191,0,191
46,0,0,0
47,0,0,0
48,0,-48,48
49,-1,-1,1.41
50,-1,-1,1.41
51,255,19275,19276.69
52,19275,19275,27258.97
53,19275,19275,27258.97
54,19275,75,19275.15
55,-26986,-26986,38163.97
56,-26986,-26986,38163.97
57,-26986,80,26986.12
58,0,0,0
59,0,0,0
60,0,0,0
61,89,0,89
62,0,0,0
63,0,-256,256
64,0,0,0
65,0,0,0
66,0,0,0
67,0,85,85
68,0,0,0
69,0,0,0
70,0,-4884,4884
71,-4884,-4884,6907.02
72,-4884,-4884,6907.02
73,-4884,236,4889.7
74,32382,32382,45795.06
75,32382,32382,45795.06
76,32382,-559,32386.82
77,-515,-515,728.32
78,-515,-515,728.32
79,-515,-515,728.32
80,-97,-1,97.01
81,-1,-1,1.41
82,-1,-1,1.41
83,8481,8481,11993.95
84,8481,8481,11993.95
85,8481,8481,11993.95
86,33,2313,2313.24
87,2313,2313,3271.08
88,2313,2313,3271.08
89,-247,-1,247
90,-1,-1,1.41
91,-1,-1,1.41
92,-1,237,237
93,0,0,0
94,0,0,0
95,0,-5912,5912
96,-5912,-5912,8360.83
97,-5912,-5912,8360.83
98,-5912,232,5916.55
99,-27243,-27243,38527.42
100,-27243,-27243,38527.42
101,-27243,149,27243.41
102,0,0,0
103,0,0,0
104,0,0,0
105,70,0,70
106,0,0,0
107,0,0,0
108,-31098,-31098,43979.21
109,-31098,-31098,43979.21
110,-31098,-31098,43979.21
111,-122,17990,17990.41
112,17990,17990,25441.7
113,17990,17990,25441.7
114,70,0,70
115,0,0,0
116,0,0,0
117,0,-2,2
118,-1,-1,1.41
119,-1,-1,1.41
120,-1,11308,11308
121,11308,11308,15991.93
122,11308,11308,15991.93
123,11308,44,11308.09
124,28013,28013,39616.36
125,28013,28013,39616.36
126,28013,-147,28013.38
127,-1,-1,1.41
128,0,0,0
129,0,0,0
130,0,23130,23130
131,23130,23130,32710.76
132,23130,23130,32710.76
133,90,29041,29041.14
134,29041,29041,41070.18
135,29041,29041,41070.18
136,29041,179,29041.55
137,0,0,0
138,0,0,0
139,0,436,436
140,257,257,363.45
141,257,257,363.45
142,257,257,363.45
143,514,514,726.91
144,514,514,726.91
145,514,258,575.12
146,24672,24672,34891.48
147,24672,24672,34891.48
148,24672,24672,34891.48
149,42,0,42
150,0,0,0
151,0,0,0
152,138,0,138
153,0,0,0
154,0,0,0
155,0,29812,29812
156,29812,29812,42160.54
157,29812,29812,42160.54
158,-140,20560,20560.48
159,20560,20560,29076.23
160,20560,20560,29076.23
161,20560,8,20560
162,0,0,0
163,0,0,0
164,0,71,71
165,0,0,0
166,0,0,0
167,0,0,0
168,-26472,-26472,37437.06
169,-26472,-26472,37437.06
170,-26472,-104,26472.21
171,12593,12593,17809.19
172,12593,12593,17809.19
173,12593,12593,17809.19
174,167,0,167
175,0,0,0
176,0,0,0
177,-480,-258,544.94
178,-258,-258,364.87
179,-258,-258,364.87
180,-2,26471,26471
181,26471,26471,37435.65
182,26471,26471,37435.65
183,103,17476,17476.3
184,17476,17476,24714.79
185,17476,17476,24714.79
186,17476,-34,17476.03
187,-1,-1,1.41
188,-1,-1,1.41
189,-1,-1,1.41
190,-1,-1,1.41
191,-1,-1,1.41
192,0,0,0
193,0,0,0
194,32382,32382,45795.06
195,32382,32382,45795.06
196,32382,32382,45795.06
197,52,0,52
198,0,0,0
199,0,0,0
