sample,real,imag,magnitude
0,0,0,0
1,0,256,256
2,-20561,-20561,29077.64
3,-20561,-20561,29077.64
4,-20561,175,20561.74
5,19275,19275,27258.97
6,19275,19275,27258.97
7,19275,19275,27258.97
8,53,0,53
9,0,0,0
10,0,0,0
11,180,0,180
12,0,0,0
13,0,0,0
14,0,4369,4369
15,4369,4369,6178.7
16,4369,4369,6178.7
17,17,21845,21845.01
18,21845,-2828,22027.29
19,47,0,47
20,0,0,0
21,0,0,0
22,0,0,0
23,-10795,-10795,15266.44
24,-10795,-10795,15266.44
25,-10795,213,10797.1
26,-14650,-14650,20718.23
27,-14650,-14650,20718.23
28,-14650,-14650,20718.23
29,150,0,150
30,0,0,0
31,0,0,0
32,269,257,372.03
33,257,257,363.45
34,257,257,363.45
35,1,8224,8224
36,8224,8224,11630.49
37,8224,8224,11630.49
38,32,16191,16191.03
39,16191,16191,22897.53
40,16191,16191,22897.53
41,16191,200,16192.24
42,0,0,0
43,0,0,0
44,0,-19276,19276
45,-19276,-19276,27260.38
46,172,0,172
47,0,0,0
48,0,0,0
49,197,0,197
50,0,0,0
51,0,0,0
52,-256,-13108,13110.5
53,-13108,-13108,18537.51
54,-13108,-13108,18537.51
55,204,22873,22873.91
56,22873,22873,32347.31
57,22873,22873,32347.31
58,22873,-13,22873
59,-1,-1,1.41
60,-1,-1,1.41
61,-1,245,245
62,0,0,0
63,0,0,0
64,15163,15163,21443.72
65,74,0,74
66,0,0,0
67,0,0,0
68,121,0,121
69,0,0,0
70,0,0,0
71,0,10280,10280
72,10280,10280,14538.12
73,10280,10280,14538.12
74,40,-26472,26472.03
75,-26472,-26472,37437.06
76,-26472,-26472,37437.06
77,-26472,118,26472.26
78,0,0,0
79,0,0,0
80,0,971,971
81,771,771,1090.36
82,771,771,1090.36
83,771,-509,923.86
84,-23388,-23388,33075.62
85,-23388,-23388,33075.62
86,-23388,676,23397.77
87,-6940,-6940,9814.64
88,-6940,-6940,9814.64
89,-6940,-6940,9814.64
90,80,0,80
91,0,0,0
92,0,0,0
93,334,257,421.43
94,257,257,363.45
95,257,257,363.45
96,1,17990,17990
97,17990,17990,25441.7
98,17990,17990,25441.7
99,70,-31612,31612.08
100,-31612,-31612,44706.12
101,-31612,-31612,44706.12
102,-31612,254,31613.02
103,0,0,0
104,0,0,0
105,0,102,102
106,0,0,0
107,0,0,0
108,0,0,0
109,-19790,-19790,27987.29
110,-19790,-19790,27987.29
111,-19790,434,19794.76
112,-30584,-30584,43252.31
113,-30584,-30584,43252.31
114,-30584,-30584,43252.31
115,566,514,764.56
116,514,514,726.91
117,514,514,726.91
118,81,0,81
119,0,0,0
120,0,0,0
121,0,-7454,7454
122,-7454,-7454,10541.55
123,-7454,-7454,10541.55
124,482,3084,3121.44
125,3084,3084,4361.43
126,3084,3084,4361.43
127,3084,2,3084
128,0,0,0
129,0,0,0
130,0,190,190
131,0,0,0
132,0,0,0
133,0,2,2
134,0,0,0
135,0,0,0
136,0,0,0
137,-19276,-19276,27260.38
138,-19276,-19276,27260.38
139,-19276,180,19276.84
140,28527,28527,40343.27
141,28527,28527,40343.27
142,28527,28527,40343.27
143,1182,1028,1566.5
144,1028,1028,1453.81
145,1028,1028,1453.81
146,-555,-515,757.13
147,-515,-515,728.32
148,-515,-515,728.32
149,765,-31098,31107.41
150,-31098,-31098,43979.21
151,-31098,-31098,43979.21
152,134,26471,26471.34
153,26471,26471,37435.65
154,26471,26471,37435.65
155,26471,257,26472.25
156,257,257,363.45
157,257,257,363.45
158,257,93,273.31
159,0,0,0
160,0,0,0
161,0,0,0
162,20303,20303,28712.78
163,20303,20303,28712.78
164,20303,335,20305.76
165,-30070,-30070,42525.4
166,-30070,-30070,42525.4
167,-30070,-30070,42525.4
168,62,0,62
169,0,0,0
170,0,0,0
171,33,0,33
172,0,0,0
173,0,0,0
174,-512,18247,18254.18
175,18247,18247,25805.16
176,18247,18247,25805.16
177,-953,20303,20325.35
178,20303,20303,28712.78
179,20303,20303,28712.78
180,20303,667,20313.95
181,514,514,726.91
182,514,514,726.91
183,514,507,721.97
184,257,257,363.45
185,257,257,363.45
186,257,1,257
187,4883,4883,6905.6
188,4883,4883,6905.6
189,4883,4883,6905.6
190,-3856,-3856,5453.21
191,-3856,-3856,5453.21
192,8224,8224,11630.49
193,-224,16191,16192.55
194,16191,16191,22897.53
195,16191,16191,22897.53
196,16191,-68,16191.14
197,-1,-1,1.41
198,-1,-1,1.41
199,-1,181,181
