sample,real,imag,amplitude,amplitude_norm
915,7,-189,189.13,0.1922
916,458,-175,490.29,0.49827
917,423,111,437.32,0.44443
918,488,261,553.41,0.56241
919,629,284,690.14,0.70136
920,401,161,432.11,0.43914
921,278,-165,323.28,0.32854
922,331,-717,789.72,0.80256
923,389,-825,912.11,0.92694
924,423,8,423.08,0.42995
925,154,528,550,0.55894
926,268,37,270.54,0.27494
927,744,-100,750.69,0.7629
928,859,491,989.43,1.00551
929,487,964,1080.03,1.09759
930,156,929,942.01,0.95732
