FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,START,tag_anchor_dist_m,n_samples,raw_csv,aligned_csv
1,5552711392,752.7187,752,1024,-57.74,732,1,200,01_raw_frames\frame_0001.csv,02_lde_aligned\frame_0001_aligned.csv
2,11942516285,749.1719,749,964,-57.95,729,1,200,01_raw_frames\frame_0002.csv,02_lde_aligned\frame_0002_aligned.csv
3,18332315004,746.7812,746,957,-57.7,726,1,200,01_raw_frames\frame_0003.csv,02_lde_aligned\frame_0003_aligned.csv
4,24722119854,751.1875,751,911,-57.55,731,1,200,01_raw_frames\frame_0004.csv,02_lde_aligned\frame_0004_aligned.csv
5,31111918532,747.2812,747,955,-57.32,727,1,200,01_raw_frames\frame_0005.csv,02_lde_aligned\frame_0005_aligned.csv
6,37501655732,751.2812,751,990,-57.17,731,1,200,01_raw_frames\frame_0006.csv,02_lde_aligned\frame_0006_aligned.csv
7,43891522461,746.7969,746,1004,-57.22,726,1,200,01_raw_frames\frame_0007.csv,02_lde_aligned\frame_0007_aligned.csv
8,50281327194,749.75,749,1038,-57.7,729,1,200,01_raw_frames\frame_0008.csv,02_lde_aligned\frame_0008_aligned.csv
9,56671125793,753.2344,753,980,-57.71,733,1,200,01_raw_frames\frame_0009.csv,02_lde_aligned\frame_0009_aligned.csv
10,63060930471,746.9531,746,990,-58.21,726,1,200,01_raw_frames\frame_0010.csv,02_lde_aligned\frame_0010_aligned.csv
11,69450728985,749.8594,749,979,-57.56,729,1,200,01_raw_frames\frame_0011.csv,02_lde_aligned\frame_0011_aligned.csv
12,75840534193,750.4844,750,924,-56.88,730,1,200,01_raw_frames\frame_0012.csv,02_lde_aligned\frame_0012_aligned.csv
13,82230332689,752.4844,752,1035,-57.37,732,1,200,01_raw_frames\frame_0013.csv,02_lde_aligned\frame_0013_aligned.csv
14,88620137287,753.4531,753,904,-57.57,733,1,200,01_raw_frames\frame_0014.csv,02_lde_aligned\frame_0014_aligned.csv
15,95009935718,746.6875,746,970,-57.29,726,1,200,01_raw_frames\frame_0015.csv,02_lde_aligned\frame_0015_aligned.csv
16,101399672740,746.7812,746,999,-58.21,726,1,200,01_raw_frames\frame_0016.csv,02_lde_aligned\frame_0016_aligned.csv
17,107789539231,747.3281,747,895,-57.61,727,1,200,01_raw_frames\frame_0017.csv,02_lde_aligned\frame_0017_aligned.csv
18,114179343775,748.0781,748,906,-57.41,728,1,200,01_raw_frames\frame_0018.csv,02_lde_aligned\frame_0018_aligned.csv
19,120569142094,705.7969,705,914,-84.82,685,1,200,01_raw_frames\frame_0019.csv,02_lde_aligned\frame_0019_aligned.csv
20,126958946668,754.4062,754,968,-57.09,734,1,200,01_raw_frames\frame_0020.csv,02_lde_aligned\frame_0020_aligned.csv
21,133348744988,754.1562,754,993,-57.61,734,1,200,01_raw_frames\frame_0021.csv,02_lde_aligned\frame_0021_aligned.csv
22,139738549971,752.5156,752,976,-56.93,732,1,200,01_raw_frames\frame_0022.csv,02_lde_aligned\frame_0022_aligned.csv
23,146128348282,751.25,751,892,-57.51,731,1,200,01_raw_frames\frame_0023.csv,02_lde_aligned\frame_0023_aligned.csv
24,152518152701,748.5469,748,908,-57.19,728,1,200,01_raw_frames\frame_0024.csv,02_lde_aligned\frame_0024_aligned.csv
25,158907950980,747.4062,747,993,-57.03,727,1,200,01_raw_frames\frame_0025.csv,02_lde_aligned\frame_0025_aligned.csv
26,165297687799,752.4531,752,957,-57.81,732,1,200,01_raw_frames\frame_0026.csv,02_lde_aligned\frame_0026_aligned.csv
27,171687553631,750.5781,750,1014,-58.08,730,1,200,01_raw_frames\frame_0027.csv,02_lde_aligned\frame_0027_aligned.csv
28,178077358499,747.6406,747,916,-57.72,727,1,200,01_raw_frames\frame_0028.csv,02_lde_aligned\frame_0028_aligned.csv
29,184467156700,752.1562,752,923,-57.33,732,1,200,01_raw_frames\frame_0029.csv,02_lde_aligned\frame_0029_aligned.csv
30,190856961064,749.0937,749,1046,-57.97,729,1,200,01_raw_frames\frame_0030.csv,02_lde_aligned\frame_0030_aligned.csv
