sample,taps_from_fp,amplitude,amplitude_norm
701,-50.875,275.18,0.28575
702,-49.875,426.71,0.4431
703,-48.875,635.85,0.66028
704,-47.875,198.49,0.20612
705,-46.875,145.41,0.151
706,-45.875,102.55,0.10649
707,-44.875,186.27,0.19343
708,-43.875,193.4,0.20083
709,-42.875,68.95,0.0716
710,-41.875,648.28,0.67319
711,-40.875,1102.77,1.14514
712,-39.875,947.22,0.98361
713,-38.875,172.47,0.17909
714,-37.875,611.89,0.6354
715,-36.875,687.36,0.71377
716,-35.875,510.84,0.53047
717,-34.875,417.83,0.43388
718,-33.875,136.33,0.14157
719,-32.875,113.14,0.11748
720,-31.875,269.31,0.27966
721,-30.875,426.68,0.44307
722,-29.875,742.49,0.77102
723,-28.875,122.41,0.12712
724,-27.875,711.1,0.73842
725,-26.875,834.25,0.8663
726,-25.875,214.72,0.22297
727,-24.875,323.15,0.33556
728,-23.875,266.18,0.2764
729,-22.875,250.06,0.25967
730,-21.875,149,0.15473
731,-20.875,47.63,0.04946
732,-19.875,93.49,0.09709
733,-18.875,211.95,0.22009
734,-17.875,239.1,0.24829
735,-16.875,295.98,0.30735
736,-15.875,121.82,0.1265
737,-14.875,63.57,0.06601
738,-13.875,73.16,0.07598
739,-12.875,142.13,0.14759
740,-11.875,205.98,0.21389
741,-10.875,211.68,0.21982
742,-9.875,102.2,0.10613
743,-8.875,371.62,0.3859
744,-7.875,217.49,0.22585
745,-6.875,234.07,0.24306
746,-5.875,669.81,0.69554
747,-4.875,512.14,0.53182
748,-3.875,170.84,0.1774
749,-2.875,241.6,0.25088
750,-1.875,668.2,0.69387
751,-0.875,1763.58,1.83134
752,0.125,10254.65,10.64865
753,1.125,16729.25,17.37201
754,2.125,15592.48,16.19157
755,3.125,10654.59,11.06396
756,4.125,13915.95,14.45063
757,5.125,8664.65,8.99756
758,6.125,3616.39,3.75534
759,7.125,3094.68,3.21359
760,8.125,1595.43,1.65672
761,9.125,2368.94,2.45996
762,10.125,1298.28,1.34816
763,11.125,1424.23,1.47896
764,12.125,1845.22,1.91612
765,13.125,876.32,0.90999
766,14.125,5694.32,5.9131
767,15.125,8202.92,8.51808
768,16.125,1563.71,1.62379
769,17.125,5027.33,5.22049
770,18.125,4422.81,4.59274
771,19.125,5241.13,5.4425
772,20.125,5325.42,5.53003
773,21.125,3852.31,4.00032
774,22.125,8106.16,8.41761
775,23.125,16765.87,17.41004
776,24.125,15825.44,16.43348
777,25.125,1254.25,1.30244
778,26.125,13181.56,13.68802
779,27.125,13823.1,14.35421
780,28.125,9705.96,10.07888
781,29.125,9256.06,9.6117
782,30.125,7494.57,7.78252
783,31.125,2600.92,2.70085
784,32.125,2159.31,2.24227
785,33.125,2821.01,2.9294
786,34.125,5234.96,5.4361
787,35.125,4462.33,4.63378
788,36.125,4008.84,4.16286
789,37.125,6243,6.48287
790,38.125,2222.5,2.30789
791,39.125,6383.56,6.62883
792,40.125,5422.2,5.63053
793,41.125,1563.18,1.62324
794,42.125,613.35,0.63692
795,43.125,325.56,0.33807
796,44.125,1280.85,1.33006
797,45.125,1199.88,1.24598
798,46.125,390.02,0.40501
799,47.125,1416.31,1.47073
800,48.125,1419.45,1.47398
801,49.125,741,0.76947
802,50.125,906.5,0.94133
803,51.125,522.85,0.54294
804,52.125,270.03,0.2804
805,53.125,562.25,0.58386
806,54.125,448.65,0.46589
807,55.125,603.9,0.62711
808,56.125,337.62,0.35059
809,57.125,835.11,0.86719
810,58.125,2126.71,2.20842
811,59.125,1571.35,1.63172
812,60.125,1168.97,1.21388
813,61.125,87.66,0.09103
814,62.125,3566.9,3.70394
815,63.125,6893.61,7.15848
816,64.125,6086.33,6.32018
817,65.125,1946.46,2.02125
818,66.125,1569.65,1.62996
819,67.125,702.35,0.72933
820,68.125,2543.95,2.64169
821,69.125,2898.15,3.0095
822,70.125,272.53,0.283
823,71.125,1656.26,1.7199
824,72.125,682.72,0.70895
825,73.125,1337.16,1.38854
826,74.125,1056.04,1.09661
827,75.125,676.29,0.70228
828,76.125,556.17,0.57754
829,77.125,269.19,0.27953
830,78.125,144.89,0.15045
831,79.125,536.49,0.55711
832,80.125,699.9,0.72679
833,81.125,1109.27,1.15189
834,82.125,1325.46,1.37638
835,83.125,1030.49,1.07008
836,84.125,461.82,0.47957
837,85.125,176.15,0.18292
838,86.125,463.23,0.48103
839,87.125,989.51,1.02753
840,88.125,1092.47,1.13444
841,89.125,180.25,0.18718
842,90.125,570.55,0.59247
843,91.125,612.03,0.63554
844,92.125,775.76,0.80557
845,93.125,691.15,0.7177
846,94.125,828.07,0.85989
847,95.125,1023.07,1.06237
848,96.125,378.11,0.39264
849,97.125,1015.27,1.05428
850,98.125,1222.3,1.26926
