sample,real,imag,amplitude,amplitude_norm,excess_path_m,reflector_off_m
786,-2177,-1355,2564.25,2.89418,11.424723132,6.19220770216197
787,-2579,-2028,3280.86,3.703,11.725003132,6.34282477902019
788,-1202,-1313,1780.1,2.00915,12.025283132,6.4934197590477
789,-280,-853,897.78,1.0133,12.325563132,6.64399414480699
790,-886,-835,1217.46,1.37411,12.625843132,6.79454930547038
791,-2253,-590,2328.97,2.62864,12.926123132,6.94508649131935
792,-2650,-168,2655.32,2.99697,13.226403132,7.09560684639059
793,-1441,787,1641.9,1.85317,13.526683132,7.24611141953969
794,-692,1483,1636.51,1.84707,13.826963132,7.39660117414897
795,-278,1698,1720.61,1.94199,14.127243132,7.54707699666966
796,-226,770,802.48,0.90573,14.427523132,7.69753970415865
797,-762,89,767.18,0.86589,14.727803132,7.84799005094536
798,-1275,-47,1275.87,1.44003,15.028083132,7.99842873454379
799,-2204,134,2208.07,2.49218,15.328363132,8.1488564009077
800,-2766,473,2806.15,3.16721,15.628643132,8.29927364911248
801,-3135,261,3145.85,3.55062,15.928923132,8.44968103553568
802,-2405,-156,2410.05,2.72015,16.229203132,8.60007907759747
803,-1117,-264,1147.77,1.29546,16.529483132,8.75046825711449
804,-791,-134,802.27,0.9055,16.829763132,8.90084902331271
805,-507,465,687.95,0.77647,17.130043132,9.05122179553928
806,-609,668,903.94,1.02025,17.430323132,9.2015869657078
807,-638,323,715.1,0.80711,17.730603132,9.35194490050718
808,-661,147,677.15,0.76428,18.030883132,9.50229594340024
809,-1035,587,1189.87,1.34297,18.331163132,9.65264041643524
810,-1312,1059,1686.07,1.90301,18.631443132,9.80297862189027
811,-1054,832,1342.81,1.51559,18.931723132,9.95331084376833
812,-827,394,916.06,1.03393,19.232003132,10.1036373491587
813,-109,270,291.17,0.32864,19.532283132,10.2539583894783
814,475,950,1062.13,1.19879,19.832563132,10.4042742016054
815,541,1577,1667.22,1.88173,20.132843132,10.5545850089158
816,119,1824,1827.88,2.06307,20.433123132,10.7048910222322
817,-1430,1082,1793.22,2.02395,20.733403132,10.8551924406943
818,-1499,-472,1571.55,1.77376,21.033683132,11.0054894525571
819,-1014,-20,1014.2,1.14469,21.333963132,11.1557822359252
820,-255,983,1015.54,1.1462,21.634243132,11.3060709594281
821,-383,1452,1501.66,1.69488,21.934523132,11.4563557828422
822,-954,1204,1536.14,1.73379,22.234803132,11.6066368576646
823,-1433,806,1644.12,1.85566,22.535083132,11.756914327643
824,-1170,527,1283.21,1.44832,22.835363132,11.9071883292647
825,-758,77,761.9,0.85993,23.135643132,12.0574589922095
826,-962,-149,973.47,1.09873,23.435923132,12.2077264397697
827,-1165,-34,1165.5,1.31546,23.736203132,12.357990789238
828,-713,791,1064.92,1.20194,24.036483132,12.5082521522685
829,-828,1340,1575.18,1.77785,24.336763132,12.6585106352117
830,-1167,624,1323.35,1.49363,24.637043132,12.8087663394258
831,-1599,58,1600.05,1.80593,24.937323132,12.9590193615661
832,-1199,387,1259.91,1.42202,25.237603132,13.1092697938552
833,-914,941,1311.82,1.48061,25.537883132,13.2595177243338
834,-479,823,952.24,1.07477,25.838163132,13.4097632370956
835,-365,317,483.44,0.54564,26.138443132,13.5600064125058
836,-627,30,627.72,0.70848,26.438723132,13.7102473274058
837,-604,182,630.82,0.71199,26.739003132,13.860486055304
838,-695,486,848.07,0.95719,27.039283132,14.0107226665549
839,-807,561,982.84,1.1093,27.339563132,14.1609572285264
840,-877,409,967.68,1.09219,27.639843132,14.3111898057566
841,-1218,167,1229.4,1.38758,27.940123132,14.4614204601011
842,-1278,261,1304.38,1.47221,28.240403132,14.6116492508707
843,-841,457,957.15,1.0803,28.540683132,14.761876234961
844,-224,672,708.35,0.79949,28.840963132,14.9121014669746
845,576,798,984.16,1.1108,29.141243132,15.0623249993347
846,550,1248,1363.82,1.5393,29.441523132,15.2125468823936
