taps_from_fp,transition_1_to_2,transition_2_to_3,transition_3_to_4,transition_4_to_5,transition_5_to_6,transition_6_to_7,transition_7_to_8,transition_8_to_9,transition_9_to_10,transition_10_to_11,transition_11_to_12,transition_12_to_13,transition_13_to_14,transition_14_to_15,transition_15_to_16,transition_16_to_17,transition_17_to_18,transition_18_to_19,transition_19_to_20,transition_20_to_21,transition_21_to_22,transition_22_to_23
-50,0.0731133939884717,0.135023052412947,0.0809588272439236,0.152465981634107,0.170714198515755,0.154773738515516,0.120238593849217,0.102171352471924,0.0343001519678888,0.142092522012758,0.113102365524122,0.136252581753202,0.065572579508703,0.123290284512423,0.0915315487004427,0.105289798451625,0.0158273213308527,0.118399425987736,0.116856071278648,0.111679312025629,0.0849095630847679,0.0860125948874403
-49.5,0.0808126464378651,0.144772720257096,0.102879569497148,0.164692204284166,0.164889969326009,0.144851257526966,0.117627899965406,0.0965842713160722,0.0468144556049513,0.13995123275925,0.105029613156844,0.107054576591321,0.0524577644649283,0.0344880585701493,0.12131656868812,0.0946401693526381,0.0296877691809317,0.122820200723906,0.0805935648964373,0.132982964363556,0.02632933655218,0.116460003870687
-49,0.0799523745458299,0.13519839645645,0.120607877580245,0.192113065487921,0.147172309280287,0.114148101537771,0.122348404343555,0.106610956180011,0.0622875402812016,0.0842971623834931,0.0369311696442929,0.0787967288902977,0.0631753766475612,0.0170610845120036,0.0840702774780871,0.085905626940635,0.0372969779624763,0.0656294405445217,0.0661356518455256,0.0624320619220745,0.038486234612648,0.144876192821842
-48.5,0.0755545714458273,0.11731518054622,0.0736755394389823,0.215640810740836,0.133521787548149,0.0682449359127492,0.112057941808633,0.115580768072325,0.112483201312492,0.0367084136464978,0.0302151275397052,0.0499195768225345,0.0744097400112574,0.0609374417243083,0.0505399710347306,0.0194040765866675,0.0725093245505258,0.0210793627529032,0.156383440654568,0.0709872046132055,0.121277731859436,0.170589588240731
-48,0.00763715329809948,0.11350574073074,0.0288561141900829,0.182426158475505,0.108804702323929,0.0139373744550174,0.128255749265148,0.112260766611246,0.19439285679779,0.132279767884215,0.0495608322763458,0.0523429300102431,0.0816566867987864,0.0716281158338631,0.0568989791278536,0.112020526375628,0.0906248217690024,0.0546021103819985,0.204885707417902,0.0905066511128947,0.136955050999263,0.172115471326919
-47.5,0.0615981347515285,0.0970748993843473,0.0607483217949726,0.149512939921411,0.0715531391474204,0.0222307215756229,0.150529621988158,0.090507532443635,0.210802287034064,0.165638846239719,0.0699608662323111,0.0567992105393983,0.101952317943262,0.0769027868708708,0.0952891437585717,0.0822233032967483,0.0430524426855099,0.109479806373577,0.278292064711289,0.107187890479089,0.131469989180205,0.150608823866546
-47,0.082715858839126,0.0735243491556205,0.104994029805395,0.129348990506924,0.0276342471306027,0.0577612171000096,0.128084326215026,0.104601397024162,0.268743996229557,0.217491337306837,0.0815151268417179,0.0715788585363556,0.0558404009879691,0.0969074303005877,0.102812719060752,0.0347601247817718,0.0218880785152399,0.10144882084903,0.253288524473093,0.0954783674679377,0.125289360242011,0.121619271772732
-46.5,0.118616034289311,0.122111636451888,0.14183692798939,0.104526729272352,0.0230241877856797,0.0674127774050706,0.117268486921609,0.150759645893392,0.230302166371381,0.208062218061086,0.0868972173314949,0.0746560822746588,0.0280294459211505,0.138964388865254,0.0896070372667412,0.0564759337866038,0.0834704174243094,0.107742978572377,0.241866880309214,0.106889044911733,0.124979208402422,0.0988254395437085
-46,0.121817388036819,0.157885592553102,0.149980392162973,0.122994562064477,0.0692240474926865,0.0806718852764185,0.0668299684639227,0.135444395362946,0.197762229231119,0.18596532389849,0.0679011117142274,0.0708339396174102,0.0631214859729943,0.176653458121388,0.121917586222987,0.101547052465974,0.147560490122837,0.125499509953962,0.172627211393562,0.0946526949261019,0.116435158195896,0.0825979186062597
-45.5,0.12048093127443,0.158547616923922,0.136086567766408,0.187643641279749,0.124346628057788,0.0945559515011242,0.10004214008016,0.12821406593081,0.14045329156458,0.138705906102983,0.0758730577401824,0.0675326999640156,0.100892293961012,0.204310376538788,0.140734125966973,0.114482528787735,0.15244770848707,0.135954018610022,0.0868643489659496,0.0823170077789948,0.124422850941724,0.0803465614989928
-45,0.135485150968151,0.166129703811882,0.120138725651782,0.220154505334372,0.136344032227649,0.0984411489531362,0.123401979590852,0.143077401047653,0.13333449159717,0.0910866279656208,0.065242016736731,0.0858985886117398,0.0681607427328658,0.150914310764414,0.109329813596199,0.11890775419782,0.143585889211426,0.165119349483962,0.0280875814936685,0.0455901429128484,0.150912175527274,0.0781528458819751
-44.5,0.160279420641769,0.155793546894899,0.114993312050068,0.229704654087649,0.122108495786005,0.0669562619208486,0.127699430836814,0.156680556820249,0.128171924682265,0.099866552325184,0.0848191515182013,0.0754750212694452,0.100745095739375,0.155226105557804,0.0480372256960564,0.0587985400036361,0.0698254810939632,0.193527368501324,0.00943447766370824,0.077341971805381,0.171999119454816,0.0904075324194073
-44,0.112524084504274,0.0849407694974487,0.136348365112119,0.270078214197729,0.142735766335793,0.00688190798597935,0.0547285494290852,0.101344150258808,0.112535402946084,0.122114204547019,0.0944984462964523,0.0681159919566483,0.0868511202573974,0.161334993062979,0.0176133126784497,0.0785611358978077,0.0272625071069877,0.146866897476135,0.0849025328957876,0.163614358377975,0.133597991395586,0.0800381952039158
-43.5,0.0681982457613289,0.0162175544214174,0.132994998367224,0.295348154672401,0.156605303423699,0.0656491298141886,0.0588078320801252,0.0805028163926527,0.0898600070483482,0.124254653092694,0.0982761657051034,0.088941480422956,0.0469530826045987,0.154452291688765,0.0246618795236401,0.0690405617950235,0.0500732570234379,0.0899846168959985,0.177853748306742,0.249743068014352,0.0910828542821626,0.0741290582395228
-43,0.0549155365021214,0.0730492828341011,0.113919789202029,0.284335209276155,0.153311671485469,0.115477695211197,0.109280087382495,0.0714719451334379,0.0563042619160109,0.0794447613967302,0.0643737406633567,0.104806786835131,0.0371140995695028,0.0775215198796185,0.0436526861193718,0.0559468111178867,0.0623920894421871,0.137929461755967,0.15243993541024,0.266108281250735,0.0989000942217641,0.0730947464737575
-42.5,0.0767007316136377,0.109016086692517,0.0744460692826052,0.253929606704435,0.129927695137912,0.111105753993755,0.116285867256767,0.0838856691567201,0.032973230382673,0.0724621220484638,0.0478713472864896,0.0946175557486104,0.0943377234589981,0.065941436344915,0.111921402184929,0.0478804989806067,0.0447744861694758,0.226718402729065,0.111192202061521,0.286866701555521,0.12655335807058,0.0648387708129098
-42,0.0616010824659626,0.138036486588249,0.0415324093459876,0.198936154600213,0.107528887927732,0.0652271602823062,0.0645806570059988,0.0801498342710998,0.042050647121313,0.0882087844837532,0.0328251910209117,0.0841983402923139,0.101728996744194,0.0913912279078776,0.206232819935779,0.1324510735084,0.0429431369173602,0.203313944140177,0.0295254662877759,0.22213410999401,0.112549779690178,0.0559144056307673
-41.5,0.0644629717199751,0.20147071895875,0.121904206528587,0.134878189365252,0.0946554109573345,0.016387437597828,0.051592921324462,0.0576500702712858,0.0184504107353234,0.0708670811134909,0.0215101464140702,0.0781218027431297,0.123618127946963,0.147409095610801,0.27514935742042,0.191750974700149,0.0416469501229448,0.191695690611323,0.0645503102792245,0.177528085147091,0.115197629089629,0.0576815950342338
-41,0.0608825129511424,0.210231059671767,0.226046491911974,0.126173760821218,0.0989954050397851,0.0561650321856237,0.154888199800729,0.0273801494064565,0.0438647927341729,0.0797903613687777,0.0242849066769373,0.0614732629702532,0.127245761157163,0.134504008655719,0.2952194792776,0.234589755309575,0.0555289322509222,0.156927479602103,0.0464077643597248,0.177081198343149,0.0749797815998385,0.0353862137279994
-40.5,0.0782310763769755,0.178620358404902,0.240506394039928,0.151619962751986,0.0991681945345703,0.0875410885336384,0.253067302972759,0.0919864953031287,0.0539934680917968,0.0780210628121007,0.0373293242540954,0.0556538249675419,0.207503826881554,0.163318852208489,0.242208257436851,0.152208649090737,0.0383767075234511,0.166310037678058,0.0387430414987708,0.19474797530206,0.00685716120876558,0.0638520051552838
-40,0.0784535475075147,0.168719229546794,0.230315996848609,0.142429017857619,0.0934012324752366,0.0911623132642021,0.266518290982206,0.0931680387688377,0.0730930483939142,0.0771038783750759,0.047069685427066,0.0563866456967814,0.211728580771416,0.202372375300307,0.165981883566172,0.0904005794084534,0.0626772814937455,0.139642233313233,0.0435048770381627,0.125534028827107,0.0336691437876823,0.0935698554412528
-39.5,0.094714669454325,0.151293439562888,0.186938152761524,0.147206699529882,0.104073381984038,0.0498525942138475,0.237133923672434,0.122026051127446,0.0454377474765492,0.0350214480203784,0.0538630264660475,0.0177966134449531,0.204874251155391,0.248997665983102,0.169968018603693,0.0164274935422968,0.104612113511417,0.110380166822602,0.090170201564398,0.0453345794610337,0.0860863820268373,0.110243946156524
-39,0.113460522995869,0.139950906060243,0.142478847291297,0.102648205923902,0.102195539804941,0.040854144924855,0.173094083768604,0.12353818145055,0.0481677948778507,0.0800517526620333,0.0782922949589911,0.0351046958305163,0.180108954936538,0.247801773733225,0.166093442558906,0.090255384827862,0.120333650480821,0.0506908221037526,0.129676815047096,0.0824943355538756,0.146856494695477,0.103945017187589
-38.5,0.139064061845162,0.141343430743473,0.114157492923676,0.0639495706568533,0.0949426944629196,0.0927902688392701,0.156422764057236,0.117205471136319,0.0689595334732792,0.112596633839241,0.118274170153634,0.0515819050916942,0.131586506841162,0.240069449863556,0.179365243678484,0.127106489393609,0.0958448217861454,0.0284299445697115,0.21189568354087,0.187487215515576,0.2426122109556,0.097143854027422
-38,0.112007793827832,0.0876715757234525,0.0663208480561938,0.066876766395165,0.118441097033943,0.125920280108802,0.135329598088154,0.0482374627224889,0.120695020235036,0.166866232538542,0.135390992811024,0.044990149654058,0.121507007190262,0.237293317170788,0.170811804219139,0.138258101234776,0.111528699668614,0.0134001952523408,0.148537179659887,0.149770200031983,0.267122841912348,0.0830911403345403
-37.5,0.161987457362772,0.0462761871417173,0.0481096542752019,0.111568019915345,0.139614419124021,0.114993472457405,0.145672009935523,0.0249099194872671,0.0977079282734256,0.156372054775848,0.129753944754711,0.0526348355452636,0.105351103119825,0.23997036967858,0.149769611232224,0.0804889781931435,0.143127003577997,0.0624105376422819,0.0716821768792301,0.124687874589818,0.26227113724605,0.0838714880800768
-37,0.142435403340831,0.0985669914957137,0.0433831017206822,0.112692216771741,0.111967737338051,0.108854673069195,0.144300024034585,0.0493146455717048,0.129968626978503,0.127077414341861,0.0756840683552673,0.0802047938508705,0.0959274478149326,0.199533232921325,0.11099249856108,0.156149817464128,0.193208405183417,0.03615163612704,0.0458728637428979,0.111801303036322,0.192144217348243,0.0513128449577452
-36.5,0.15395203864086,0.162128148370504,0.0871553628383275,0.103629609945619,0.0717916474934378,0.0914202754067926,0.14145262394156,0.047035746075522,0.153297577708757,0.114433331435492,0.0292931835657569,0.108150064144,0.128850080481848,0.222068920682312,0.104947368857228,0.199768143850122,0.136140200210825,0.0762331400088261,0.0947572952598706,0.101745883076535,0.133517862183746,0.0241935351825767
