sample,taps_from_fp,excess_path_m,reflector_off_m,real,imag,amplitude,amplitude_norm
698,-50.8125,-15.2579775,NaN,77,158,175.76,0.13894
699,-49.8125,-14.9576975,NaN,66,154,167.55,0.13245
700,-48.8125,-14.6574175,NaN,43,93,102.46,0.081
701,-47.8125,-14.3571375,NaN,33,33,46.67,0.03689
702,-46.8125,-14.0568575,NaN,118,38,123.97,0.098
703,-45.8125,-13.7565775,NaN,165,89,187.47,0.1482
704,-44.8125,-13.4562975,NaN,120,147,189.76,0.15001
705,-43.8125,-13.1560175,NaN,130,114,172.9,0.13668
706,-42.8125,-12.8557375,NaN,107,78,132.41,0.10467
707,-41.8125,-12.5554575,NaN,99,75,124.2,0.09818
708,-40.8125,-12.2551775,NaN,131,115,174.32,0.1378
709,-39.8125,-11.9548975,NaN,59,93,110.14,0.08706
710,-38.8125,-11.6546175,NaN,111,75,133.96,0.1059
711,-37.8125,-11.3543375,NaN,207,82,222.65,0.17601
712,-36.8125,-11.0540575,NaN,159,124,201.64,0.1594
713,-35.8125,-10.7537775,NaN,117,153,192.61,0.15226
714,-34.8125,-10.4534975,NaN,60,176,185.95,0.14699
715,-33.8125,-10.1532175,NaN,135,75,154.43,0.12208
716,-32.8125,-9.8529375,NaN,123,62,137.74,0.10889
717,-31.8125,-9.5526575,NaN,-165,219,274.2,0.21676
718,-30.8125,-9.2523775,NaN,-266,226,349.04,0.27592
719,-29.8125,-8.9520975,NaN,-286,65,293.29,0.23185
720,-28.8125,-8.6518175,NaN,-277,64,284.3,0.22474
721,-27.8125,-8.3515375,NaN,-137,167,216,0.17075
722,-26.8125,-8.0512575,NaN,-45,204,208.9,0.16514
723,-25.8125,-7.7509775,NaN,-11,200,200.3,0.15834
724,-24.8125,-7.4506975,NaN,101,97,140.04,0.1107
725,-23.8125,-7.1504175,NaN,82,153,173.59,0.13722
726,-22.8125,-6.8501375,NaN,74,188,202.04,0.15972
727,-21.8125,-6.5498575,NaN,102,107,147.83,0.11686
728,-20.8125,-6.2495775,NaN,106,-26,109.14,0.08628
729,-19.8125,-5.9492975,NaN,96,74,121.21,0.09582
730,-18.8125,-5.6490175,NaN,123,116,169.07,0.13365
731,-17.8125,-5.3487375,NaN,123,69,141.03,0.11149
732,-16.8125,-5.0484575,NaN,158,73,174.05,0.13759
733,-15.8125,-4.7481775,NaN,187,111,217.46,0.17191
734,-14.8125,-4.4478975,NaN,152,161,221.42,0.17503
735,-13.8125,-4.1476175,NaN,135,153,204.04,0.1613
736,-12.8125,-3.8473375,NaN,58,149,159.89,0.1264
737,-11.8125,-3.5470575,NaN,94,143,171.13,0.13528
738,-10.8125,-3.2467775,NaN,101,143,175.07,0.1384
739,-9.8125,-2.9464975,NaN,27,89,93.01,0.07352
740,-8.8125,-2.6462175,NaN,38,50,62.8,0.04965
741,-7.8125,-2.3459375,NaN,117,59,131.03,0.10358
742,-6.8125,-2.0456575,NaN,169,56,178.04,0.14074
743,-5.8125,-1.7453775,NaN,150,130,198.49,0.15691
744,-4.8125,-1.4450975,NaN,191,192,270.82,0.21409
745,-3.8125,-1.1448175,NaN,557,425,700.62,0.55385
746,-2.8125,-0.8445375,NaN,1479,751,1658.75,1.31126
747,-1.8125,-0.5442575,NaN,2241,115,2243.95,1.77387
748,-0.8125,-0.2439775,NaN,1711,-3579,3966.96,3.13594
749,0.1875,0.0563025,0.170128606873043,-350,-10866,10871.63,8.59418
750,1.1875,0.3565825,0.458343779085702,-1790,-15681,15782.83,12.47655
751,2.1875,0.6568625,0.660528830541531,-1686,-16402,16488.43,13.03433
752,3.1875,0.9571425,0.841190639110162,-1804,-13950,14066.16,11.1195
753,4.1875,1.2574225,1.0119234585069,-2749,-8629,9056.3,7.15913
754,5.1875,1.5577025,1.17705586937348,-3093,-3213,4459.82,3.52555
755,6.1875,1.8579825,1.33866201581152,-1877,-310,1902.43,1.50389
756,7.1875,2.1582625,1.49788367529877,-38,446,447.62,0.35385
757,8.1875,2.4585425,1.65540902984023,1032,491,1142.85,0.90344
758,9.1875,2.7588225,1.81168061385735,893,753,1168.1,0.9234
759,10.1875,3.0591025,1.96699727411518,226,1179,1200.47,0.94898
760,11.1875,3.3593825,2.12156874631169,32,1328,1328.39,1.05011
761,12.1875,3.6596625,2.275546891074,97,1043,1047.5,0.82806
762,13.1875,3.9599425,2.42904454484198,175,881,898.21,0.71005
763,14.1875,4.2602225,2.58214739846055,262,710,756.8,0.59826
764,15.1875,4.5605025,2.73492175630795,265,454,525.68,0.41556
765,16.1875,4.8607825,2.88741976132265,126,496,511.75,0.40455
766,17.1875,5.1610625,3.03968300686545,-265,865,904.68,0.71516
767,18.1875,5.4613425,3.19174509094579,-638,1236,1390.95,1.09956
768,19.1875,5.7616225,3.34363345899735,-552,1203,1323.6,1.04632
769,20.1875,6.0619025,3.49537075714102,-94,921,925.78,0.73185
770,21.1875,6.3621825,3.64697584182108,483,843,971.56,0.76804
771,22.1875,6.6624625,3.79846454386198,637,915,1114.9,0.88134
772,23.1875,6.9627425,3.9498502541649,537,1119,1241.18,0.98117
773,24.1875,7.2630225,4.10114437796044,551,1248,1364.22,1.07844
774,25.1875,7.5633025,4.25235669089818,570,1121,1257.59,0.99414
775,26.1875,7.8635825,4.40349562093305,359,781,859.56,0.67949
776,27.1875,8.1638625,4.55456847349193,-95,485,494.22,0.39069
777,28.1875,8.4641425,4.70558161283773,-513,18,513.32,0.40578
778,29.1875,8.7644225,4.8565406092842,-562,-20,562.36,0.44455
779,30.1875,9.0647025,5.00745035955191,-409,316,516.85,0.40858
780,31.1875,9.3649825,5.15831518582633,-448,660,797.69,0.63058
781,32.1875,9.6652625,5.30913891779793,-600,725,941.08,0.74393
782,33.1875,9.9655425,5.45992496100693,-632,607,876.28,0.69271
783,34.1875,10.2658225,5.61067635409284,-535,716,893.8,0.70656
784,35.1875,10.5661025,5.76139581699839,-603,1077,1234.32,0.97574
785,36.1875,10.8663825,5.91208579175544,-609,1750,1852.94,1.46477
786,37.1875,11.1666625,6.06274847715346,-357,1823,1857.63,1.46848
787,38.1875,11.4669425,6.21338585833654,-117,1451,1455.71,1.15076
788,39.1875,11.7672225,6.36399973217524,237,1379,1399.22,1.1061
789,40.1875,12.0675025,6.51459172910142,742,1668,1825.59,1.44316
790,41.1875,12.3677825,6.66516333196918,1065,1844,2129.45,1.68336
791,42.1875,12.6680625,6.81571589240459,1117,1587,1940.68,1.53414
792,43.1875,12.9683425,6.9662506450261,1008,1001,1420.59,1.12299
793,44.1875,13.2686225,7.11676871985289,796,393,887.73,0.70176
794,45.1875,13.5689025,7.26727115316517,486,37,487.41,0.3853
795,46.1875,13.8691825,7.41775889703734,280,141,313.5,0.24782
796,47.1875,14.1694625,7.56823282772977,255,671,717.82,0.56745
797,48.1875,14.4697425,7.71869375309557,-3,1017,1017,0.80396
798,49.1875,14.7700225,7.86914241913479,-607,892,1078.94,0.85292
799,50.1875,15.0703025,8.01957951580858,-1082,627,1250.54,0.98857
800,51.1875,15.3705825,8.17000568220895,-773,509,925.53,0.73165
801,52.1875,15.6708625,8.32042151116616,-31,423,424.13,0.33528
802,53.1875,15.9711425,8.47082755336375,931,416,1019.71,0.8061
803,54.1875,16.2714225,8.62122432102173,1561,394,1609.96,1.27269
804,55.1875,16.5717025,8.77161229119975,1518,622,1640.49,1.29683
805,56.1875,16.8719825,8.92199190876547,1106,842,1390.04,1.09884
806,57.1875,17.1722625,9.07236358906688,691,973,1193.4,0.9434
807,58.1875,17.4725425,9.22272772034264,743,1417,1599.98,1.26481
808,59.1875,17.7728225,9.37308466589983,749,2053,2185.36,1.72756
809,60.1875,18.0731025,9.52343476608501,419,2292,2329.98,1.84188
810,61.1875,18.3733825,9.67377834007099,14,1804,1804.05,1.42613
811,62.1875,18.6736625,9.82411568747928,-10,881,881.06,0.69649
812,63.1875,18.9739425,9.97444708985548,380,52,383.54,0.30319
813,64.1875,19.2742225,10.1247728120129,868,-371,943.96,0.74622
814,65.1875,19.5745025,10.2750931032583,966,-44,967,0.76443
815,66.1875,19.8747825,10.4254081985108,579,282,644.02,0.50911
816,67.1875,20.1750625,10.575718319326,53,487,489.88,0.38725
817,68.1875,20.4753425,10.7260236748329,-229,488,539.06,0.42613
818,69.1875,20.7756225,10.8763244625943,-273,453,528.9,0.4181
819,70.1875,21.0759025,11.026620869395,-429,628,760.54,0.60122
820,71.1875,21.3761825,11.1769130719679,-581,804,991.96,0.78416
821,72.1875,21.6764625,11.3272012376613,-372,783,866.88,0.68528
822,73.1875,21.9767425,11.4774855250541,119,779,788.04,0.62295
823,74.1875,22.2770225,11.6277660845227,571,909,1073.46,0.84859
824,75.1875,22.5773025,11.7780430587652,724,1030,1259,0.99526
825,76.1875,22.8775825,11.9283165832852,676,1073,1268.19,1.00252
826,77.1875,23.1778625,12.07858678684,440,992,1085.2,0.85787
827,78.1875,23.4781425,12.2288537918554,164,897,911.87,0.72085
