taps_from_fp,mti_mean_abs_frame_difference,background_mti_mean,threshold,detected_peak
-50,0.104443391734697,0.108937335442105,1.08800687511083,0
-49.5,0.117101070897957,0.111155349652631,1.08800687511083,0
-49,0.112666583816329,0.115421263947366,1.08800687511083,0
-48.5,0.112901303418366,0.111024592642105,1.08800687511083,0
-48,0.101528510724488,0.0887242129157908,1.08800687511083,0
-47.5,0.0830531218163263,0.0694651635894729,1.08800687511083,0
-47,0.0850385756938778,0.0608417436105273,1.08800687511083,0
-46.5,0.0878866417040821,0.0607235193684202,1.08800687511083,0
-46,0.0970893553163277,0.0690816715999989,1.08800687511083,0
-45.5,0.0993443233775512,0.0767406088105247,1.08800687511083,0
-45,0.10152492760204,0.0798486004736838,1.08800687511083,0
-44.5,0.102372498510203,0.0825242892421059,1.08800687511083,0
-44,0.0966489700000018,0.0890375936842109,1.08800687511083,0
-43.5,0.0915847141938765,0.0947213785052633,1.08800687511083,0
-43,0.0971017600102033,0.0953352714526312,1.08800687511083,0
-42.5,0.098960155316327,0.0903649394736847,1.08800687511083,0
-42,0.104740051479596,0.087902700947368,1.08800687511083,0
-41.5,0.109127208857143,0.0888728345789478,1.08800687511083,0
-41,0.112077031244896,0.102554905926316,1.08800687511083,0
-40.5,0.116569965285715,0.112472774599999,1.08800687511083,0
-40,0.106417729510204,0.114454795526315,1.08800687511083,0
-39.5,0.108284188959183,0.114022101894736,1.08800687511083,0
-39,0.111920041693878,0.112869416884215,1.08800687511083,0
-38.5,0.103925644357141,0.107388730610528,1.08800687511083,0
-38,0.0936620434183688,0.10285988863158,1.08800687511083,0
-37.5,0.0875104662142835,0.0885479867578975,1.08800687511083,0
-37,0.0910459633367382,0.0927768262105255,1.08800687511083,0
-36.5,0.0986171008367328,0.0929410296210515,1.08800687511083,0
-36,0.0697603660816297,0.062412036547368,1.08800687511083,0
-35.5,0.0460843860612244,0.0551970499894711,1.08800687511083,0
-35,0.0734920211632653,0.0779051015263156,1.08800687511083,0
-34.5,0.0917179512142862,0.0982667826210529,1.08800687511083,0
-34,0.0994452825204087,0.115192213947368,1.08800687511083,0
-33.5,0.107801857969386,0.115478831210527,1.08800687511083,0
-33,0.0880760028265313,0.098194608221054,1.08800687511083,0
-32.5,0.100510884040821,0.080231941084209,1.08800687511083,0
-32,0.0859558939183643,0.0926886032315724,1.08800687511083,0
-31.5,0.106921035867343,0.103242695831579,1.08800687511083,0
-31,0.122638540214278,0.0957240560421087,1.08800687511083,0
-30.5,0.107013117367351,0.103731874884208,1.08800687511083,0
-30,0.112569328448988,0.109949357452634,1.08800687511083,0
-29.5,0.121562517326534,0.10952829901053,1.08800687511083,0
-29,0.109999859408168,0.129694378442107,1.08800687511083,0
-28.5,0.114826568091834,0.122894223957897,1.08800687511083,0
-28,0.13019344592858,0.105209859284213,1.08800687511083,0
-27.5,0.121547424520405,0.106660225557892,1.08800687511083,0
-27,0.100666942867349,0.109029609031575,1.08800687511083,0
-26.5,0.103952968071428,0.101164327873682,1.08800687511083,0
-26,0.105723016030612,0.0806105760842103,1.08800687511083,0
-25.5,0.107326307857143,0.0985935663157886,1.08800687511083,0
-25,0.112431123102041,0.106163587473687,1.08800687511083,0
-24.5,0.103821979581635,0.0659509519999967,1.08800687511083,0
-24,0.0732074111734713,0.0869628191999995,1.08800687511083,0
-23.5,0.102291699959182,0.117797851442105,1.08800687511083,0
-23,0.119351965432655,0.116372896684211,1.08800687511083,0
-22.5,0.116796633697958,0.113667893221051,1.08800687511083,0
