FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,STD_NOISE,NTM,NOISE_THRESH,PEAK_IDX,PEAK_AMPL,START,elapsed_s,tag_anchor_dist_m,n_samples,aligned_csv
45,285729898792,747.0937,747,1021,-60.33,144,13,1872,749,18863,697,4.8253785,1.5,150,02_lde_aligned\frame_0045_aligned.csv
46,292119698042,752.75,752,905,-59.74,96,13,1248,755,17740,702,4.920365,1.5,150,02_lde_aligned\frame_0046_aligned.csv
47,298509497819,750.0156,750,889,-59.45,104,13,1352,752,17360,700,5.0262105,1.5,150,02_lde_aligned\frame_0047_aligned.csv
48,304899297037,747.1719,747,1037,-60.38,132,13,1716,749,19018,697,5.1263284,1.5,150,02_lde_aligned\frame_0048_aligned.csv
49,311289096748,750.6562,750,898,-59.45,128,13,1664,753,17507,700,5.228058,1.5,150,02_lde_aligned\frame_0049_aligned.csv
50,317678895943,747.0781,747,1025,-59.74,124,13,1612,749,18975,697,5.3239588,1.5,150,02_lde_aligned\frame_0050_aligned.csv
51,324068695597,751.7969,751,875,-59.58,132,13,1716,754,16946,701,5.4331518,1.5,150,02_lde_aligned\frame_0051_aligned.csv
52,330458494754,746.125,746,874,-59.7,128,13,1664,748,16496,696,5.5282804,1.5,150,02_lde_aligned\frame_0052_aligned.csv
53,336848294357,750.0469,750,894,-59.18,120,13,1560,752,17416,700,5.6391361,1.5,150,02_lde_aligned\frame_0053_aligned.csv
54,343238093464,752.3437,752,877,-59.76,96,13,1248,755,17003,702,5.7324666,1.5,150,02_lde_aligned\frame_0054_aligned.csv
55,349627893039,747.4531,747,1114,-60.72,144,13,1872,750,19748,697,5.8269704,1.5,150,02_lde_aligned\frame_0055_aligned.csv
56,356017692038,748.4375,748,878,-59.49,112,13,1456,751,17110,698,5.9211869,1.5,150,02_lde_aligned\frame_0056_aligned.csv
57,362407491583,749.8281,749,913,-59.2,108,13,1404,752,17782,699,6.0326859,1.5,150,02_lde_aligned\frame_0057_aligned.csv
58,368797290572,751.6562,751,933,-59.17,104,13,1352,754,18052,701,6.1275831,1.5,150,02_lde_aligned\frame_0058_aligned.csv
59,375187090042,751.875,751,907,-59.23,124,13,1612,754,17663,701,6.2236435,1.5,150,02_lde_aligned\frame_0059_aligned.csv
60,381576888986,752.125,752,903,-59.3,128,13,1664,754,17434,702,6.3350326,1.5,150,02_lde_aligned\frame_0060_aligned.csv
61,387966688382,752.6875,752,863,-59.76,120,13,1560,755,16423,702,6.4300709,1.5,150,02_lde_aligned\frame_0061_aligned.csv
62,394356487296,753.0937,753,1020,-59.95,136,13,1768,755,18821,703,6.5240267,1.5,150,02_lde_aligned\frame_0062_aligned.csv
63,400746286668,751.9062,751,876,-59.2,128,13,1664,754,17091,701,6.6349438,1.5,150,02_lde_aligned\frame_0063_aligned.csv
64,407136085514,751.25,751,1147,-60.36,144,13,1872,754,19910,701,6.7281223,1.5,150,02_lde_aligned\frame_0064_aligned.csv
65,413525884351,749.5781,749,1027,-59.6,152,13,1976,752,18967,699,6.8236457,1.5,150,02_lde_aligned\frame_0065_aligned.csv
66,419915683634,746.75,746,1074,-59.81,156,13,2028,749,19372,696,6.9343359,1.5,150,02_lde_aligned\frame_0066_aligned.csv
67,426305482427,752.7656,752,925,-58.92,104,13,1352,755,18019,702,7.027714,1.5,150,02_lde_aligned\frame_0067_aligned.csv
68,432695281677,749.9219,749,978,-59.24,136,13,1768,752,18499,699,7.1258436,1.5,150,02_lde_aligned\frame_0068_aligned.csv
69,439085080357,747.4219,747,877,-59.12,128,13,1664,750,16953,697,7.2349163,1.5,150,02_lde_aligned\frame_0069_aligned.csv
70,445474879595,753.0156,753,958,-59.34,136,13,1768,755,18289,703,7.3307188,1.5,150,02_lde_aligned\frame_0070_aligned.csv
71,451864678306,748.125,748,1162,-60.66,144,13,1872,750,20016,698,7.4262461,1.5,150,02_lde_aligned\frame_0071_aligned.csv
72,458254477466,752.75,752,961,-59.45,124,13,1612,755,18356,702,7.5205605,1.5,150,02_lde_aligned\frame_0072_aligned.csv
73,464644276112,748.5937,748,975,-59.07,116,13,1508,751,18451,698,7.6308412,1.5,150,02_lde_aligned\frame_0073_aligned.csv
74,471034075217,751.6094,751,863,-59.11,100,13,1300,754,16737,701,7.7250497,1.5,150,02_lde_aligned\frame_0074_aligned.csv
75,477423873839,747.2031,747,884,-58.66,116,13,1508,749,17188,697,7.8359446,1.5,150,02_lde_aligned\frame_0075_aligned.csv
76,483813672935,750.7031,750,943,-58.87,112,13,1456,753,18168,700,7.9349759,1.5,150,02_lde_aligned\frame_0076_aligned.csv
77,490203471493,753.1719,753,1160,-60.42,160,13,2080,755,19917,703,8.024373,1.5,150,02_lde_aligned\frame_0077_aligned.csv
78,496593270034,746.875,746,874,-58.81,124,13,1612,749,16963,696,8.1198694,1.5,150,02_lde_aligned\frame_0078_aligned.csv
79,502983069085,749.1719,749,1048,-59.82,144,13,1872,751,19077,699,8.2301432,1.5,150,02_lde_aligned\frame_0079_aligned.csv
80,509372867571,751.1406,751,875,-59.38,120,13,1560,753,16522,701,8.3256662,1.5,150,02_lde_aligned\frame_0080_aligned.csv
81,515762666608,751.3437,751,1196,-60.79,140,13,1820,754,20183,701,8.4362441,1.5,150,02_lde_aligned\frame_0081_aligned.csv
82,522152465058,753.625,753,862,-59.05,112,13,1456,756,16621,703,8.5323001,1.5,150,02_lde_aligned\frame_0082_aligned.csv
83,528542264049,745.7344,745,1198,-60.59,156,13,2028,748,20312,695,8.6286673,1.5,150,02_lde_aligned\frame_0083_aligned.csv
84,534932062464,746.9687,746,876,-59.16,116,13,1508,749,16899,696,8.7225913,1.5,150,02_lde_aligned\frame_0084_aligned.csv
85,541321860882,747,747,874,-59.22,100,13,1300,749,16918,697,8.8342586,1.5,150,02_lde_aligned\frame_0085_aligned.csv
86,547711659805,747.1719,747,971,-58.94,108,13,1404,749,18452,697,8.9288167,1.5,131,02_lde_aligned\frame_0086_aligned.csv
87,554101458170,747,747,871,-59.41,96,13,1248,749,16691,697,9.0241793,1.5,150,02_lde_aligned\frame_0087_aligned.csv
88,560491257045,745.9219,745,1120,-60.19,156,13,2028,748,19699,695,9.1361735,1.5,150,02_lde_aligned\frame_0088_aligned.csv
89,566881055376,753.4687,753,876,-59.6,120,13,1560,756,17002,703,9.2301997,1.5,150,02_lde_aligned\frame_0089_aligned.csv
