FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,START,tag_anchor_dist_m,n_samples,raw_csv,aligned_csv,elapsed_s
1,3238098160,753.4375,753,1568,-82.14,703,1,150,01_raw_frames\frame_0001.csv,02_lde_aligned\frame_0001_aligned.csv,0
2,9627899903,749.6094,749,934,-68.27,699,1,150,01_raw_frames\frame_0002.csv,02_lde_aligned\frame_0002_aligned.csv,0.100000653279622
3,16017632487,753.2344,753,1168,-72.13,703,1,150,01_raw_frames\frame_0003.csv,02_lde_aligned\frame_0003_aligned.csv,0.200000224218124
4,22407494990,746.6875,746,904,-66.93,696,1,150,01_raw_frames\frame_0004.csv,02_lde_aligned\frame_0004_aligned.csv,0.300001828394181
5,28797296544,748.2344,748,1658,-85.79,698,1,150,01_raw_frames\frame_0005.csv,02_lde_aligned\frame_0005_aligned.csv,0.400002478715946
6,35187098351,746.7187,746,1980,-92.06,696,1,150,01_raw_frames\frame_0006.csv,02_lde_aligned\frame_0006_aligned.csv,0.50000313299717
7,41576909200,746.7812,746,968,-69.25,696,1,150,01_raw_frames\frame_0007.csv,02_lde_aligned\frame_0007_aligned.csv,0.600003928786058
8,47966710532,746.4687,746,1322,-81.56,696,1,150,01_raw_frames\frame_0008.csv,02_lde_aligned\frame_0008_aligned.csv,0.700004575633514
9,54356512566,746.7812,746,1423,-79.54,696,1,150,01_raw_frames\frame_0009.csv,02_lde_aligned\frame_0009_aligned.csv,0.800005233467298
10,60746314171,748,748,1173,-71.03,698,1,150,01_raw_frames\frame_0010.csv,02_lde_aligned\frame_0010_aligned.csv,0.900005884587215
11,67136115383,744.5312,744,1291,-79.46,694,1,150,01_raw_frames\frame_0011.csv,02_lde_aligned\frame_0011_aligned.csv,1.00000652955667
12,73525916930,754.3437,754,1541,-84.46,704,1,150,01_raw_frames\frame_0012.csv,02_lde_aligned\frame_0012_aligned.csv,1.10000717976888
13,79915649132,751.9219,751,2006,-97.5,701,1,150,01_raw_frames\frame_0013.csv,02_lde_aligned\frame_0013_aligned.csv,1.20000674472907
14,86305511197,746.4375,746,1066,-67.74,696,1,150,01_raw_frames\frame_0014.csv,02_lde_aligned\frame_0014_aligned.csv,1.30000834205041
15,92695312439,746.5781,746,1099,-71.49,696,1,150,01_raw_frames\frame_0015.csv,02_lde_aligned\frame_0015_aligned.csv,1.40000898748936
16,99085122815,747.1875,747,799,-82.54,697,1,150,01_raw_frames\frame_0016.csv,02_lde_aligned\frame_0016_aligned.csv,1.50000977587578
17,105474924207,751.9219,751,954,-65.81,701,1,150,01_raw_frames\frame_0017.csv,02_lde_aligned\frame_0017_aligned.csv,1.60001042366223
18,111864725358,747.5937,747,1338,-72.23,697,1,150,01_raw_frames\frame_0018.csv,02_lde_aligned\frame_0018_aligned.csv,1.70001106767703
19,118254526905,752.375,752,312,-106.46,702,1,150,01_raw_frames\frame_0019.csv,02_lde_aligned\frame_0019_aligned.csv,1.80001171788925
20,124644327890,748.5625,748,890,-64.34,698,1,150,01_raw_frames\frame_0020.csv,02_lde_aligned\frame_0020_aligned.csv,1.90001235930614
21,131034129560,752.3125,752,922,-66.25,702,1,150,01_raw_frames\frame_0021.csv,02_lde_aligned\frame_0021_aligned.csv,2.00001301144331
22,137423930293,742.5469,742,1965,-90.43,692,1,150,01_raw_frames\frame_0022.csv,02_lde_aligned\frame_0022_aligned.csv,2.10001364891639
23,143813731496,748.8125,748,1265,-79.78,698,1,150,01_raw_frames\frame_0023.csv,02_lde_aligned\frame_0023_aligned.csv,2.20001429374499
