FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,START,tag_anchor_dist_m,n_samples,raw_csv,aligned_csv
1,4476576326,746.4219,746,995,-66.58,696,0.7,150,01_raw_frames\frame_0001.csv,02_lde_aligned\frame_0001_aligned.csv
2,10866355481,750.3437,750,946,-66.44,700,0.7,150,01_raw_frames\frame_0002.csv,02_lde_aligned\frame_0002_aligned.csv
3,17256134131,744.875,744,1021,-66.49,694,0.7,150,01_raw_frames\frame_0003.csv,02_lde_aligned\frame_0003_aligned.csv
4,23645913318,749.7969,749,990,-66.33,699,0.7,150,01_raw_frames\frame_0004.csv,02_lde_aligned\frame_0004_aligned.csv
5,30035691946,752.1094,752,1069,-66.55,702,0.7,150,01_raw_frames\frame_0005.csv,02_lde_aligned\frame_0005_aligned.csv
6,36425471100,747.7656,747,904,-66.3,697,0.7,150,01_raw_frames\frame_0006.csv,02_lde_aligned\frame_0006_aligned.csv
7,42815250216,750.5781,750,928,-66.3,700,0.7,150,01_raw_frames\frame_0007.csv,02_lde_aligned\frame_0007_aligned.csv
8,49205028811,752.875,752,920,-66.32,702,0.7,150,01_raw_frames\frame_0008.csv,02_lde_aligned\frame_0008_aligned.csv
9,55594807913,747.7187,747,1064,-66.35,697,0.7,150,01_raw_frames\frame_0009.csv,02_lde_aligned\frame_0009_aligned.csv
10,61984586494,750.3125,750,1007,-67.11,700,0.7,150,01_raw_frames\frame_0010.csv,02_lde_aligned\frame_0010_aligned.csv
11,68374365582,752.3125,752,938,-67.08,702,0.7,150,01_raw_frames\frame_0011.csv,02_lde_aligned\frame_0011_aligned.csv
12,74764144643,746.25,746,977,-66.61,696,0.7,150,01_raw_frames\frame_0012.csv,02_lde_aligned\frame_0012_aligned.csv
13,81153923205,747.2969,747,982,-67.21,697,0.7,150,01_raw_frames\frame_0013.csv,02_lde_aligned\frame_0013_aligned.csv
14,87543702280,750.5625,750,931,-66.25,700,0.7,150,01_raw_frames\frame_0014.csv,02_lde_aligned\frame_0014_aligned.csv
15,93933480822,752.0469,752,1039,-66.6,702,0.7,150,01_raw_frames\frame_0015.csv,02_lde_aligned\frame_0015_aligned.csv
16,100323259873,752.8437,752,923,-66.29,702,0.7,150,01_raw_frames\frame_0016.csv,02_lde_aligned\frame_0016_aligned.csv
17,106713038930,746.5937,746,988,-66.15,696,0.7,150,01_raw_frames\frame_0017.csv,02_lde_aligned\frame_0017_aligned.csv
18,113102817459,748.25,748,1063,-66.55,698,0.7,150,01_raw_frames\frame_0018.csv,02_lde_aligned\frame_0018_aligned.csv
19,119492596496,750.5625,750,959,-66.26,700,0.7,150,01_raw_frames\frame_0019.csv,02_lde_aligned\frame_0019_aligned.csv
20,125882375027,751.375,751,1020,-66.3,701,0.7,150,01_raw_frames\frame_0020.csv,02_lde_aligned\frame_0020_aligned.csv
21,132272154063,752.8125,752,1002,-66.28,702,0.7,150,01_raw_frames\frame_0021.csv,02_lde_aligned\frame_0021_aligned.csv
22,138661933124,747,747,899,-66.14,697,0.7,150,01_raw_frames\frame_0022.csv,02_lde_aligned\frame_0022_aligned.csv
23,145051711633,748.5781,748,925,-66.23,698,0.7,150,01_raw_frames\frame_0023.csv,02_lde_aligned\frame_0023_aligned.csv
24,151441490669,749.6562,749,950,-66.53,699,0.7,150,01_raw_frames\frame_0024.csv,02_lde_aligned\frame_0024_aligned.csv
25,157831269720,751.1875,751,903,-66.03,701,0.7,150,01_raw_frames\frame_0025.csv,02_lde_aligned\frame_0025_aligned.csv
26,164221048239,752.6719,752,952,-65.87,702,0.7,150,01_raw_frames\frame_0026.csv,02_lde_aligned\frame_0026_aligned.csv
27,170610827259,753.7344,753,918,-65.89,703,0.7,150,01_raw_frames\frame_0027.csv,02_lde_aligned\frame_0027_aligned.csv
28,177000605777,747.5937,747,936,-66.58,697,0.7,150,01_raw_frames\frame_0028.csv,02_lde_aligned\frame_0028_aligned.csv
29,183390384791,748.7969,748,930,-66.24,698,0.7,150,01_raw_frames\frame_0029.csv,02_lde_aligned\frame_0029_aligned.csv
