sample,real,imag,amplitude,amplitude_norm
696,77,-132,152.82,0.1454
697,229,29,230.83,0.21963
698,136,101,169.4,0.16118
699,6,101,101.18,0.09627
700,180,267,322.01,0.30638
701,307,583,658.89,0.62692
702,268,670,721.61,0.6866
703,143,374,400.41,0.38098
704,-30,164,166.72,0.15863
705,52,98,110.94,0.10556
706,157,71,172.31,0.16395
707,323,3,323.01,0.30734
708,472,-138,491.76,0.4679
709,312,-160,350.63,0.33362
710,232,-140,270.97,0.25782
711,119,-152,193.04,0.18367
712,110,-120,162.79,0.15489
713,113,20,114.76,0.10919
714,59,10,59.84,0.05694
715,-85,-77,114.69,0.10913
716,-205,-218,299.25,0.28473
717,-136,-308,336.69,0.32035
718,87,-294,306.6,0.29172
719,253,84,266.58,0.25364
720,250,189,313.4,0.29819
721,159,109,192.77,0.18342
722,36,69,77.83,0.07405
723,34,26,42.8,0.04072
724,138,96,168.11,0.15995
725,256,218,336.24,0.31993
726,381,148,408.74,0.3889
727,215,140,256.56,0.24411
728,20,94,96.1,0.09144
729,18,120,121.34,0.11545
730,42,250,253.5,0.2412
731,100,212,234.4,0.22303
732,137,90,163.92,0.15596
733,142,-70,158.32,0.15063
734,59,-164,174.29,0.16583
735,92,-18,93.74,0.0892
736,111,132,172.47,0.1641
737,145,135,198.12,0.1885
738,81,86,118.14,0.11241
739,24,163,164.76,0.15676
740,-5,177,177.07,0.16848
741,-23,93,95.8,0.09115
742,44,53,68.88,0.06554
743,124,149,193.85,0.18444
744,61,144,156.39,0.1488
745,-55,-462,465.26,0.44269
746,157,-4566,4568.7,4.347
747,4060,-13328,13932.67,13.25658
748,11189,-14823,18571.89,17.67068
749,16407,-9733,19076.71,18.15101
750,13531,-2642,13786.52,13.11753
751,-1691,2818,3286.43,3.12695
752,-8973,2135,9223.5,8.77593
753,-3525,-826,3620.48,3.4448
754,1149,-1022,1537.75,1.46313
755,425,1239,1309.86,1.2463
756,-1562,5096,5330.02,5.07137
757,-2703,9442,9821.28,9.3447
758,-4359,10539,11404.88,10.85146
759,-5211,5718,7736.28,7.36088
760,-3718,-14,3718.03,3.53761
761,-2197,-1652,2748.8,2.61542
762,-1910,540,1984.87,1.88855
763,-1517,2029,2533.4,2.41047
764,1996,636,2094.88,1.99322
765,8005,-1611,8165.5,7.76926
766,9711,-1982,9911.2,9.43025
767,4081,23,4081.06,3.88303
768,-645,2319,2407.03,2.29023
769,-1507,3066,3416.34,3.25057
770,-938,552,1088.37,1.03556
771,-1862,-3697,4139.43,3.93856
772,-3621,-5999,7007.11,6.66709
773,-4204,-4253,5980.1,5.68992
774,-4259,-1860,4647.44,4.42192
775,-4191,-819,4270.27,4.06306
776,-2939,-797,3045.15,2.89738
777,-1232,-853,1498.48,1.42576
778,-572,-676,885.53,0.84256
779,-1020,-200,1039.42,0.98898
780,-991,45,992.02,0.94388
781,-500,135,517.9,0.49277
782,-282,-264,386.29,0.36755
783,-217,-967,991.05,0.94296
784,-581,-1474,1584.37,1.50749
785,-924,-915,1300.38,1.23728
786,-900,299,948.37,0.90235
787,-414,1155,1226.96,1.16742
788,367,985,1051.15,1.00014
789,884,469,1000.71,0.95215
790,739,550,921.21,0.8765
791,43,1044,1044.89,0.99418
792,-737,1020,1258.4,1.19734
793,-874,617,1069.84,1.01793
794,-404,545,678.41,0.64549
795,389,892,973.13,0.92591
796,412,1050,1127.94,1.0732
797,-196,885,906.44,0.86246
798,-589,754,956.78,0.91036
799,-393,731,829.95,0.78967
800,-82,844,847.97,0.80683
801,34,832,832.69,0.79229
802,114,816,823.92,0.78394
803,37,912,912.75,0.86846
804,-44,1024,1024.94,0.97521
805,-153,840,853.82,0.81239
806,26,564,564.6,0.5372
807,341,595,685.79,0.65251
808,208,731,760.02,0.72314
809,-37,828,828.83,0.78861
810,26,682,682.5,0.64938
811,589,493,768.1,0.73082
812,812,640,1033.9,0.98373
813,635,997,1182.05,1.12469
814,167,1204,1215.53,1.15654
815,-237,567,614.54,0.58472
816,-264,237,354.77,0.33756
817,-7,494,494.05,0.47008
818,-87,766,770.92,0.73352
819,-297,661,724.66,0.68949
820,-491,523,717.36,0.68255
821,-498,527,725.07,0.68989
822,-455,471,654.88,0.6231
823,-337,401,523.8,0.49839
824,36,301,303.15,0.28843
825,98,456,466.41,0.44378
826,-70,488,492.99,0.46907
827,-225,543,587.77,0.55925
828,-169,588,611.8,0.58212
829,-14,891,891.11,0.84787
830,123,1025,1032.35,0.98226
831,-19,743,743.24,0.70718
832,-158,546,568.4,0.54082
833,-207,607,641.33,0.6102
834,-9,537,537.08,0.51101
835,163,433,462.66,0.44021
836,164,328,366.72,0.34892
837,119,229,258.07,0.24555
838,44,251,254.83,0.24246
839,-26,290,291.16,0.27703
840,6,371,371.05,0.35304
841,-4,460,460.02,0.43769
842,330,604,688.27,0.65487
843,886,624,1083.68,1.0311
844,1048,837,1341.22,1.27614
845,771,1256,1473.76,1.40225
