FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,STD_NOISE,NTM,NOISE_THRESH,PEAK_IDX,PEAK_AMPL,START,elapsed_s,tag_anchor_dist_m,n_samples,aligned_csv
45,283165245276,747.9062,747,998,-62.28,124,13,1612,750,17704,697,4.7691705,1.5,150,02_lde_aligned\frame_0045_aligned.csv
46,289554996317,751.4219,751,991,-61.74,124,13,1612,753,17569,701,4.8799531,1.5,150,02_lde_aligned\frame_0046_aligned.csv
47,295944794951,747.2031,747,976,-61.99,124,13,1612,750,17313,697,4.9708721,1.5,150,02_lde_aligned\frame_0047_aligned.csv
48,302334593559,750.9531,750,953,-62.49,124,13,1612,753,17129,700,5.0666124,1.5,150,02_lde_aligned\frame_0048_aligned.csv
49,308724392128,752.9687,752,932,-62.87,124,13,1612,755,16627,702,5.1775491,1.5,150,02_lde_aligned\frame_0049_aligned.csv
50,315114313535,746.875,746,945,-63.08,124,13,1612,749,16736,696,5.2908603,1.5,138,02_lde_aligned\frame_0050_aligned.csv
51,321504112045,749.1719,749,938,-62.84,116,13,1508,751,16701,699,5.3759205,1.5,150,02_lde_aligned\frame_0051_aligned.csv
52,327893910528,750.4687,750,938,-62.37,104,13,1352,752,16407,700,5.4717089,1.5,150,02_lde_aligned\frame_0052_aligned.csv
53,334283708978,751.375,751,979,-61.56,112,13,1456,753,17502,701,5.5685064,1.5,150,02_lde_aligned\frame_0053_aligned.csv
54,340673431629,752.0469,752,1004,-61.65,116,13,1508,755,16796,702,5.679231,1.5,150,02_lde_aligned\frame_0054_aligned.csv
55,347063182920,751.5937,751,985,-61.6,120,13,1560,753,17530,701,5.7755401,1.5,150,02_lde_aligned\frame_0055_aligned.csv
56,353453104190,751.0625,751,997,-62.18,116,13,1508,753,17653,701,5.8701063,1.5,150,02_lde_aligned\frame_0056_aligned.csv
57,359842826742,750.8125,750,991,-61.95,120,13,1560,753,17181,700,5.9821601,1.5,150,02_lde_aligned\frame_0057_aligned.csv
58,366232577976,748.9687,748,982,-62.56,116,13,1508,751,17140,698,6.0761996,1.5,150,02_lde_aligned\frame_0058_aligned.csv
59,372622499118,746.9375,746,1029,-62.14,120,13,1560,749,18031,696,6.1794718,1.5,150,02_lde_aligned\frame_0059_aligned.csv
60,379012221602,753.125,753,1032,-61.33,112,13,1456,757,17844,703,6.2729862,1.5,150,02_lde_aligned\frame_0060_aligned.csv
61,385401972735,751.0781,751,993,-62.28,104,13,1352,753,17115,701,6.3762455,1.5,150,02_lde_aligned\frame_0061_aligned.csv
62,391791893825,747.8594,747,989,-62,124,13,1612,750,17141,697,6.4721078,1.5,150,02_lde_aligned\frame_0062_aligned.csv
63,398181632590,751.6875,751,968,-61.7,116,13,1508,753,16737,701,6.5672569,1.5,150,02_lde_aligned\frame_0063_aligned.csv
64,404571430742,748.1875,748,1041,-61.59,128,13,1664,750,17624,698,6.678997,1.5,150,02_lde_aligned\frame_0064_aligned.csv
65,410961228865,751.9844,751,991,-62.22,124,13,1612,753,16771,701,6.7796265,1.5,150,02_lde_aligned\frame_0065_aligned.csv
66,417351026936,745.9687,745,1005,-62.27,120,13,1560,747,17047,695,6.8686775,1.5,150,02_lde_aligned\frame_0066_aligned.csv
67,423740824997,748.6719,748,1044,-61.54,112,13,1456,750,17904,698,6.9791274,1.5,150,02_lde_aligned\frame_0067_aligned.csv
68,430130606117,751.7969,751,953,-61.07,108,13,1404,756,17011,701,7.0742453,1.5,150,02_lde_aligned\frame_0068_aligned.csv
69,436520404108,752.5312,752,947,-61.59,116,13,1508,754,16337,702,7.168571,1.5,150,02_lde_aligned\frame_0069_aligned.csv
70,442910202060,745.6562,745,1019,-61.58,112,13,1456,747,17818,695,7.2811684,1.5,150,02_lde_aligned\frame_0070_aligned.csv
71,449299956998,746.1875,746,1012,-61.79,116,13,1508,749,17162,696,7.3725702,1.5,150,02_lde_aligned\frame_0071_aligned.csv
72,455689754887,746.9531,746,980,-61.34,112,13,1456,751,17257,696,7.469282,1.5,150,02_lde_aligned\frame_0072_aligned.csv
73,462079671541,746.4219,746,1004,-62.69,108,13,1404,749,17210,696,7.5885293,1.5,150,02_lde_aligned\frame_0073_aligned.csv
74,468469469388,745.4062,745,1028,-61.81,116,13,1508,748,17461,695,7.6750365,1.5,150,02_lde_aligned\frame_0074_aligned.csv
75,474859267199,752.5781,752,1001,-61.93,112,13,1456,755,17355,702,7.7706367,1.5,150,02_lde_aligned\frame_0075_aligned.csv
76,481248989206,750.3125,750,978,-62,116,13,1508,753,16384,700,7.8711354,1.5,150,02_lde_aligned\frame_0076_aligned.csv
77,487638739853,748.9219,748,1036,-61.31,124,13,1612,752,18033,698,7.975956,1.5,150,02_lde_aligned\frame_0077_aligned.csv
78,494028660493,747.2969,747,1005,-61.15,124,13,1612,751,18121,697,8.071533,1.5,150,02_lde_aligned\frame_0078_aligned.csv
79,500418382413,752.1719,752,928,-61.23,120,13,1560,756,16541,702,8.1666031,1.5,150,02_lde_aligned\frame_0079_aligned.csv
80,506808132989,749.1719,749,969,-61.45,112,13,1456,753,17277,699,8.2788417,1.5,150,02_lde_aligned\frame_0080_aligned.csv
81,513198053520,752.4687,752,955,-62.02,120,13,1560,754,16947,702,8.374959,1.5,150,02_lde_aligned\frame_0081_aligned.csv
