taps_from_fp,mti_mean_abs_frame_difference,background_mti_mean,threshold,detected_peak
-50,0.0945570766632669,0.0973862517916708,0.890640633132122,0
-49.5,0.090455883744897,0.120588740229165,0.890640633132122,0
-49,0.0871479203571443,0.103639891979168,0.890640633132122,0
-48.5,0.0933481423061227,0.081887992281253,0.890640633132122,0
-48,0.081700937795921,0.0459732219479176,0.890640633132122,0
-47.5,0.096702994275509,0.067357238729163,0.890640633132122,0
-47,0.111202688030612,0.0890534644791751,0.890640633132122,0
-46.5,0.119625306908162,0.109032413989586,0.890640633132122,0
-46,0.126253929459184,0.120549316468753,0.890640633132122,0
-45.5,0.119188480489795,0.12497502164583,0.890640633132122,0
-45,0.119494804183676,0.1089362985,0.890640633132122,0
-44.5,0.130577168999999,0.101971584125,0.890640633132122,0
-44,0.127446144734691,0.0993770841458328,0.890640633132122,0
-43.5,0.126256956887755,0.103217578958334,0.890640633132122,0
-43,0.131550121438781,0.105592191312496,0.890640633132122,0
-42.5,0.101720111744904,0.105867617447912,0.890640633132122,0
-42,0.0850288596224525,0.0954642763437454,0.890640633132122,0
-41.5,0.0912359796020401,0.08549171434375,0.890640633132122,0
-41,0.0968239805408184,0.0825785111979188,0.890640633132122,0
-40.5,0.107420300377553,0.0843326180937498,0.890640633132122,0
-40,0.107880971908163,0.0786823030937513,0.890640633132122,0
-39.5,0.10343879208163,0.0835235910520826,0.890640633132122,0
-39,0.105723442387756,0.0840786437395806,0.890640633132122,0
-38.5,0.103790704673467,0.0936002247187468,0.890640633132122,0
-38,0.0908357595714294,0.096079580093749,0.890640633132122,0
-37.5,0.103269137806121,0.0989805019375017,0.890640633132122,0
-37,0.0946441920714284,0.0970998109166689,0.890640633132122,0
-36.5,0.0951887375510223,0.102745489770835,0.890640633132122,0
-36,0.0783580579795938,0.0818149787291691,0.890640633132122,0
-35.5,0.0571176390918385,0.0536898397499992,0.890640633132122,0
-35,0.0660159219897979,0.035739085312499,0.890640633132122,0
-34.5,0.0769945893571451,0.0641830847604181,0.890640633132122,0
-34,0.0931956753775535,0.081351064343751,0.890640633132122,0
-33.5,0.106606702969389,0.0916508618020838,0.890640633132122,0
-33,0.0975330504795927,0.0971624831562514,0.890640633132122,0
-32.5,0.093809977479589,0.0908827104166634,0.890640633132122,0
-32,0.103351653438773,0.0670703001250004,0.890640633132122,0
-31.5,0.109873139479593,0.10204244597916,0.890640633132122,0
-31,0.105501609622453,0.109080559541661,0.890640633132122,0
-30.5,0.0989426942755111,0.0996475573958369,0.890640633132122,0
-30,0.0940925659081698,0.0863402640416669,0.890640633132122,0
-29.5,0.0863199161632703,0.0814918100208356,0.890640633132122,0
-29,0.112226344591839,0.0800247418541698,0.890640633132122,0
-28.5,0.131493099887757,0.0877511269791678,0.890640633132122,0
-28,0.128931130581637,0.0908946545624989,0.890640633132122,0
-27.5,0.134102897683674,0.100247207239585,0.890640633132122,0
-27,0.11592924992857,0.115555268927087,0.890640633132122,0
-26.5,0.106070350367342,0.107108239447913,0.890640633132122,0
-26,0.104546616877549,0.11389482986458,0.890640633132122,0
-25.5,0.0955568361122436,0.101186034625003,0.890640633132122,0
-25,0.0921306652142872,0.0662208627708336,0.890640633132122,0
-24.5,0.106763474326531,0.0977687165833389,0.890640633132122,0
-24,0.107767989938777,0.0865203523541662,0.890640633132122,0
-23.5,0.0964467256734715,0.0822389964999963,0.890640633132122,0
-23,0.10315633769388,0.0812253066458413,0.890640633132122,0
-22.5,0.118724459316328,0.108544967927077,0.890640633132122,0
-22,0.104042065540813,0.0952467428854175,0.890640633132122,0
-21.5,0.094425807091837,0.09030992229167,0.890640633132122,0
-21,0.102349064561228,0.101004056666665,0.890640633132122,0
-20.5,0.109314061081635,0.106051072416664,0.890640633132122,0
-20,0.112221323979594,0.0995923830833321,0.890640633132122,0
-19.5,0.113448706010203,0.103254716635418,0.890640633132122,0
-19,0.11912923184694,0.099537283427082,0.890640633132122,0
-18.5,0.110895237479595,0.0921151470937535,0.890640633132122,0
-18,0.0928699490102053,0.0852350362812547,0.890640633132122,0
-17.5,0.0912865651428581,0.0855204252395846,0.890640633132122,0
-17,0.0938426975510187,0.0911934531770843,0.890640633132122,0
