FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,START,tag_anchor_dist_m,n_samples,csv_file
1,7136131349,750.6719,750,857,-58.19,700,0.3,150,frame_0001.csv
2,115826565146,746.125,746,885,-56.47,696,0.3,150,frame_0002.csv
3,224516702494,750.8125,750,972,-55.77,700,0.3,150,frame_0003.csv
4,333206976693,749.4219,749,889,-55.48,699,0.3,150,frame_0004.csv
5,441897243119,747.3281,747,940,-57.64,697,0.3,150,frame_0005.csv
6,550587648815,752.5781,752,1085,-59.49,702,0.3,150,frame_0006.csv
7,659277760471,746.2031,746,1021,-57.51,696,0.3,150,frame_0007.csv
8,767968009399,751.3281,751,911,-57.35,701,0.3,150,frame_0008.csv
9,876658251413,750.5469,750,847,-56.92,700,0.3,150,frame_0009.csv
10,985348490064,753.0937,753,894,-56.72,703,0.3,150,frame_0010.csv
11,1094038717888,746.2187,746,927,-57.12,696,0.3,150,frame_0011.csv
12,103217313683,747.0156,747,847,-56.15,697,0.3,150,frame_0012.csv
13,211907679197,747.1719,747,1131,-58.89,697,0.3,150,frame_0013.csv
14,320597744717,749.5469,749,949,-57.59,699,0.3,150,frame_0014.csv
15,429287950989,751.0469,751,921,-58.47,701,0.3,150,frame_0015.csv
16,537978150534,750.9375,750,856,-57.89,700,0.3,150,frame_0016.csv
17,646668489505,753.7344,753,858,-56.68,703,0.3,150,frame_0017.csv
18,755358535873,751.3594,751,951,-56.71,701,0.3,150,frame_0018.csv
