FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,STD_NOISE,NTM,NOISE_THRESH,PEAK_IDX,PEAK_AMPL,START,elapsed_s,tag_anchor_dist_m,n_samples,aligned_csv
45,285998169240,746.3437,746,1129,-59.53,156,13,2028,749,19662,696,4.8283034,1.5,150,02_lde_aligned\frame_0045_aligned.csv
46,292387964728,748.2187,748,937,-59.03,136,13,1768,750,17956,698,4.9334086,1.5,150,02_lde_aligned\frame_0046_aligned.csv
47,298777760144,750.2187,750,1212,-60.27,156,13,2028,753,20186,700,5.0271352,1.5,150,02_lde_aligned\frame_0047_aligned.csv
48,305167556078,750.6875,750,892,-58.47,108,13,1404,753,17461,700,5.1303599,1.5,150,02_lde_aligned\frame_0048_aligned.csv
49,311557351471,751.7031,751,1063,-59.16,152,13,1976,754,19225,701,5.2254932,1.5,137,02_lde_aligned\frame_0049_aligned.csv
50,317947147355,753.2656,753,1146,-59.77,140,13,1820,755,19375,703,5.3341154,1.5,150,02_lde_aligned\frame_0050_aligned.csv
51,324336942710,753.6875,753,914,-58.32,128,13,1664,756,17799,703,5.4388128,1.5,150,02_lde_aligned\frame_0051_aligned.csv
52,330726738055,753.0781,753,978,-58.37,136,13,1768,755,18525,703,5.5359954,1.5,135,02_lde_aligned\frame_0052_aligned.csv
53,337116533884,753.0312,753,866,-58.28,120,13,1560,755,16630,703,5.6284129,1.5,150,02_lde_aligned\frame_0053_aligned.csv
54,343506329169,753.1094,753,911,-58.07,132,13,1716,755,17686,703,5.7248613,1.5,150,02_lde_aligned\frame_0054_aligned.csv
55,349896124984,751.5937,751,1037,-58.77,156,13,2028,754,18987,701,5.8377009,1.5,130,02_lde_aligned\frame_0055_aligned.csv
56,356285920228,751.6562,751,869,-57.92,108,13,1404,754,16878,701,5.9241048,1.5,150,02_lde_aligned\frame_0056_aligned.csv
57,362675715487,749.9531,749,993,-58.12,128,13,1664,752,18609,699,6.0274891,1.5,150,02_lde_aligned\frame_0057_aligned.csv
58,369065511246,748.6875,748,1144,-59.35,164,13,2132,751,19397,698,6.1362418,1.5,150,02_lde_aligned\frame_0058_aligned.csv
59,375455306427,746.3906,746,883,-58.1,100,13,1300,749,16607,696,6.2299914,1.5,150,02_lde_aligned\frame_0059_aligned.csv
60,381845102151,752.3281,752,890,-58.36,120,13,1560,754,17172,702,6.3340505,1.5,150,02_lde_aligned\frame_0060_aligned.csv
61,388234897338,750.25,750,960,-58.37,116,13,1508,752,18219,700,6.4299115,1.5,150,02_lde_aligned\frame_0061_aligned.csv
62,394624692993,747.8594,747,1029,-58.97,152,13,1976,750,18954,697,6.5322293,1.5,150,02_lde_aligned\frame_0062_aligned.csv
63,401014488150,752.5625,752,1021,-58.83,116,13,1508,755,18832,702,6.627822,1.5,150,02_lde_aligned\frame_0063_aligned.csv
64,407404338537,748.9844,748,913,-58.18,108,13,1404,751,17748,698,6.7234086,1.5,150,02_lde_aligned\frame_0064_aligned.csv
65,413794075812,745.2812,745,1031,-59.31,128,13,1664,748,18875,695,6.8339159,1.5,150,02_lde_aligned\frame_0065_aligned.csv
66,420183873967,750.2031,750,941,-58.66,128,13,1664,752,18043,700,6.9303414,1.5,150,02_lde_aligned\frame_0066_aligned.csv
67,426573669537,746.3594,746,896,-58.5,100,13,1300,749,17202,696,7.03697,1.5,150,02_lde_aligned\frame_0067_aligned.csv
68,432963464604,749.5312,749,876,-58.64,132,13,1716,752,16417,699,7.1348944,1.5,150,02_lde_aligned\frame_0068_aligned.csv
69,439353260173,752.9219,752,1051,-59.15,156,13,2028,755,19123,702,7.2304496,1.5,150,02_lde_aligned\frame_0069_aligned.csv
70,445743055155,748.3906,748,875,-57.93,128,13,1664,751,16839,698,7.3249109,1.5,150,02_lde_aligned\frame_0070_aligned.csv
71,452132850709,752.2969,752,1013,-58.49,144,13,1872,754,18729,702,7.4351797,1.5,150,02_lde_aligned\frame_0071_aligned.csv
72,458522645717,746.1719,746,949,-58.31,136,13,1768,748,18144,696,7.5342201,1.5,150,02_lde_aligned\frame_0072_aligned.csv
73,464912441183,749.4531,749,1072,-58.97,132,13,1716,752,19138,699,7.6489451,1.5,97,02_lde_aligned\frame_0073_aligned.csv
74,471302236147,751.1406,751,920,-57.85,116,13,1508,753,17770,701,7.7290558,1.5,150,02_lde_aligned\frame_0074_aligned.csv
75,477692031570,752.875,752,870,-58.54,100,13,1300,755,16621,702,7.8247533,1.5,150,02_lde_aligned\frame_0075_aligned.csv
76,484081826512,746.9687,746,1022,-58.62,124,13,1612,749,18889,696,7.9346252,1.5,150,02_lde_aligned\frame_0076_aligned.csv
77,490471621947,749.0156,749,1193,-59.92,172,13,2236,751,20232,699,8.024806,1.5,150,02_lde_aligned\frame_0077_aligned.csv
78,496861416835,750.0156,750,869,-58.87,120,13,1560,752,16519,700,8.1271077,1.5,150,02_lde_aligned\frame_0078_aligned.csv
79,503251212201,750.1094,750,901,-58.03,112,13,1456,752,17511,700,8.2378351,1.5,130,02_lde_aligned\frame_0079_aligned.csv
80,509641007072,751.0937,751,906,-58.24,108,13,1404,753,17553,701,8.3310123,1.5,150,02_lde_aligned\frame_0080_aligned.csv
81,516030802440,751.2187,751,1136,-59.95,132,13,1716,754,19703,701,8.4242917,1.5,150,02_lde_aligned\frame_0081_aligned.csv
82,522420597262,752.0625,752,969,-59.39,140,13,1820,754,18380,702,8.5377032,1.5,150,02_lde_aligned\frame_0082_aligned.csv
83,528810392575,751.0781,751,915,-59.26,104,13,1352,753,17739,701,8.6387253,1.5,150,02_lde_aligned\frame_0083_aligned.csv
84,535200187351,750.5781,750,875,-58.61,132,13,1716,753,16972,700,8.7251519,1.5,150,02_lde_aligned\frame_0084_aligned.csv
85,541589982619,750.8906,750,905,-58.66,124,13,1612,753,17643,700,8.8277915,1.5,103,02_lde_aligned\frame_0085_aligned.csv
86,547979777389,749.5469,749,1009,-59.42,108,13,1404,752,18782,699,8.9378181,1.5,150,02_lde_aligned\frame_0086_aligned.csv
87,554369572644,747.7812,747,1202,-60.54,180,13,2340,750,20270,697,9.0329438,1.5,150,02_lde_aligned\frame_0087_aligned.csv
88,560759367851,746.2656,746,888,-58.81,100,13,1300,748,17201,696,9.1354572,1.5,150,02_lde_aligned\frame_0088_aligned.csv
89,567149162547,753.0156,753,862,-59.09,124,13,1612,755,16349,703,9.2409134,1.5,122,02_lde_aligned\frame_0089_aligned.csv
90,573538957724,750.9062,750,931,-58.81,132,13,1716,753,17971,700,9.3333846,1.5,150,02_lde_aligned\frame_0090_aligned.csv
91,579928752391,748.2031,748,871,-58.6,104,13,1352,750,16757,698,9.4288886,1.5,103,02_lde_aligned\frame_0091_aligned.csv
92,586318547554,753.75,753,863,-58.95,120,13,1560,756,16461,703,9.5385863,1.5,150,02_lde_aligned\frame_0092_aligned.csv
93,592708342178,750.125,750,872,-58.47,96,13,1248,752,16899,700,9.6305104,1.5,150,02_lde_aligned\frame_0093_aligned.csv
94,599098137291,747.1406,747,907,-58.34,112,13,1456,749,17585,697,9.7385501,1.5,150,02_lde_aligned\frame_0094_aligned.csv
95,605487931884,751.1562,751,905,-58.35,108,13,1404,753,17581,701,9.8326992,1.5,150,02_lde_aligned\frame_0095_aligned.csv
96,611877726974,748.0625,748,1213,-60.23,152,13,1976,750,20161,698,9.9365453,1.5,150,02_lde_aligned\frame_0096_aligned.csv
97,618267522058,752.125,752,1151,-60.13,140,13,1820,754,19816,702,10.0239583,1.5,150,02_lde_aligned\frame_0097_aligned.csv
98,624657316574,747.6875,747,882,-59.05,116,13,1508,750,17249,697,10.1264074,1.5,150,02_lde_aligned\frame_0098_aligned.csv
99,631047111644,750.7812,750,869,-59.05,124,13,1612,753,16677,700,10.2343976,1.5,150,02_lde_aligned\frame_0099_aligned.csv
100,637436906137,746.1094,746,888,-58.87,92,13,1196,748,17283,696,10.3296688,1.5,150,02_lde_aligned\frame_0100_aligned.csv
101,643826701107,748.3906,748,898,-58.43,104,13,1352,751,17407,698,10.4246092,1.5,150,02_lde_aligned\frame_0101_aligned.csv
102,650216496131,752.0156,752,883,-58.59,124,13,1612,754,17112,702,10.5351338,1.5,150,02_lde_aligned\frame_0102_aligned.csv
103,656606290555,746.1406,746,962,-58.74,132,13,1716,748,18260,696,10.628364,1.5,150,02_lde_aligned\frame_0103_aligned.csv
104,662996085506,748.5,748,897,-58.43,104,13,1352,751,17443,698,10.7307458,1.5,150,02_lde_aligned\frame_0104_aligned.csv
105,669385879945,749.4844,749,1169,-60.18,132,13,1716,752,19995,699,10.8263302,1.5,144,02_lde_aligned\frame_0105_aligned.csv
106,675775674857,751.2344,751,872,-57.99,108,13,1404,753,16683,701,10.9361275,1.5,150,02_lde_aligned\frame_0106_aligned.csv
107,682165469773,752.9219,752,885,-58.19,104,13,1352,755,17276,702,11.0314071,1.5,150,02_lde_aligned\frame_0107_aligned.csv
108,688555264161,746.4844,746,897,-58.57,132,13,1716,749,17439,696,11.1359549,1.5,150,02_lde_aligned\frame_0108_aligned.csv
109,694945059042,747.375,747,877,-58.69,100,13,1300,750,16956,697,11.2320904,1.5,150,02_lde_aligned\frame_0109_aligned.csv
110,701334853410,748.75,748,947,-57.81,132,13,1716,751,18153,698,11.3272577,1.5,150,02_lde_aligned\frame_0110_aligned.csv
111,707724648277,749.7969,749,1066,-59.22,124,13,1612,752,19214,699,11.436781,1.5,150,02_lde_aligned\frame_0111_aligned.csv
112,714114443120,750.0937,750,951,-58.71,128,13,1664,752,18235,700,11.5313305,1.5,150,02_lde_aligned\frame_0112_aligned.csv
113,720504237487,749.5781,749,1012,-58.84,144,13,1872,752,18431,699,11.6263186,1.5,150,02_lde_aligned\frame_0113_aligned.csv
114,726894032277,733.1719,733,928,-58.84,132,13,1716,735,17912,683,11.7373261,1.5,150,02_lde_aligned\frame_0114_aligned.csv
115,733283827094,750.3125,750,877,-57.85,124,13,1612,753,17027,700,11.8271335,1.5,150,02_lde_aligned\frame_0115_aligned.csv
116,739673621360,749.9687,749,862,-58.4,100,13,1300,752,16776,699,11.9370116,1.5,150,02_lde_aligned\frame_0116_aligned.csv
117,746063416167,749.3281,749,867,-57.79,112,13,1456,752,16734,699,12.0322626,1.5,150,02_lde_aligned\frame_0117_aligned.csv
118,752453210906,749.125,749,943,-58.21,108,13,1404,751,18096,699,12.1269737,1.5,150,02_lde_aligned\frame_0118_aligned.csv
119,758843005156,747.5312,747,859,-59.2,136,13,1768,750,16787,697,12.223634,1.5,150,02_lde_aligned\frame_0119_aligned.csv
120,765232799882,745.625,745,899,-58.44,120,13,1560,748,17472,695,12.3377514,1.5,150,02_lde_aligned\frame_0120_aligned.csv
121,771622594587,752.8906,752,927,-59.67,112,13,1456,755,18170,702,12.430229,1.5,150,02_lde_aligned\frame_0121_aligned.csv
122,778012388776,750.2187,750,888,-59.38,92,13,1196,752,17406,700,12.5333392,1.5,150,02_lde_aligned\frame_0122_aligned.csv
123,784402183452,748.4062,748,866,-58,108,13,1404,751,16823,698,12.6284328,1.5,150,02_lde_aligned\frame_0123_aligned.csv
124,790791978075,753.2656,753,900,-59.51,96,13,1248,755,16906,703,12.7395319,1.5,150,02_lde_aligned\frame_0124_aligned.csv
125,797181772697,750.1094,750,981,-59.69,124,13,1612,752,18629,700,12.8263153,1.5,150,02_lde_aligned\frame_0125_aligned.csv
126,803571567253,745.6719,745,975,-60.05,120,13,1560,747,16772,695,12.9399356,1.5,150,02_lde_aligned\frame_0126_aligned.csv
127,809961361260,749.5312,749,900,-58.64,92,13,1196,752,17343,699,13.0294399,1.5,150,02_lde_aligned\frame_0127_aligned.csv
128,816351155751,753.2031,753,905,-59.19,128,13,1664,755,17453,703,13.1256428,1.5,150,02_lde_aligned\frame_0128_aligned.csv
129,822740950270,747.0625,747,904,-58.02,104,13,1352,749,17602,697,13.2360491,1.5,150,02_lde_aligned\frame_0129_aligned.csv
130,829130744706,750.25,750,879,-58.9,112,13,1456,752,17024,700,13.3315126,1.5,150,02_lde_aligned\frame_0130_aligned.csv
131,835520539158,752.0625,752,1093,-59.84,132,13,1716,754,19452,702,13.4353032,1.5,150,02_lde_aligned\frame_0131_aligned.csv
132,841910333564,746.2812,746,870,-58.73,120,13,1560,748,16456,696,13.5318268,1.5,150,02_lde_aligned\frame_0132_aligned.csv
133,848300127976,747.8437,747,868,-59.21,88,13,1144,750,16736,697,13.6342754,1.5,150,02_lde_aligned\frame_0133_aligned.csv
134,854689922395,749.6406,749,899,-59.39,88,13,1144,752,17625,699,13.7311534,1.5,150,02_lde_aligned\frame_0134_aligned.csv
135,861079716775,750.4531,750,881,-59.59,96,13,1248,753,17106,700,13.8260598,1.5,150,02_lde_aligned\frame_0135_aligned.csv
136,867469511147,751.0156,751,1051,-58.85,152,13,1976,753,19144,701,13.9299945,1.5,150,02_lde_aligned\frame_0136_aligned.csv
137,873859305444,751.6562,751,898,-59.04,128,13,1664,754,17518,701,14.0262017,1.5,150,02_lde_aligned\frame_0137_aligned.csv
138,880249099321,752.1094,752,962,-59.07,120,13,1560,754,18255,702,14.1368035,1.5,150,02_lde_aligned\frame_0138_aligned.csv
139,886638893641,753.3594,753,1092,-60.41,156,13,2028,756,19436,703,14.2293629,1.5,150,02_lde_aligned\frame_0139_aligned.csv
140,893028687944,753.5937,753,935,-59.31,96,13,1248,756,18120,703,14.3239553,1.5,97,02_lde_aligned\frame_0140_aligned.csv
141,899418482267,752.7656,752,910,-59.08,108,13,1404,755,17723,702,14.4276499,1.5,150,02_lde_aligned\frame_0141_aligned.csv
142,905808276548,744.5312,744,902,-58.43,136,13,1768,747,17501,694,14.5239552,1.5,134,02_lde_aligned\frame_0142_aligned.csv
143,912198070830,752.8125,752,876,-58.8,124,13,1612,755,17080,702,14.6355253,1.5,150,02_lde_aligned\frame_0143_aligned.csv
144,918587865092,751.6562,751,929,-59.14,132,13,1716,754,17985,701,14.731119,1.5,150,02_lde_aligned\frame_0144_aligned.csv
145,924977659340,750.7812,750,1136,-60.3,164,13,2132,753,19870,700,14.834551,1.5,150,02_lde_aligned\frame_0145_aligned.csv
146,931367453076,750.2812,750,901,-59.07,104,13,1352,752,17462,700,14.9268065,1.5,150,02_lde_aligned\frame_0146_aligned.csv
147,937757247312,748.5937,748,966,-59.36,140,13,1820,751,18395,698,15.0351611,1.5,143,02_lde_aligned\frame_0147_aligned.csv
148,944147041458,746.5,746,911,-59.3,136,13,1768,749,17660,696,15.1286289,1.5,150,02_lde_aligned\frame_0148_aligned.csv
149,950536835644,753.1562,753,918,-59.35,104,13,1352,755,17786,703,15.2240928,1.5,144,02_lde_aligned\frame_0149_aligned.csv
150,956926629774,750.8125,750,873,-59.14,108,13,1404,753,17043,700,15.3354418,1.5,150,02_lde_aligned\frame_0150_aligned.csv
151,963316423993,747.8594,747,933,-59.12,120,13,1560,750,18136,697,15.434235,1.5,150,02_lde_aligned\frame_0151_aligned.csv
152,969706217590,752.9375,752,896,-58.88,116,13,1508,755,17529,702,15.5233616,1.5,150,02_lde_aligned\frame_0152_aligned.csv
153,976096011687,750.5781,750,873,-59.08,120,13,1560,753,16987,700,15.6332772,1.5,150,02_lde_aligned\frame_0153_aligned.csv
154,982485805822,747.8125,747,951,-59.7,108,13,1404,750,18257,697,15.7295313,1.5,150,02_lde_aligned\frame_0154_aligned.csv
155,988875599919,751.9531,751,1021,-60.47,124,13,1612,754,19024,701,15.8384897,1.5,150,02_lde_aligned\frame_0155_aligned.csv
156,995265393964,749.1562,749,873,-59.75,92,13,1196,751,16710,699,15.9346503,1.5,150,02_lde_aligned\frame_0156_aligned.csv
157,1001655188059,752.7656,752,874,-59.52,96,13,1248,755,17065,702,16.0348305,1.5,150,02_lde_aligned\frame_0157_aligned.csv
158,1008044981606,749.9375,749,896,-59.3,92,13,1196,752,17536,699,16.1386601,1.5,135,02_lde_aligned\frame_0158_aligned.csv
159,1014434775641,752.9844,752,874,-58.9,104,13,1352,755,16906,702,16.2323306,1.5,150,02_lde_aligned\frame_0159_aligned.csv
160,1020824569670,748.6875,748,991,-59.27,140,13,1820,751,18641,698,16.3267126,1.5,150,02_lde_aligned\frame_0160_aligned.csv
161,1027214363648,751.3437,751,922,-58.43,100,13,1300,754,17783,701,16.4381764,1.5,150,02_lde_aligned\frame_0161_aligned.csv
162,1033604157628,746.7812,746,889,-59.14,136,13,1768,749,17299,696,16.5259328,1.5,150,02_lde_aligned\frame_0162_aligned.csv
163,1039993951592,748.9687,748,960,-59.66,104,13,1352,751,18326,698,16.6276431,1.5,150,02_lde_aligned\frame_0163_aligned.csv
164,1046383745013,752.2969,752,971,-59.61,136,13,1768,754,18364,702,16.7235683,1.5,123,02_lde_aligned\frame_0164_aligned.csv
165,1052773538947,753.3906,753,1167,-60.1,136,13,1768,755,19917,703,16.8345782,1.5,150,02_lde_aligned\frame_0165_aligned.csv
166,1059163332867,747.5156,747,887,-59.18,104,13,1352,750,17266,697,16.9293799,1.5,150,02_lde_aligned\frame_0166_aligned.csv
167,1065553126743,750.2031,750,878,-58.92,104,13,1352,752,17011,700,17.0250341,1.5,150,02_lde_aligned\frame_0167_aligned.csv
168,1071942920667,751.6406,751,909,-59.18,96,13,1248,754,17712,701,17.1303161,1.5,150,02_lde_aligned\frame_0168_aligned.csv
169,1078332714552,752.7187,752,1000,-59.01,108,13,1404,755,18766,702,17.2294686,1.5,150,02_lde_aligned\frame_0169_aligned.csv
170,1084722507890,754,754,884,-58.61,120,13,1560,756,17264,704,17.3254146,1.5,128,02_lde_aligned\frame_0170_aligned.csv
171,1091112301721,746.8594,746,1083,-59.72,156,13,2028,749,19454,696,17.4361709,1.5,150,02_lde_aligned\frame_0171_aligned.csv
172,1097502095562,747,747,883,-58.82,104,13,1352,749,17204,697,17.5319502,1.5,150,02_lde_aligned\frame_0172_aligned.csv
173,4380261632,747.7187,747,941,-59.2,100,13,1300,750,18192,697,17.6292839,1.5,150,02_lde_aligned\frame_0173_aligned.csv
