FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,STD_NOISE,NTM,NOISE_THRESH,PEAK_IDX,PEAK_AMPL,START,elapsed_s,tag_anchor_dist_m,n_samples,aligned_csv
45,283762552553,748.6094,748,1000,-62.46,80,13,1040,750,18393,698,4.7915048,1.5,150,02_lde_aligned\frame_0045_aligned.csv
46,290152344203,746.2656,746,1042,-62.54,80,13,1040,748,18822,696,4.8954208,1.5,150,02_lde_aligned\frame_0046_aligned.csv
47,296542088711,752.5781,752,907,-61.68,88,13,1144,754,16815,702,4.9903945,1.5,150,02_lde_aligned\frame_0047_aligned.csv
48,302932003201,750.6094,750,927,-61.61,92,13,1196,752,17410,700,5.0874326,1.5,150,02_lde_aligned\frame_0048_aligned.csv
49,309321735394,748.625,748,1031,-62.58,108,13,1404,750,18658,698,5.1977132,1.5,150,02_lde_aligned\frame_0049_aligned.csv
50,315711510081,753.4844,753,1005,-62.37,76,13,988,755,18376,703,5.2938718,1.5,150,02_lde_aligned\frame_0050_aligned.csv
51,322101254537,750.6094,750,941,-62.49,76,13,988,752,17581,700,5.3980918,1.5,150,02_lde_aligned\frame_0051_aligned.csv
52,328491168957,747.9219,747,931,-62.08,72,13,936,750,17038,697,5.4950081,1.5,150,02_lde_aligned\frame_0052_aligned.csv
53,334880884683,752.3906,752,909,-62.32,88,13,1144,754,17211,702,5.5886357,1.5,150,02_lde_aligned\frame_0053_aligned.csv
54,341270628563,748.2656,748,1123,-62.88,112,13,1456,750,19481,698,5.6923807,1.5,150,02_lde_aligned\frame_0054_aligned.csv
55,347660542923,751.6406,751,933,-62.44,68,13,884,753,17601,701,5.7877732,1.5,150,02_lde_aligned\frame_0055_aligned.csv
56,354050258600,747.5937,747,966,-61.57,76,13,988,749,18067,697,5.8875428,1.5,150,02_lde_aligned\frame_0056_aligned.csv
57,360440002908,750.2031,750,1074,-63.17,100,13,1300,752,19187,700,5.9978843,1.5,150,02_lde_aligned\frame_0057_aligned.csv
58,366829917192,752.3437,752,898,-61.93,68,13,884,754,17099,702,6.09406,1.5,150,02_lde_aligned\frame_0058_aligned.csv
59,373219649156,746.5312,746,901,-61.82,64,13,832,748,16529,696,6.1890152,1.5,150,02_lde_aligned\frame_0059_aligned.csv
60,379609423608,748.4687,748,906,-61.87,68,13,884,750,16999,698,6.2857706,1.5,150,02_lde_aligned\frame_0060_aligned.csv
61,385999167840,750.0937,750,950,-62.1,84,13,1092,752,17830,700,6.3891314,1.5,150,02_lde_aligned\frame_0061_aligned.csv
62,392389082039,751.7031,751,972,-61.98,84,13,1092,753,17788,701,6.4867171,1.5,150,02_lde_aligned\frame_0062_aligned.csv
63,398778797568,752.8437,752,954,-62.09,84,13,1092,755,17548,702,6.5969533,1.5,150,02_lde_aligned\frame_0063_aligned.csv
64,405168541225,752.8594,752,922,-62.44,68,13,884,755,16941,702,6.6913192,1.5,150,02_lde_aligned\frame_0064_aligned.csv
65,411558332492,745.6562,745,946,-62.73,84,13,1092,747,17716,695,6.786641,1.5,150,02_lde_aligned\frame_0065_aligned.csv
66,417948246641,745.9062,745,1029,-63.06,76,13,988,748,18581,695,6.8831156,1.5,150,02_lde_aligned\frame_0066_aligned.csv
67,424338037877,746.5469,746,955,-62.71,64,13,832,748,17935,696,6.9960541,1.5,150,02_lde_aligned\frame_0067_aligned.csv
68,430727753329,746.3594,746,1050,-61.91,76,13,988,751,18246,696,7.0922614,1.5,150,02_lde_aligned\frame_0068_aligned.csv
69,437117497447,745.7031,745,957,-62.82,80,13,1040,747,17565,695,7.1872834,1.5,150,02_lde_aligned\frame_0069_aligned.csv
70,443507411530,745.125,745,977,-61.9,72,13,936,747,18210,695,7.2973558,1.5,150,02_lde_aligned\frame_0070_aligned.csv
71,449897143311,752.7031,752,959,-61.96,92,13,1196,754,17822,702,7.3919309,1.5,150,02_lde_aligned\frame_0071_aligned.csv
72,456286917575,751.4531,751,1049,-62.94,76,13,988,753,18687,701,7.4991631,1.5,150,02_lde_aligned\frame_0072_aligned.csv
73,462676661621,750.5469,750,901,-62.29,72,13,936,752,16750,700,7.5840704,1.5,150,02_lde_aligned\frame_0073_aligned.csv
74,469066575642,749.625,749,904,-61.85,68,13,884,751,16750,699,7.6947697,1.5,150,02_lde_aligned\frame_0074_aligned.csv
75,475456290984,747.4687,747,1055,-62.82,80,13,1040,752,17986,697,7.789803,1.5,150,02_lde_aligned\frame_0075_aligned.csv
76,481846034479,752.8281,752,922,-62.22,68,13,884,755,17011,702,7.8847479,1.5,150,02_lde_aligned\frame_0076_aligned.csv
77,488235825555,750.4375,750,1145,-63.4,92,13,1196,752,19634,700,7.9894962,1.5,150,02_lde_aligned\frame_0077_aligned.csv
78,494625739521,748.4844,748,966,-62.18,76,13,988,750,17754,698,8.0934836,1.5,150,02_lde_aligned\frame_0078_aligned.csv
79,501015454800,745.5937,745,982,-62.33,84,13,1092,747,18028,695,8.1898798,1.5,150,02_lde_aligned\frame_0079_aligned.csv
80,507405198744,750.8437,750,905,-62.1,68,13,884,752,16735,700,8.2850455,1.5,150,02_lde_aligned\frame_0080_aligned.csv
81,513795112643,748.3906,748,899,-62.26,72,13,936,750,17128,698,8.3960491,1.5,150,02_lde_aligned\frame_0081_aligned.csv
82,520184844267,752.6406,752,895,-61.77,68,13,884,754,16691,702,8.4918104,1.5,150,02_lde_aligned\frame_0082_aligned.csv
83,526574618363,749.0156,749,898,-61.76,68,13,884,751,16774,699,8.5956093,1.5,150,02_lde_aligned\frame_0083_aligned.csv
84,532964362228,752.2812,752,1093,-62.82,80,13,1040,754,19397,702,8.6990541,1.5,150,02_lde_aligned\frame_0084_aligned.csv
85,539354276073,748.3594,748,956,-62.3,96,13,1248,753,17904,698,8.793037,1.5,150,02_lde_aligned\frame_0085_aligned.csv
86,545743990725,752.5469,752,914,-62.35,80,13,1040,754,17333,702,8.8991253,1.5,150,02_lde_aligned\frame_0086_aligned.csv
87,552133734550,746.6875,746,898,-61.83,72,13,936,748,16457,696,8.9941356,1.5,150,02_lde_aligned\frame_0087_aligned.csv
88,558523648348,750.2812,750,934,-61.96,64,13,832,755,17698,700,9.0893991,1.5,150,02_lde_aligned\frame_0088_aligned.csv
89,564913363465,752.6094,752,907,-61.74,88,13,1144,754,16506,702,9.187192,1.5,150,02_lde_aligned\frame_0089_aligned.csv
90,571303107245,747.6719,747,992,-61.93,84,13,1092,749,17695,697,9.2993319,1.5,150,02_lde_aligned\frame_0090_aligned.csv
91,577693020974,749.5625,749,1066,-62.77,88,13,1144,755,18130,699,9.3866631,1.5,150,02_lde_aligned\frame_0091_aligned.csv
92,584082735532,742.7031,742,1072,-63.26,96,13,1248,748,18359,692,9.4988977,1.5,150,02_lde_aligned\frame_0092_aligned.csv
93,590472479257,753.3594,753,926,-62.11,76,13,988,755,17641,703,9.5879721,1.5,150,02_lde_aligned\frame_0093_aligned.csv
94,596862392948,746.6562,746,896,-62.33,76,13,988,748,16436,696,9.6854371,1.5,150,02_lde_aligned\frame_0094_aligned.csv
